feature_family,task,delta_log_loss,supported,support_class
cost,bandit,0.00032313322521057564,False,task_specific
cost,foraging,-0.0009060209571883915,False,task_specific
cost,information_sampling,0.00031455482423126124,False,task_specific
cost,partial_reinforcement,0.006409997939500256,True,task_specific
cost,solvability,-0.006525671595962845,False,task_specific
history,bandit,0.02857012545170709,True,broadly_shared
history,foraging,0.03724166936526374,True,broadly_shared
history,information_sampling,-0.00986852251759518,False,broadly_shared
history,partial_reinforcement,0.09883266536708413,True,broadly_shared
history,solvability,0.05073320426606265,True,broadly_shared
outside_option,bandit,5.303404750353624e-05,False,unsupported
outside_option,foraging,-0.0004737948479751619,False,unsupported
outside_option,information_sampling,-8.81539759782779e-05,False,unsupported
outside_option,partial_reinforcement,-0.0003894186950749168,False,unsupported
outside_option,solvability,0.0008926286982948728,False,unsupported
progress,bandit,7.149806766501565e-05,False,unsupported
progress,foraging,8.195034475455554e-05,False,unsupported
progress,information_sampling,0.00023803414683676305,False,unsupported
progress,partial_reinforcement,-0.0008642690012888865,False,unsupported
progress,solvability,0.00010018912825260351,False,unsupported
prospective_value,bandit,0.0006814417236255255,False,broadly_shared
prospective_value,foraging,0.002369066897457306,True,broadly_shared
prospective_value,information_sampling,0.0034771590666413665,True,broadly_shared
prospective_value,partial_reinforcement,-0.0011811933678832487,False,broadly_shared
prospective_value,solvability,0.019389457802735932,True,broadly_shared
time_effort,bandit,0.0003745184052106054,False,unsupported
time_effort,foraging,-0.0007076644947779931,False,unsupported
time_effort,information_sampling,-0.0008223160063978163,False,unsupported
time_effort,partial_reinforcement,-0.00249161088605232,False,unsupported
time_effort,solvability,4.3706158970424624e-05,False,unsupported
