task,model,sharing,null_log_loss,loto_log_loss,task_specific_log_loss,architecture_transfer
bandit,intercept,fully_shared,0.507514667356302,0.507514667356302,0.15907985985584325,0.0
bandit,intercept,hierarchical,0.507514667356302,0.507987118626367,0.15907985985584325,-0.0013559244366376593
bandit,time_only,fully_shared,0.507514667356302,0.524218444060016,0.15364864094756153,-0.047203674433611724
bandit,time_only,hierarchical,0.507514667356302,0.52994413233042,0.15364864094756153,-0.06338405865560653
bandit,immediate_state,fully_shared,0.507514667356302,0.517988932266729,0.1526801506984895,-0.029518731743135247
bandit,immediate_state,hierarchical,0.507514667356302,0.586077991435089,0.1526801506984895,-0.22140834780893126
bandit,finite_history,fully_shared,0.507514667356302,3.744095782563163,0.12885446543864637,-8.547455208695778
bandit,finite_history,hierarchical,0.507514667356302,5.117546392277379,0.12885446543864637,-12.174587404682116
bandit,exponential_reward,fully_shared,0.507514667356302,0.552324429747416,0.14917668333011763,-0.12504887672706133
bandit,exponential_reward,hierarchical,0.507514667356302,0.58181360454096,0.14917668333011763,-0.20734318017268527
bandit,perseveration,fully_shared,0.507514667356302,0.521762100851061,0.15243874064260954,-0.04012503361357721
bandit,perseveration,hierarchical,0.507514667356302,0.52540387251962,0.15243874064260954,-0.05038135175450093
bandit,dual_history,fully_shared,0.507514667356302,0.564402810565418,0.1489460466704709,-0.15865343459309542
bandit,dual_history,hierarchical,0.507514667356302,0.534725620319474,0.1489460466704709,-0.07588771407583252
bandit,dynamic_reevaluation,fully_shared,0.507514667356302,0.486588935199462,0.15868653357506463,0.05998865954419631
bandit,dynamic_reevaluation,hierarchical,0.507514667356302,0.482573989868045,0.15868653357506463,0.07149846893914298
bandit,option_termination,fully_shared,0.507514667356302,0.43812752254114,0.1586870415043376,0.19891527984830118
bandit,option_termination,hierarchical,0.507514667356302,0.441837756672548,0.1586870415043376,0.18827898313198974
bandit,competitive_time_reward,fully_shared,0.507514667356302,0.554682128996341,0.14979064830119787,-0.13185433218777856
bandit,competitive_time_reward,hierarchical,0.507514667356302,0.539976289732084,0.14979064830119787,-0.09074487774549342
bandit,latent_commitment,fully_shared,0.507514667356302,0.5952524084068,0.1458424481274446,-0.24258910799831082
bandit,latent_commitment,hierarchical,0.507514667356302,1.478451768570479,0.1458424481274446,-2.6845774975041463
bandit,sunk_extension,fully_shared,0.507514667356302,0.51366131090963,0.15268015069848945,-0.017322563800227782
bandit,sunk_extension,hierarchical,0.507514667356302,0.578341818601239,0.15268015069848945,-0.19960614855639794
bandit,flexible_linear,fully_shared,0.507514667356302,3.884587090069532,0.12708481028160165,-8.876991014010017
bandit,flexible_linear,hierarchical,0.507514667356302,5.837304098577315,0.12708481028160165,-14.009913607213187
bandit,mlp,fully_shared,0.507514667356302,3.455508889873898,0.13138371647285765,-7.837680508858527
bandit,mlp,hierarchical,0.507514667356302,3.765360120619111,0.13138371647285765,-8.661466028283197
bandit,gru,fully_shared,0.507514667356302,1.557726248926481,0.12642744957412294,-2.755829984752877
bandit,gru,hierarchical,0.507514667356302,1.113704565844871,0.12642744957412294,-1.5906854656958176
foraging,intercept,fully_shared,0.634744640233989,0.634744640233989,0.6320802171394174,0.0
foraging,intercept,hierarchical,0.634744640233989,0.632703547663369,0.6320802171394174,0.7660542256890307
foraging,time_only,fully_shared,0.634744640233989,0.642287868047355,0.5979846692508958,-0.20520222436615443
foraging,time_only,hierarchical,0.634744640233989,0.640750563850605,0.5979846692508958,-0.1633821642399627
foraging,immediate_state,fully_shared,0.634744640233989,0.777339860937711,0.5830271359218371,-2.757194543709193
foraging,immediate_state,hierarchical,0.634744640233989,0.706874687120936,0.5830271359218371,-1.3946931091568313
foraging,finite_history,fully_shared,0.634744640233989,0.75242568071245,0.5419095319633164,-1.2676350862364139
foraging,finite_history,hierarchical,0.634744640233989,0.725162773021991,0.5419095319633164,-0.9739648552396393
foraging,exponential_reward,fully_shared,0.634744640233989,0.871087921078243,0.5830575455278508,-4.572578168456943
foraging,exponential_reward,hierarchical,0.634744640233989,0.770823328740231,0.5830575455278508,-2.6327401313597467
foraging,perseveration,fully_shared,0.634744640233989,0.796878460570795,0.5503463564266269,-1.9210558914547848
foraging,perseveration,hierarchical,0.634744640233989,0.713653472709479,0.5503463564266269,-0.9349577848715293
foraging,dual_history,fully_shared,0.634744640233989,0.893271479089808,0.54682400045941,-2.9404567518919302
foraging,dual_history,hierarchical,0.634744640233989,0.783553492005855,0.54682400045941,-1.6925360433386196
foraging,dynamic_reevaluation,fully_shared,0.634744640233989,0.632099200681692,0.627223088882978,0.3517146169508509
foraging,dynamic_reevaluation,hierarchical,0.634744640233989,0.63447260012411,0.627223088882978,0.03616808517068162
foraging,option_termination,fully_shared,0.634744640233989,0.624600882392355,0.627223088882978,1.3486257512913824
foraging,option_termination,hierarchical,0.634744640233989,0.624878851348411,0.627223088882978,1.3116694183377207
foraging,competitive_time_reward,fully_shared,0.634744640233989,0.68531968092978,0.5932834564945778,-1.2198166124166046
foraging,competitive_time_reward,hierarchical,0.634744640233989,0.679294888074109,0.5932834564945778,-1.0745049663831092
foraging,latent_commitment,fully_shared,0.634744640233989,0.777339860937711,0.5443472427881555,-1.5774261730174877
foraging,latent_commitment,hierarchical,0.634744640233989,0.655783788294261,0.5443472427881555,-0.2327406391636297
foraging,sunk_extension,fully_shared,0.634744640233989,0.715545422973354,0.5815724331415895,-1.5196055826487338
foraging,sunk_extension,hierarchical,0.634744640233989,0.688078566030379,0.5815724331415895,-1.00304141416792
foraging,flexible_linear,fully_shared,0.634744640233989,0.899971896759981,0.5406139161126543,-2.8176481058842535
foraging,flexible_linear,hierarchical,0.634744640233989,0.790168726647161,0.5406139161126543,-1.6511515008939053
foraging,mlp,fully_shared,0.634744640233989,0.957856698956422,0.5245944624163322,-2.9333775498512082
foraging,mlp,hierarchical,0.634744640233989,0.917133517510961,0.5245944624163322,-2.5636715516196444
foraging,gru,fully_shared,0.634744640233989,0.846661689515867,0.535468822809191,-2.1346291048412285
foraging,gru,hierarchical,0.634744640233989,0.950533637154403,0.535468822809191,-3.1809256786994045
information_sampling,intercept,fully_shared,0.839507383801083,0.839507383801083,0.7928308063090388,0.0
information_sampling,intercept,hierarchical,0.839507383801083,0.8261087818518,0.7928308063090388,0.28705193630717063
information_sampling,time_only,fully_shared,0.839507383801083,0.838991959479545,0.7925610754776313,0.01097901709303485
information_sampling,time_only,hierarchical,0.839507383801083,0.83513032565397,0.7925610754776313,0.09323540664701102
information_sampling,immediate_state,fully_shared,0.839507383801083,0.725170028599336,0.7911940143709066,2.3665779586536613
information_sampling,immediate_state,hierarchical,0.839507383801083,0.767177794375675,0.7911940143709066,1.497092632504972
information_sampling,finite_history,fully_shared,0.839507383801083,0.742677203426073,0.8016361252080237,2.556824990040236
information_sampling,finite_history,hierarchical,0.839507383801083,0.793073542972197,0.8016361252080237,1.226097113059665
information_sampling,exponential_reward,fully_shared,0.839507383801083,0.710275256436758,0.79143099899623,2.6880583448379394
information_sampling,exponential_reward,hierarchical,0.839507383801083,0.752141941801885,0.79143099899623,1.8172215393029945
information_sampling,perseveration,fully_shared,0.839507383801083,0.7414417236704,0.7947470643612137,2.1909061722051306
information_sampling,perseveration,hierarchical,0.839507383801083,0.820197048452172,0.7947470643612137,0.4314163882331619
information_sampling,dual_history,fully_shared,0.839507383801083,0.731120279011285,0.7950154018271777,2.4361042143136564
information_sampling,dual_history,hierarchical,0.839507383801083,0.789135217280076,0.7950154018271777,1.1321627917261687
information_sampling,dynamic_reevaluation,fully_shared,0.839507383801083,0.914851334197732,0.7767193439782194,-1.199972966335752
information_sampling,dynamic_reevaluation,hierarchical,0.839507383801083,0.907860559796111,0.7767193439782194,-1.0886336981989662
information_sampling,option_termination,fully_shared,0.839507383801083,0.836212132058376,0.7813660100211395,0.05667653735150977
information_sampling,option_termination,hierarchical,0.839507383801083,0.839357935317971,0.7813660100211395,0.0025704326092755754
information_sampling,competitive_time_reward,fully_shared,0.839507383801083,0.810462122772637,0.7910910672149877,0.5999064587409683
information_sampling,competitive_time_reward,hierarchical,0.839507383801083,0.824603502937888,0.7910910672149877,0.30782764807588203
information_sampling,latent_commitment,fully_shared,0.839507383801083,0.907793813154581,0.7805072822273514,-1.1573951151280877
information_sampling,latent_commitment,hierarchical,0.839507383801083,0.986152359366695,0.7805072822273514,-2.485503781418949
information_sampling,sunk_extension,fully_shared,0.839507383801083,0.716592640734528,0.7914975634307113,2.560200019877795
information_sampling,sunk_extension,hierarchical,0.839507383801083,0.762859788663365,0.7914975634307113,1.5964982694461303
information_sampling,flexible_linear,fully_shared,0.839507383801083,0.733045991849306,0.8327008163893828,15.640981057320221
information_sampling,flexible_linear,hierarchical,0.839507383801083,0.807837808973841,0.8327008163893828,4.652796764019849
information_sampling,mlp,fully_shared,0.839507383801083,0.718396688970585,0.812821330438606,4.538351669520033
information_sampling,mlp,hierarchical,0.839507383801083,0.72770255208262,0.812821330438606,4.1896353199859355
information_sampling,gru,fully_shared,0.839507383801083,0.711491959374767,0.7871292398329214,2.444061868708654
information_sampling,gru,hierarchical,0.839507383801083,0.800706433314646,0.7871292398329214,0.7407851356860303
partial_reinforcement,intercept,fully_shared,0.957637851377315,0.957637851377315,0.6859437229702623,0.0
partial_reinforcement,intercept,hierarchical,0.957637851377315,0.940938092607429,0.6859437229702623,0.0614652913840907
partial_reinforcement,time_only,fully_shared,0.957637851377315,0.951248285815035,0.6721509269492937,0.022381289703833955
partial_reinforcement,time_only,hierarchical,0.957637851377315,0.948331837751345,0.6721509269492937,0.03259698721619155
partial_reinforcement,immediate_state,fully_shared,0.957637851377315,0.940232547886022,0.6691721129693067,0.060337506933578686
partial_reinforcement,immediate_state,hierarchical,0.957637851377315,0.957806575337676,0.6691721129693067,-0.0005849012131981323
partial_reinforcement,finite_history,fully_shared,0.957637851377315,1.104973144829419,0.6056578255579013,-0.41858992739461764
partial_reinforcement,finite_history,hierarchical,0.957637851377315,0.525964753406078,0.6056578255579013,1.2264136209612941
partial_reinforcement,exponential_reward,fully_shared,0.957637851377315,0.928322683563409,0.6773526230103257,0.10459048443153235
partial_reinforcement,exponential_reward,hierarchical,0.957637851377315,0.964281679333187,0.6773526230103257,-0.02370381055962351
partial_reinforcement,perseveration,fully_shared,0.957637851377315,1.227136170617615,0.6691760336922629,-0.9342599356929208
partial_reinforcement,perseveration,hierarchical,0.957637851377315,0.679138581236141,0.6691760336922629,0.9654632019453075
partial_reinforcement,dual_history,fully_shared,0.957637851377315,0.906492084410676,0.677360927073727,0.18248297498526644
partial_reinforcement,dual_history,hierarchical,0.957637851377315,0.968772301810852,0.677360927073727,-0.03972660418335574
partial_reinforcement,dynamic_reevaluation,fully_shared,0.957637851377315,0.978718609846428,0.6872984850017179,-0.07797887060156937
