heldout_task,model,sharing,information_set,selected_hyperparameters,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states,null_log_loss,delta_log_loss_vs_null
bandit,intercept,fully_shared,observable,"{""penalty"": 0.01}",0.507514667356302,0.158657891157806,0.5,0.5075146673563018,0.5713631767097608,1,1800,0.507514667356302,0.0
bandit,intercept,hierarchical,observable,"{""penalty"": 0.01}",0.507987118626367,0.158882230186536,0.5,0.5079871186263673,0.5716473980534055,1,1800,0.507514667356302,-0.00047245127006501075
bandit,time_only,fully_shared,observable,"{""penalty"": 0.01}",0.524218444060016,0.166707341806892,0.2303959142544634,0.5242184440600157,0.5716754282529772,1,1800,0.507514667356302,-0.016703776703714035
bandit,time_only,hierarchical,observable,"{""penalty"": 0.01}",0.52994413233042,0.169486736103608,0.2303959142544634,0.5299441323304204,0.5731631257766414,1,1800,0.507514667356302,-0.02242946497411802
bandit,immediate_state,fully_shared,observable,"{""penalty"": 0.01}",0.517988932266729,0.164504715223241,0.4282410796565356,0.5179889322667289,0.553914432320547,1,1800,0.507514667356302,-0.010474264910427022
bandit,immediate_state,hierarchical,observable,"{""penalty"": 0.01}",0.586077991435089,0.197370982156868,0.4001300479713378,0.5860779914350888,0.5876601422129433,1,1800,0.507514667356302,-0.07856332407878697
bandit,finite_history,fully_shared,observable,"{""history_lag"": 1, ""penalty"": 0.01}",3.744095782563163,0.645199400662282,0.29019214372453944,3.744095782563163,1.3814547123873802,1,1800,0.507514667356302,-3.236581115206861
bandit,finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",5.117546392277379,0.690171361959648,0.2910275512225371,5.1175463922773785,1.7667944929734671,1,1800,0.507514667356302,-4.610031724921077
bandit,exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.552324429747416,0.186537779475054,0.578269931358786,0.5523244297474159,0.5788061048394064,1,1800,0.507514667356302,-0.044809762391114005
bandit,exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.58181360454096,0.198971630823238,0.5763708864793172,0.5818136045409602,0.5932388797496454,1,1800,0.507514667356302,-0.07429893718465796
bandit,perseveration,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.521762100851061,0.166240667080424,0.4452678902085073,0.5217621008510607,0.553478980223889,1,1800,0.507514667356302,-0.014247433494758988
bandit,perseveration,hierarchical,observable,"{""history_decay"": 0.25, ""penalty"": 0.01}",0.52540387251962,0.168103483740903,0.40900517608150816,0.5254038725196198,0.5518642363156948,1,1800,0.507514667356302,-0.017889205163317934
bandit,dual_history,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.564402810565418,0.192079952939254,0.5878728113615419,0.5644028105654175,0.5826229723745193,1,1800,0.507514667356302,-0.05688814320911595
bandit,dual_history,hierarchical,observable,"{""history_decay"": 0.25, ""penalty"": 0.01}",0.534725620319474,0.177899202552705,0.635120703464788,0.5347256203194741,0.5571708895278017,1,1800,0.507514667356302,-0.027210952963171997
bandit,dynamic_reevaluation,fully_shared,observable,"{""penalty"": 0.01}",0.486588935199462,0.148817641494769,0.6307283547639757,0.48658893519946234,0.559080289549531,1,1800,0.507514667356302,0.020925732156840016
bandit,dynamic_reevaluation,hierarchical,observable,"{""penalty"": 0.01}",0.482573989868045,0.146931898387727,0.6307283547639757,0.4825739898680451,0.5566575194266979,1,1800,0.507514667356302,0.024940677488257013
bandit,option_termination,fully_shared,observable,"{""penalty"": 0.01}",0.43812752254114,0.126666741068445,0.6307283547639757,0.4381275225411403,0.5312723815789822,1,1800,0.507514667356302,0.069387144815162
bandit,option_termination,hierarchical,observable,"{""penalty"": 0.01}",0.441837756672548,0.12830671125081,0.6307283547639757,0.441837756672548,0.533346002160761,1,1800,0.507514667356302,0.06567691068375403
bandit,competitive_time_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.554682128996341,0.188301156566319,0.5286320848153921,0.5546821289963414,0.5925921288035666,1,1800,0.507514667356302,-0.04716746164003893
bandit,competitive_time_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.539976289732084,0.180669705576209,0.5284770607435988,0.5399762897320844,0.5793482535404302,1,1800,0.507514667356302,-0.032461622375781984
bandit,latent_commitment,fully_shared,observable,"{""penalty"": 0.01, ""rho"": 0.25}",0.5952524084068,0.201621907180951,0.5639302047178993,0.5952524084068003,0.591174373509832,1,1800,0.507514667356302,-0.08773774105049803
bandit,latent_commitment,hierarchical,observable,"{""penalty"": 0.01, ""rho"": 0.85}",1.478451768570479,0.525439242401759,0.25120358966850687,1.4784517685704794,0.8243712520046719,1,1800,0.507514667356302,-0.970937101214177
bandit,sunk_extension,fully_shared,observable,"{""penalty"": 0.01}",0.51366131090963,0.162420508605195,0.4327798399807081,0.5136613109096303,0.5522808080232497,1,1800,0.507514667356302,-0.006146643553327946
bandit,sunk_extension,hierarchical,observable,"{""penalty"": 0.01}",0.578341818601239,0.193588826906355,0.4022142604921153,0.5783418186012388,0.5840045748020681,1,1800,0.507514667356302,-0.07082715124493699
bandit,flexible_linear,fully_shared,observable,"{""penalty"": 0.01}",3.884587090069532,0.673793743134321,0.29476535384244384,3.884587090069532,1.4573013391346317,1,1800,0.507514667356302,-3.37707242271323
bandit,flexible_linear,hierarchical,observable,"{""penalty"": 0.01}",5.837304098577315,0.699716120648524,0.28194141812575896,5.837304098577315,1.9375955609119313,1,1800,0.507514667356302,-5.329789431221013
bandit,mlp,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",3.455508889873898,0.676987209420306,0.28987348313251976,3.4555088898738977,1.371997525050194,1,1800,0.507514667356302,-2.947994222517596
bandit,mlp,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",3.765360120619111,0.700516448023622,0.30202564787143343,3.765360120619111,1.478154916815128,1,1800,0.507514667356302,-3.257845453262809
bandit,gru,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",1.557726248926481,0.537448638922609,0.4834081180938929,1.5577262489264811,0.9232272072948979,1,1800,0.507514667356302,-1.050211581570179
bandit,gru,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 98, ""hidden_size"": 64, ""learning_rate"": 0.001}",1.113704565844871,0.407109391080685,0.6558551730671511,1.1137045658448714,0.8527712185320186,1,1800,0.507514667356302,-0.606189898488569
foraging,intercept,fully_shared,observable,"{""penalty"": 0.01}",0.634744640233989,0.221065154885074,0.5,0.6347446402339894,0.7166305810581265,1,364,0.634744640233989,0.0
foraging,intercept,hierarchical,observable,"{""penalty"": 0.01}",0.632703547663369,0.220233817331716,0.5,0.632703547663369,0.710083090917047,1,364,0.634744640233989,0.002041092570620018
foraging,time_only,fully_shared,observable,"{""penalty"": 0.01}",0.642287868047355,0.224097929909541,0.27134146341463417,0.6422878680473552,0.7185594972008108,1,364,0.634744640233989,-0.007543227813366027
foraging,time_only,hierarchical,observable,"{""penalty"": 0.01}",0.640750563850605,0.223501349127247,0.27134146341463417,0.6407505638506054,0.716059955256748,1,364,0.634744640233989,-0.006005923616616005
foraging,immediate_state,fully_shared,observable,"{""penalty"": 0.01}",0.777339860937711,0.260620967442712,0.6007303293371916,0.7773398609377108,0.9495811590278378,1,364,0.634744640233989,-0.142595220703722
foraging,immediate_state,hierarchical,observable,"{""penalty"": 0.01}",0.706874687120936,0.243873593481101,0.6504754030591153,0.7068746871209357,0.852591310664316,1,364,0.634744640233989,-0.07213004688694702
foraging,finite_history,fully_shared,observable,"{""history_lag"": 5, ""penalty"": 0.01}",0.75242568071245,0.254695825448647,0.44975540857103485,0.7524256807124504,0.8187103533198007,1,364,0.634744640233989,-0.11768104047846095
foraging,finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",0.725162773021991,0.24612284330466,0.4752824858757062,0.7251627730219908,0.7959557854394572,1,364,0.634744640233989,-0.09041813278800193
foraging,exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.871087921078243,0.266762066992935,0.6021772082127601,0.8710879210782434,1.0552395892577786,1,364,0.634744640233989,-0.23634328084425393
foraging,exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.770823328740231,0.249403526316684,0.6299090533278213,0.7708233287402312,0.9232927761145076,1,364,0.634744640233989,-0.13607868850624194
foraging,perseveration,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.796878460570795,0.264779865385127,0.44267603692986085,0.7968784605707953,0.9551732191313167,1,364,0.634744640233989,-0.162133820336806
foraging,perseveration,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.713653472709479,0.24597948109628,0.45928069450186026,0.7136534727094793,0.841352285859702,1,364,0.634744640233989,-0.07890883247548997
foraging,dual_history,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.893271479089808,0.270793369230183,0.5158123191401406,0.8932714790898081,1.0630907543313854,1,364,0.634744640233989,-0.25852683885581895
foraging,dual_history,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.783553492005855,0.252940143400189,0.5240801984291029,0.7835534920058552,0.9186317553992999,1,364,0.634744640233989,-0.14880885177186598
foraging,dynamic_reevaluation,fully_shared,observable,"{""penalty"": 0.01}",0.632099200681692,0.219898942528969,0.560011023839052,0.6320992006816923,0.713209436404285,1,364,0.634744640233989,0.002645439552297013
foraging,dynamic_reevaluation,hierarchical,observable,"{""penalty"": 0.01}",0.63447260012411,0.220905128844835,0.560011023839052,0.63447260012411,0.7189368058961619,1,364,0.634744640233989,0.0002720401098790237
foraging,option_termination,fully_shared,observable,"{""penalty"": 0.01}",0.624600882392355,0.216536069880107,0.560011023839052,0.6246008823923547,0.6848533647542976,1,364,0.634744640233989,0.010143757841634016
foraging,option_termination,hierarchical,observable,"{""penalty"": 0.01}",0.624878851348411,0.216691969713268,0.560011023839052,0.6248788513484109,0.6878071052541825,1,364,0.634744640233989,0.009865788885577986
foraging,competitive_time_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.68531968092978,0.230586719821922,0.5137625740664187,0.6853196809297804,0.7758767125744567,1,364,0.634744640233989,-0.050575040695790996
foraging,competitive_time_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.679294888074109,0.229598030235025,0.5137625740664187,0.6792948880741089,0.7740691120848024,1,364,0.634744640233989,-0.04455024784011996
foraging,latent_commitment,fully_shared,observable,"{""penalty"": 0.01, ""rho"": 0.0}",0.777339860937711,0.260620967442712,0.6007303293371916,0.7773398609377108,0.9495811590278378,1,364,0.634744640233989,-0.142595220703722
foraging,latent_commitment,hierarchical,observable,"{""penalty"": 0.01, ""rho"": 0.95}",0.655783788294261,0.228914003680937,0.35841256717651926,0.6557837882942611,0.7442569292688023,1,364,0.634744640233989,-0.02103914806027196
foraging,sunk_extension,fully_shared,observable,"{""penalty"": 0.01}",0.715545422973354,0.246094516549005,0.6171627394240043,0.715545422973354,0.8620614492446149,1,364,0.634744640233989,-0.08080078273936497
foraging,sunk_extension,hierarchical,observable,"{""penalty"": 0.01}",0.688078566030379,0.238536717564416,0.65274906986358,0.6880785660303793,0.8249036845469256,1,364,0.634744640233989,-0.05333392579638996
foraging,flexible_linear,fully_shared,observable,"{""penalty"": 0.01}",0.899971896759981,0.268309459929213,0.46472371503376053,0.8999718967599813,1.0355157761959735,1,364,0.634744640233989,-0.265227256525992
foraging,flexible_linear,hierarchical,observable,"{""penalty"": 0.01}",0.790168726647161,0.25481217944825,0.4506855449910432,0.7901687266471614,0.8913736994073185,1,364,0.634744640233989,-0.15542408641317196
foraging,mlp,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",0.957856698956422,0.272581498713355,0.4897340498828717,0.957856698956422,1.1179912512371588,1,364,0.634744640233989,-0.323112058722433
foraging,mlp,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",0.917133517510961,0.269639666120188,0.4601074824307565,0.917133517510961,1.0459369080216177,1,364,0.634744640233989,-0.28238887727697193
foraging,gru,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",0.846661689515867,0.251045752233966,0.5341050020669699,0.8466616895158666,0.9780636541062102,1,364,0.634744640233989,-0.21191704928187793
foraging,gru,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",0.950533637154403,0.26989696288772,0.48401543337467273,0.9505336371544026,1.074646089949688,1,364,0.634744640233989,-0.31578899692041396
information_sampling,intercept,fully_shared,observable,"{""penalty"": 0.01}",0.839507383801083,0.316969204516536,0.5,0.8395073838010827,1.001319609668769,1,40,0.839507383801083,0.0
information_sampling,intercept,hierarchical,observable,"{""penalty"": 0.01}",0.8261087818518,0.311432479597418,0.5,0.8261087818518004,0.9787229345953414,1,40,0.839507383801083,0.013398601949282996
information_sampling,time_only,fully_shared,observable,"{""penalty"": 0.01}",0.838991959479545,0.316758033845895,0.48484848484848486,0.8389919594795451,0.999658135692713,1,40,0.839507383801083,0.0005154243215380605
information_sampling,time_only,hierarchical,observable,"{""penalty"": 0.01}",0.83513032565397,0.315173307458627,0.5151515151515151,0.8351303256539702,0.9946925308391937,1,40,0.839507383801083,0.004377058147112978
information_sampling,immediate_state,fully_shared,observable,"{""penalty"": 0.01}",0.725170028599336,0.265612092178903,0.5353535353535355,0.7251700285993359,0.777481881638936,1,40,0.839507383801083,0.11433735520174704
information_sampling,immediate_state,hierarchical,observable,"{""penalty"": 0.01}",0.767177794375675,0.285406532208641,0.5151515151515151,0.7671777943756746,0.8758007097822628,1,40,0.839507383801083,0.07232958942540801
information_sampling,finite_history,fully_shared,observable,"{""history_lag"": 1, ""penalty"": 0.01}",0.742677203426073,0.273325818875712,0.5101010101010102,0.7426772034260735,0.8702831074738558,1,40,0.839507383801083,0.09683018037501001
information_sampling,finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",0.793073542972197,0.294179958103318,0.5101010101010102,0.7930735429721968,1.0001709927583635,1,40,0.839507383801083,0.04643384082888602
information_sampling,exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.710275256436758,0.258404182790544,0.48484848484848486,0.7102752564367577,0.740250941720754,1,40,0.839507383801083,0.129232127364325
information_sampling,exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.752141941801885,0.278424370806435,0.48484848484848486,0.7521419418018848,0.8509697319514667,1,40,0.839507383801083,0.08736544199919805
information_sampling,perseveration,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.7414417236704,0.273284951721971,0.494949494949495,0.7414417236704003,0.8329635422065114,1,40,0.839507383801083,0.09806566013068307
information_sampling,perseveration,hierarchical,observable,"{""history_decay"": 0.7, ""penalty"": 0.01}",0.820197048452172,0.308312871892056,0.5353535353535352,0.8201970484521721,0.9969322035172666,1,40,0.839507383801083,0.019310335348911023
information_sampling,dual_history,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.731120279011285,0.26843857281494,0.46464646464646464,0.7311202790112852,0.8127563497774488,1,40,0.839507383801083,0.10838710478979807
information_sampling,dual_history,hierarchical,observable,"{""history_decay"": 0.25, ""penalty"": 0.01}",0.789135217280076,0.294271643183517,0.5151515151515151,0.7891352172800756,0.9557534657720709,1,40,0.839507383801083,0.05037216652100707
information_sampling,dynamic_reevaluation,fully_shared,observable,"{""penalty"": 0.01}",0.914851334197732,0.345330093977457,0.5707070707070707,0.9148513341977316,1.1415635633994616,1,40,0.839507383801083,-0.07534395039664898
information_sampling,dynamic_reevaluation,hierarchical,observable,"{""penalty"": 0.01}",0.907860559796111,0.342924618493356,0.5707070707070707,0.9078605597961106,1.1287827973888402,1,40,0.839507383801083,-0.06835317599502799
information_sampling,option_termination,fully_shared,observable,"{""penalty"": 0.01}",0.836212132058376,0.31482553448957,0.48989898989898983,0.8362121320583762,0.971840802094846,1,40,0.839507383801083,0.0032952517427070616
information_sampling,option_termination,hierarchical,observable,"{""penalty"": 0.01}",0.839357935317971,0.316238188326193,0.48989898989898983,0.839357935317971,0.9794543813901448,1,40,0.839507383801083,0.00014944848311204684
information_sampling,competitive_time_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.810462122772637,0.304590836220799,0.5151515151515151,0.8104621227726373,0.9588092292878961,1,40,0.839507383801083,0.029045261028446068
information_sampling,competitive_time_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.824603502937888,0.310538214557922,0.5353535353535352,0.8246035029378879,0.9875678419250516,1,40,0.839507383801083,0.014903880863195051
information_sampling,latent_commitment,fully_shared,observable,"{""penalty"": 0.01, ""rho"": 0.25}",0.907793813154581,0.341275413081149,0.46464646464646464,0.9077938131545806,1.1381927844689825,1,40,0.839507383801083,-0.06828642935349793
information_sampling,latent_commitment,hierarchical,observable,"{""penalty"": 0.01, ""rho"": 0.5}",0.986152359366695,0.367170061113124,0.5151515151515151,0.9861523593666949,1.2930843969254449,1,40,0.839507383801083,-0.14664497556561196
information_sampling,sunk_extension,fully_shared,observable,"{""penalty"": 0.01}",0.716592640734528,0.261500221477153,0.5454545454545455,0.7165926407345281,0.7619034455327921,1,40,0.839507383801083,0.12291474306655503
information_sampling,sunk_extension,hierarchical,observable,"{""penalty"": 0.01}",0.762859788663365,0.283444335122971,0.5353535353535352,0.7628597886633647,0.8694391696500076,1,40,0.839507383801083,0.07664759513771802
information_sampling,flexible_linear,fully_shared,observable,"{""penalty"": 0.01}",0.733045991849306,0.269242239647456,0.5353535353535354,0.733045991849306,0.8415957127092176,1,40,0.839507383801083,0.10646139195177706
information_sampling,flexible_linear,hierarchical,observable,"{""penalty"": 0.01}",0.807837808973841,0.299652939693792,0.5353535353535355,0.8078378089738412,1.033464643460837,1,40,0.839507383801083,0.031669574827241975
information_sampling,mlp,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",0.718396688970585,0.262346751683691,0.5555555555555556,0.7183966889705852,0.8070645544802795,1,40,0.839507383801083,0.12111069483049808
information_sampling,mlp,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",0.72770255208262,0.266789677810508,0.5151515151515151,0.72770255208262,0.794748929920192,1,40,0.839507383801083,0.111804831718463
