model,sharing,macro_log_loss,macro_delta_log_loss,tasks,rank,delta_log_loss_vs_null_ci_low,delta_log_loss_vs_null_ci_high
perseveration,hierarchical,0.6847819510337522,0.03943263997287623,5,1,-0.04706107344817536,0.16282225164054334
sunk_extension,fully_shared,0.7092997047699112,0.014914886236717217,5,2,-0.04075904676167419,0.08120656418287864
option_termination,hierarchical,0.7164713243930763,0.007743266613552224,5,3,-0.03444882478836455,0.04335246196448361
intercept,hierarchical,0.7169567110553217,0.007257879951306801,5,4,0.001551936067583992,0.013107794165912234
option_termination,fully_shared,0.7186141123523156,0.005600478654312802,5,5,-0.041545371742536606,0.04432008880596542
intercept,fully_shared,0.7242145910066284,0.0,5,6,0.0,0.0
time_only,hierarchical,0.7272980534308394,-0.003083462424211003,5,7,-0.013723677105832421,0.005340229648552408
time_only,fully_shared,0.7280016234413934,-0.003787032434764992,5,8,-0.011427826720594014,0.002443366445414652
immediate_state,fully_shared,0.7281098536393469,-0.003895262632718377,5,9,-0.08417092470605998,0.06687766289046622
sunk_extension,hierarchical,0.7284959817424765,-0.004281390735848189,5,10,-0.0493379343684218,0.03970548523777919
competitive_time_reward,fully_shared,0.7335875307489008,-0.00937293974227238,5,11,-0.04654109863796756,0.03180737854620137
immediate_state,hierarchical,0.7356145714006808,-0.011399980394052388,5,12,-0.060311093178365784,0.03751113239026101
exponential_reward,hierarchical,0.735874173774232,-0.011659582767603571,5,13,-0.08547981586753435,0.062160650332327205
exponential_reward,fully_shared,0.7363014451224548,-0.012086854115826374,5,14,-0.12492149551191016,0.08242447549971321
dynamic_reevaluation,hierarchical,0.7370020551279712,-0.012787464121342773,5,15,-0.04178090486418897,0.013226203662997005
dynamic_reevaluation,fully_shared,0.7372612926684442,-0.013046701661815785,5,16,-0.047898516162302784,0.011947392312213801
dual_history,hierarchical,0.7425089806342549,-0.018294389627626396,5,17,-0.09373909123653439,0.0360460327254698
competitive_time_reward,hierarchical,0.7435123513397164,-0.01929776033308799,5,18,-0.05952201572133518,0.02631707050949274
dual_history,fully_shared,0.7455434159482274,-0.021328824941598955,5,19,-0.14481631099735495,0.07367028472950608
perseveration,fully_shared,0.7993356569382749,-0.07512106593164655,5,20,-0.19697524231049293,0.027969007310959436
latent_commitment,hierarchical,0.9719808631713501,-0.2477662721647218,5,21,-0.6160990854536831,0.0026508956524332605
gru,hierarchical,0.9726281582045242,-0.2484135671978958,5,22,-0.4427893063234972,-0.043077433533613776
latent_commitment,fully_shared,0.9961922713367481,-0.2719776803301198,5,23,-0.6785066790597888,-0.0355830684050562
gru,fully_shared,1.1142699717305184,-0.39005538072388996,5,24,-0.8004245367501632,0.0009526375410121722
finite_history,fully_shared,1.4083142433117593,-0.6840996523051308,5,25,-1.9745619263671852,0.011025692033621626
mlp,fully_shared,1.4265444532298088,-0.7023298622231804,5,26,-1.8503436291798203,-0.04074451478887234
flexible_linear,fully_shared,1.4382139761271793,-0.7139993851205507,5,27,-2.0579966265427805,0.03212366225622325
mlp,hierarchical,1.4401436640070722,-0.7159290730004438,5,28,-1.9960493270731359,0.004906613772749968
finite_history,hierarchical,1.567032747699104,-0.8428181566924755,5,29,-2.7748158933444698,0.2425706593144577
flexible_linear,hierarchical,1.746953435202111,-1.0227388441954828,5,30,-3.2079159333946103,0.1828672904770858
