task,decay,validation_log_loss,log_loss,selected_penalty,validation_selected
bandit,0.0,0.143257981614149,0.1489460466704709,0.01,False
bandit,0.25,0.142365154970344,0.14779131009812171,0.01,False
bandit,0.5,0.141903154164387,0.14724353859322978,0.01,False
bandit,0.7,0.141311672196181,0.14626531371695883,0.01,False
bandit,0.85,0.138056745469234,0.1431754195684494,0.01,False
bandit,0.95,0.133993198457188,0.14044430050174575,0.1,True
foraging,0.0,0.550773422357434,0.54682400045941,0.01,False
foraging,0.25,0.546876206036361,0.5401109210773516,0.01,False
foraging,0.5,0.546571030212192,0.538246135003915,0.01,True
foraging,0.7,0.548860064991253,0.541603960435824,0.01,False
foraging,0.85,0.551830091642708,0.5467961036878399,0.01,False
foraging,0.95,0.554182222065161,0.5510996469272578,0.01,False
independent_effort_control,0.0,0.73592815710198,0.7268482532624286,0.01,False
independent_effort_control,0.25,0.731654011255845,0.727172497133456,0.01,False
independent_effort_control,0.5,0.724314380078043,0.7263225201732927,0.01,False
independent_effort_control,0.7,0.714496299472566,0.7147238962269723,0.01,False
independent_effort_control,0.85,0.707098437185091,0.692156519470692,0.01,False
independent_effort_control,0.95,0.70513458862494,0.6718108869066447,0.01,True
information_sampling,0.0,0.525262219066095,0.7950154018271777,0.01,False
information_sampling,0.25,0.522958208387132,0.7899747400023556,0.01,True
information_sampling,0.5,0.529812717118571,0.7852408362287887,0.01,False
information_sampling,0.7,0.548014376459854,0.7846008881120802,0.01,False
information_sampling,0.85,0.563250453888911,0.7920677629728428,0.01,False
information_sampling,0.95,0.565030704701384,0.8010207761412138,0.01,False
partial_reinforcement,0.0,0.491777183081881,0.677360927073727,0.01,True
partial_reinforcement,0.25,0.492912874862749,0.7238124876054918,0.01,False
partial_reinforcement,0.5,0.528351390135412,0.7877388304479508,0.01,False
partial_reinforcement,0.7,0.598478566086782,0.7981500644960299,0.01,False
partial_reinforcement,0.85,0.623353022170222,0.6983211636675609,0.01,False
partial_reinforcement,0.95,0.639048722521357,0.6618820835412059,0.01,False
solvability,0.0,0.421957254475606,0.4917103826678827,0.01,False
solvability,0.25,0.419452105798546,0.4949529952503093,0.01,True
solvability,0.5,0.424200223021496,0.5094767267563972,0.01,False
solvability,0.7,0.436520985661475,0.5296401335028481,0.01,False
solvability,0.85,0.448381969605579,0.5448638351102981,0.01,False
solvability,0.95,0.454340878140842,0.5509194609418203,0.01,False
