task,history_lag,validation_log_loss,log_loss,selected_penalty,feature_names,value_coefficients,validation_selected
bandit,1,0.125357627020552,0.13218201213327627,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;outcome_lag_1;outcome_lag_1__present,"[-0.055428480396188876, 0.19549466219632214, -0.028867857118271553, 0.23552632067866214, -0.2446689199161145]",False
bandit,2,0.121819218102798,0.12885446543864637,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present,"[-0.0602774675675344, 0.1694010155308215, -0.0454886995638315, 0.14250929220480968, 0.25458553025958613, -0.24448383192710993, -0.17197978377902387]",False
bandit,3,0.121743113128927,0.12924628552649386,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present,"[-0.06109595140694686, 0.1647339409149556, -0.045377861839569315, 0.13863325794396897, 0.24540200098995915, 0.029880126778148747, -0.24673755146418697, -0.17441288877987693, -0.06234796080241581]",False
bandit,5,0.120890100557775,0.12885478571267153,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present,"[-0.05677404831413211, 0.1699536560857901, -0.0411697081381053, 0.14142825700322512, 0.2533811234073948, 0.058136640801116274, -0.09436488345595033, -0.2480095062934731, -0.17476857079347508, -0.06218826679075501, 0.07160872760471587]",False
bandit,8,0.120415622666779,0.12802640242971933,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;action_lag_8;action_lag_8__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present;outcome_lag_8;outcome_lag_8__present,"[-0.049274503292532947, 0.17434030779314375, -0.03948523687272319, 0.1408055598168886, 0.2542240146771916, 0.06577804882709534, -0.053267426324793865, -0.1435339800534592, -0.24897783427044604, -0.17797409982289408, -0.06496809761910667, 0.0724456554721594, 0.029630512700841393]",True
foraging,1,0.560674775257514,0.543626444546536,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;outcome_lag_1;outcome_lag_1__present,"[0.43437113750739065, -0.056499884668231456, -0.08862566983817802, 0.9374511399465648, -0.6042673780416723]",True
foraging,2,0.567334027562809,0.5419095319633164,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present,"[0.21909124011624365, -0.041525375237356735, -0.07872396551053862, 0.9957070578196464, 0.2259902068572025, -0.6232112071705637, -0.16232025061119776]",False
foraging,3,0.567263836217613,0.541605790398404,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present,"[0.28997682162045996, -0.040857222762215845, -0.08655783325861248, 0.9456380231162773, 0.21621098774196645, -0.09406953330641578, -0.6270113925339289, -0.1687635372231014, 0.1418746922185365]",False
foraging,5,0.566685766528602,0.5387957343582293,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present,"[0.3853538793218388, -0.027966563332859698, -0.0668016274432243, 0.8691786842862068, 0.1839844572163365, -0.1172540834357305, -0.18283448751361686, -0.6528229713077393, -0.19077191534684984, 0.12504185639748674, -0.20719458772037055]",False
foraging,8,0.566688752336132,0.5387970106658069,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;action_lag_8;action_lag_8__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present;outcome_lag_8;outcome_lag_8__present,"[0.3852508649857299, -0.028038592646483795, -0.06681896609437431, 0.8693140894738629, 0.18400031480827747, -0.11723874962946884, -0.18276591313676485, 0.006159622038399551, -0.6530042529212069, -0.19069221224581656, 0.12520203462789656, -0.20723448577342643, 0.004619716528799662]",False
