model,sharing,information_set,selected_hyperparameters,validation_macro_log_loss,parameter_count,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states,rank,log_loss_ci_low,log_loss_ci_high
mlp,task_specific,observable,"{""bandit"": {""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}, ""foraging"": {""dropout"": 0.0, ""epochs"": 94, ""hidden_size"": 32, ""learning_rate"": 0.001}, ""information_sampling"": {""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}, ""partial_reinforcement"": {""dropout"": 0.0, ""epochs"": 55, ""hidden_size"": 32, ""learning_rate"": 0.001}, ""solvability"": {""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}}",0.3678050950824774,11845,0.486475622025313,0.166308178723161,0.7631174917141572,0.23793534422569187,0.5584009588507572,5,2537,1,0.2715459500434684,0.677536243030643
gru,task_specific,observable,"{""bandit"": {""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}, ""foraging"": {""dropout"": 0.0, ""epochs"": 60, ""hidden_size"": 64, ""learning_rate"": 0.001}, ""information_sampling"": {""dropout"": 0.0, ""epochs"": 73, ""hidden_size"": 64, ""learning_rate"": 0.001}, ""partial_reinforcement"": {""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 32, ""learning_rate"": 0.001}, ""solvability"": {""dropout"": 0.0, ""epochs"": 95, ""hidden_size"": 64, ""learning_rate"": 0.001}}",0.3334738282391398,122885,0.492252000834284,0.167360028183187,0.762327617962521,0.23188227123595148,0.5433230233535069,5,2537,2,0.2841724855440959,0.6747244422907901
finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",0.411840735674441,90,0.514859131857005,0.177367344167922,0.7548363010876149,0.2619019362741416,0.6265965558277911,5,2537,3,0.30445947476599033,0.6939236056123131
latent_commitment,task_specific,observable,"{""penalty"": 0.01, ""rho"": 0.5}",0.425680887107163,85,0.516171751489709,0.1747869946011,0.7322902040685513,0.263160110867164,0.6079708258655576,5,2537,4,0.3135916624928273,0.6819894296964312
gru,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",0.345476277084702,28673,0.518847389355271,0.175370942815251,0.7477903402905163,0.24910218685192423,0.6197600885409082,5,2537,5,0.31305416118110213,0.6950118698301232
finite_history,task_specific,observable,"{""history_lag"": 2, ""penalty"": 0.01}",0.390331759412157,75,0.518882828322654,0.179465104677654,0.7353150911687647,0.25029215510133795,0.6083953208978331,5,2537,6,0.3066983840748416,0.692634820206554
gru,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",0.357657751642552,28993,0.520377406735365,0.177263641054707,0.7415582553945262,0.25255171547941035,0.6175796568717051,5,2537,7,0.31288836750815535,0.7019010235332341
flexible_linear,hierarchical,observable,"{""penalty"": 0.01}",0.39368580411813,378,0.524538953525431,0.179700458555138,0.7423350563286297,0.2561248014590521,0.6107150434694227,5,2537,8,0.30489829115231976,0.7029940979717102
dual_history,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.426605612119033,105,0.531971351739734,0.178832387127168,0.7355797447208714,0.2626724495718099,0.6069111506779674,5,2537,9,0.33420461350890995,0.7108235030446285
flexible_linear,task_specific,observable,"{""penalty"": 0.01}",0.377219559572739,315,0.53497822119069,0.178607734920482,0.7343172289534202,0.24276825128949311,0.5789136955757496,5,2537,10,0.32435419502851087,0.7345188024675917
perseveration,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.468947252800119,95,0.538208656000183,0.18489392023116,0.7250023586792295,0.2696121764726687,0.6115547758180733,5,2537,11,0.3301654680996588,0.695638510506716
exponential_reward,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.442230196825492,95,0.540295150844512,0.182208425438777,0.7137308892855438,0.2690573877561963,0.6245353497370209,5,2537,12,0.34158804370570583,0.7104207046714099
dual_history,hierarchical,observable,"{""history_decay"": 0.25, ""penalty"": 0.01}",0.464698204241874,126,0.54165811964882,0.184932296791318,0.6842161613312234,0.2746583907638106,0.6353415309938285,5,2537,13,0.3366964470292251,0.7100292525076718
sunk_extension,task_specific,observable,"{""penalty"": 0.01}",0.483435830825327,95,0.544467426421467,0.187416321502988,0.7017869699947242,0.27488581146343705,0.6257360011005252,5,2537,14,0.3309254873864023,0.7142159350257355
immediate_state,task_specific,observable,"{""penalty"": 0.01}",0.483435915330661,85,0.545173993199836,0.187755678931529,0.7002113642910845,0.2750901349448745,0.6259827314914952,5,2537,15,0.3420479401973224,0.7079272629912788
latent_commitment,hierarchical,observable,"{""penalty"": 0.01, ""rho"": 0.95}",0.483605045255188,102,0.546082707026647,0.188600668922875,0.7021411223841592,0.2791370560870811,0.6739989608854534,5,2537,16,0.32528009826374155,0.7211659420667949
exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.479309622599153,114,0.549806561848647,0.189219357620397,0.6572193719170341,0.28418031270801475,0.6542531802365942,5,2537,17,0.3400317242985927,0.7054940926559203
mlp,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",0.40992569707769,2529,0.550549945745625,0.191056002461263,0.663902671497167,0.2773649314569028,0.6550601834031644,5,2537,18,0.328960685754216,0.7249674611364656
