model,sharing,information_set,selected_hyperparameters,task,states,log_loss,brier,auc,calibration_error,calibration_intercept,calibration_slope,deviance_explained,policy_logit_correlation,bootstrap_unit,log_loss_ci_low,log_loss_ci_high
intercept,task_specific,observable,"{""penalty"": 10.0}",bandit,1800,0.15907985985584325,0.035841312210455056,0.5,0.002140984678444112,,,-0.00041769119288126433,-3.8698057227357323e-16,episode,0.12112624713852328,0.22623274303135774
intercept,task_specific,observable,"{""penalty"": 10.0}",foraging,364,0.6320802171394174,0.2200356802468668,0.5,0.030819166943924003,,,-0.003338402988102507,8.107648801824293e-17,episode,0.6173403932336776,0.6494679136030747
intercept,task_specific,observable,"{""penalty"": 10.0}",information_sampling,40,0.7928308063090388,0.29715813694258575,0.5,0.2228410575782338,,,-0.152137897919858,,episode,0.7133583511010049,0.9079682879720887
intercept,task_specific,observable,"{""penalty"": 10.0}",partial_reinforcement,20,0.6859437229702623,0.2464000861091003,0.5,0.08000053818006658,,,-0.019215203234846934,,episode,0.6774688410463634,0.6922077661314051
intercept,task_specific,observable,"{""penalty"": 10.0}",solvability,313,0.6617323087919345,0.23443582681848527,0.5,0.019020593794466523,,,-0.0011863951052835109,-2.4068673267677717e-17,episode,0.629680184185958,0.6995698778137724
intercept,fully_shared,observable,"{""penalty"": 0.01}",bandit,1800,0.18803986832618155,0.03993956907099911,0.5,0.06405342048585214,,,-0.1825407131585557,-3.8698057227357323e-16,episode,0.16322187588515627,0.23541115244237423
intercept,fully_shared,observable,"{""penalty"": 0.01}",foraging,364,0.6308789820611848,0.21948914723829893,0.5,0.020082032829115304,,,-0.0014316113304519984,,episode,0.6154523319109393,0.6482865937317158
intercept,fully_shared,observable,"{""penalty"": 0.01}",information_sampling,40,0.7986230218778827,0.29969672147273585,0.5,0.22846601820125428,,,-0.16055511760491803,,episode,0.7163215347753916,0.9355237342792866
intercept,fully_shared,observable,"{""penalty"": 0.01}",partial_reinforcement,20,0.7015357804821325,0.25419216303879066,0.5,0.11913086518107185,,,-0.042382791965007494,0.0,episode,0.6955440628830637,0.7096422219396963
intercept,fully_shared,observable,"{""penalty"": 0.01}",solvability,313,0.662879845617969,0.2349572633329971,0.5,0.029719009115479367,,,-0.0029225930252634313,,episode,0.6273167309003497,0.7076473011460929
