repetition,generating_model,selected_model,recovered_parameter
0,H1_latent_commitment,latent_commitment,0.9
0,H2_shared_rule,shared_rule,fully_shared
0,H3_task_specific_evaluation,task_specific,task_specific
0,H4_generic_sequential_choice,finite_history,3
1,H1_latent_commitment,latent_commitment,0.9
1,H2_shared_rule,shared_rule,fully_shared
1,H3_task_specific_evaluation,task_specific,task_specific
1,H4_generic_sequential_choice,finite_history,3
2,H1_latent_commitment,latent_commitment,0.9
2,H2_shared_rule,shared_rule,fully_shared
2,H3_task_specific_evaluation,task_specific,task_specific
2,H4_generic_sequential_choice,finite_history,3
3,H1_latent_commitment,latent_commitment,0.9
3,H2_shared_rule,shared_rule,fully_shared
3,H3_task_specific_evaluation,task_specific,task_specific
3,H4_generic_sequential_choice,finite_history,3
4,H1_latent_commitment,latent_commitment,0.9
4,H2_shared_rule,shared_rule,fully_shared
4,H3_task_specific_evaluation,task_specific,task_specific
4,H4_generic_sequential_choice,finite_history,3
5,H1_latent_commitment,latent_commitment,0.9
5,H2_shared_rule,shared_rule,fully_shared
5,H3_task_specific_evaluation,task_specific,task_specific
5,H4_generic_sequential_choice,finite_history,3
6,H1_latent_commitment,latent_commitment,0.9
6,H2_shared_rule,shared_rule,fully_shared
6,H3_task_specific_evaluation,task_specific,task_specific
6,H4_generic_sequential_choice,finite_history,3
7,H1_latent_commitment,latent_commitment,0.9
7,H2_shared_rule,shared_rule,fully_shared
7,H3_task_specific_evaluation,task_specific,task_specific
7,H4_generic_sequential_choice,finite_history,3
8,H1_latent_commitment,latent_commitment,0.9
8,H2_shared_rule,shared_rule,fully_shared
8,H3_task_specific_evaluation,task_specific,task_specific
8,H4_generic_sequential_choice,finite_history,3
9,H1_latent_commitment,latent_commitment,0.9
9,H2_shared_rule,shared_rule,fully_shared
9,H3_task_specific_evaluation,task_specific,task_specific
9,H4_generic_sequential_choice,finite_history,3
10,H1_latent_commitment,latent_commitment,0.9
10,H2_shared_rule,shared_rule,fully_shared
10,H3_task_specific_evaluation,task_specific,task_specific
10,H4_generic_sequential_choice,finite_history,3
11,H1_latent_commitment,latent_commitment,0.9
11,H2_shared_rule,shared_rule,fully_shared
11,H3_task_specific_evaluation,task_specific,task_specific
11,H4_generic_sequential_choice,finite_history,5
12,H1_latent_commitment,latent_commitment,0.9
12,H2_shared_rule,shared_rule,fully_shared
12,H3_task_specific_evaluation,task_specific,task_specific
12,H4_generic_sequential_choice,finite_history,8
13,H1_latent_commitment,latent_commitment,0.9
13,H2_shared_rule,shared_rule,fully_shared
13,H3_task_specific_evaluation,task_specific,task_specific
13,H4_generic_sequential_choice,finite_history,3
14,H1_latent_commitment,latent_commitment,0.9
14,H2_shared_rule,shared_rule,fully_shared
14,H3_task_specific_evaluation,task_specific,task_specific
14,H4_generic_sequential_choice,finite_history,3
15,H1_latent_commitment,latent_commitment,0.9
15,H2_shared_rule,shared_rule,fully_shared
15,H3_task_specific_evaluation,task_specific,task_specific
15,H4_generic_sequential_choice,finite_history,3
16,H1_latent_commitment,latent_commitment,0.9
16,H2_shared_rule,shared_rule,fully_shared
16,H3_task_specific_evaluation,task_specific,task_specific
16,H4_generic_sequential_choice,finite_history,5
17,H1_latent_commitment,latent_commitment,0.9
17,H2_shared_rule,shared_rule,fully_shared
17,H3_task_specific_evaluation,task_specific,task_specific
17,H4_generic_sequential_choice,finite_history,8
18,H1_latent_commitment,latent_commitment,0.9
18,H2_shared_rule,shared_rule,fully_shared
18,H3_task_specific_evaluation,task_specific,task_specific
18,H4_generic_sequential_choice,finite_history,3
19,H1_latent_commitment,latent_commitment,0.9
19,H2_shared_rule,shared_rule,fully_shared
19,H3_task_specific_evaluation,task_specific,task_specific
19,H4_generic_sequential_choice,finite_history,8
20,H1_latent_commitment,latent_commitment,0.9
20,H2_shared_rule,shared_rule,fully_shared
20,H3_task_specific_evaluation,task_specific,task_specific
20,H4_generic_sequential_choice,finite_history,3
21,H1_latent_commitment,latent_commitment,0.9
21,H2_shared_rule,shared_rule,fully_shared
21,H3_task_specific_evaluation,task_specific,task_specific
21,H4_generic_sequential_choice,finite_history,3
22,H1_latent_commitment,latent_commitment,0.9
22,H2_shared_rule,shared_rule,fully_shared
22,H3_task_specific_evaluation,task_specific,task_specific
22,H4_generic_sequential_choice,finite_history,3
23,H1_latent_commitment,latent_commitment,0.9
23,H2_shared_rule,shared_rule,fully_shared
23,H3_task_specific_evaluation,task_specific,task_specific
23,H4_generic_sequential_choice,finite_history,3
24,H1_latent_commitment,latent_commitment,0.9
24,H2_shared_rule,shared_rule,fully_shared
24,H3_task_specific_evaluation,task_specific,task_specific
24,H4_generic_sequential_choice,finite_history,3
25,H1_latent_commitment,latent_commitment,0.9
25,H2_shared_rule,shared_rule,fully_shared
25,H3_task_specific_evaluation,task_specific,task_specific
25,H4_generic_sequential_choice,finite_history,5
26,H1_latent_commitment,latent_commitment,0.9
26,H2_shared_rule,shared_rule,fully_shared
26,H3_task_specific_evaluation,task_specific,task_specific
26,H4_generic_sequential_choice,finite_history,3
27,H1_latent_commitment,latent_commitment,0.9
27,H2_shared_rule,shared_rule,fully_shared
27,H3_task_specific_evaluation,task_specific,task_specific
27,H4_generic_sequential_choice,finite_history,3
28,H1_latent_commitment,latent_commitment,0.9
28,H2_shared_rule,shared_rule,fully_shared
28,H3_task_specific_evaluation,task_specific,task_specific
28,H4_generic_sequential_choice,finite_history,3
29,H1_latent_commitment,latent_commitment,0.9
29,H2_shared_rule,shared_rule,fully_shared
29,H3_task_specific_evaluation,task_specific,task_specific
29,H4_generic_sequential_choice,finite_history,3
30,H1_latent_commitment,latent_commitment,0.9
30,H2_shared_rule,shared_rule,fully_shared
30,H3_task_specific_evaluation,task_specific,task_specific
30,H4_generic_sequential_choice,finite_history,3
31,H1_latent_commitment,latent_commitment,0.5
31,H2_shared_rule,shared_rule,fully_shared
31,H3_task_specific_evaluation,task_specific,task_specific
31,H4_generic_sequential_choice,finite_history,3
