episode_id,state_id,task,round,observed_persistence_logit,predicted_persistence_logit,termination_advantage,estimated_continue_value,estimated_outside_value,cost_component,progress_component,generic_latent_value
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:0,bandit,0,4.203889734292549,3.019657066147831,0.5,0.5,0.0,0.0,0.0,1.25
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:1,bandit,1,3.0075990353171704,3.114136645557705,0.5,0.5,0.0,0.0,-2.0,2.4375
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:2,bandit,2,3.7234445810050545,3.2038922459970847,0.5,0.5,0.0,0.0,3.0,3.565625
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:3,bandit,3,3.2234445810050545,3.289160066414496,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,4.637343749999999
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:4,bandit,4,1.4287006782765204,3.3701644958110366,1.3333333333333337,1.3333333333333337,0.0,0.0,-2.0,5.6554765625
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:5,bandit,5,3.0075990353171704,3.4471187037377504,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,6.622702734374999
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:6,bandit,6,2.7254126516016477,3.5202252012681283,1.75,1.75,0.0,0.0,3.0,7.5415675976562495
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:7,bandit,7,2.031150136248314,3.589676373921987,1.75,1.75,0.0,0.0,-2.0,8.414489217773436
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:8,bandit,8,1.6787006782765204,3.6556549879431532,1.75,1.75,0.0,0.0,-2.0,9.243764756884765
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:9,bandit,9,0.826413277982752,3.718334671263261,1.75,1.75,0.0,0.0,-2.0,10.031576519040527
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:10,bandit,10,0.2676750576056008,3.7778803704173636,1.75,1.75,0.0,0.0,-2.0,10.7799976930885
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:11,bandit,11,0.376928011042974,3.8344487846137607,1.75,1.75,0.0,0.0,-2.0,11.490997808434075
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:0,bandit,0,4.203889734292549,3.019657066147831,0.5,0.5,0.0,0.0,0.0,1.25
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:1,bandit,1,4.42870067827652,3.114136645557705,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,2.4375
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:2,bandit,2,3.6368710061149017,3.2038922459970847,0.5,0.5,0.0,0.0,-2.0,3.565625
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:3,bandit,3,4.71393946547494,3.289160066414496,1.0,1.0,0.0,0.0,3.0,4.637343749999999
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:4,bandit,4,3.8288897342925488,3.3701644958110366,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,5.6554765625
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:5,bandit,5,3.686967589003199,3.4471187037377504,1.5714285714285716,1.5714285714285716,0.0,0.0,3.0,6.622702734374999
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:6,bandit,6,2.92974463538566,3.5202252012681283,1.125,1.125,0.0,0.0,-2.0,7.5415675976562495
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:7,bandit,7,1.951413277982752,3.589676373921987,0.7777777777777777,0.7777777777777777,0.0,0.0,-2.0,8.414489217773436
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:8,bandit,8,3.92358735157374,3.6556549879431532,1.0,1.0,0.0,0.0,3.0,9.243764756884765
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:9,bandit,9,3.6949361996449746,3.718334671263261,1.1818181818181817,1.1818181818181817,0.0,0.0,3.0,10.031576519040527
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:10,bandit,10,4.52975041827262,3.7778803704173636,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,10.7799976930885
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:11,bandit,11,4.27975041827262,3.8344487846137607,1.4615384615384617,1.4615384615384617,0.0,0.0,3.0,11.490997808434075
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:12,bandit,12,3.3199361996449746,3.888188778100338,1.2142857142857144,1.2142857142857144,0.0,0.0,-2.0,12.166447918012372
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:13,bandit,13,4.0380413716877825,3.9392417719125867,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,12.808125522111753
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:14,bandit,14,4.15864569998304,3.9877421160342226,1.4375,1.4375,0.0,0.0,3.0,13.417719246006165
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:15,bandit,15,3.79858735157374,4.033817442949777,1.2352941176470589,1.2352941176470589,0.0,0.0,-2.0,13.996833283705856
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:16,bandit,16,3.0429990792290873,4.077589003519553,1.0555555555555554,1.0555555555555554,0.0,0.0,-2.0,14.546991619520563
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:17,bandit,17,4.643149927917811,4.119171986060842,1.1578947368421053,1.1578947368421053,0.0,0.0,3.0,15.069642038544535
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:18,bandit,18,4.151300195186874,4.158675819475064,1.25,1.25,0.0,0.0,3.0,15.566159936617307
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:19,bandit,19,4.251929081345374,4.196204461218577,1.25,1.25,0.0,0.0,-2.0,16.037851939786442
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:20,bandit,20,4.328889734292549,4.2318566708749135,1.0952380952380951,1.0952380952380951,0.0,0.0,-2.0,16.48595934279712
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:21,bandit,21,5.54858735157374,4.265726270048432,1.1818181818181817,1.1818181818181817,0.0,0.0,3.0,16.91166137565726
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:22,bandit,22,4.929882179158078,4.297902389263276,1.2608695652173911,1.2608695652173911,0.0,0.0,3.0,17.316078306874395
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:23,bandit,23,5.15475041827262,4.328469702517378,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,17.700274391530673
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:24,bandit,24,5.03364569998304,4.357508650108774,1.4,1.4,0.0,0.0,3.0,18.06526067195414
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:25,bandit,25,5.03364569998304,4.385095650320601,1.4615384615384617,1.4615384615384617,0.0,0.0,3.0,18.411997638356432
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:26,bandit,26,4.7880413716877825,4.411303300521836,1.5185185185185186,1.5185185185185186,0.0,0.0,3.0,18.74139775643861
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:27,bandit,27,4.679882179158078,4.4362005682130095,1.3928571428571428,1.3928571428571428,0.0,0.0,-2.0,19.054327868616678
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:28,bandit,28,5.28364569998304,4.4598529725196245,1.4482758620689653,1.4482758620689653,0.0,0.0,3.0,19.351611475185845
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:29,bandit,29,5.0380413716877825,4.482322756610909,1.5,1.5,0.0,0.0,3.0,19.634030901426552
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:30,bandit,30,5.273245464372426,4.503669051497629,1.5483870967741935,1.5483870967741935,0.0,0.0,3.0,19.902329356355224
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:31,bandit,31,5.148245464372426,4.523948031640013,1.59375,1.59375,0.0,0.0,3.0,20.15721288853746
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:32,bandit,32,5.026300195186874,4.543213062775278,1.6363636363636362,1.6363636363636362,0.0,0.0,3.0,20.399352244110588
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:33,bandit,33,4.901300195186874,4.561514842353779,1.676470588235294,1.676470588235294,0.0,0.0,3.0,20.629384631905058
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:34,bandit,34,5.026300195186874,4.578901532953355,1.7142857142857144,1.7142857142857144,0.0,0.0,3.0,20.847915400309805
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:35,bandit,35,5.02975041827262,4.5954188890229535,1.75,1.75,0.0,0.0,3.0,21.055519630294313
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:36,bandit,36,5.023245464372426,4.611110377289071,1.7837837837837838,1.7837837837837838,0.0,0.0,3.0,21.252743648779596
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:37,bandit,37,4.898245464372426,4.626017291141882,1.8157894736842104,1.8157894736842104,0.0,0.0,3.0,21.440106466340616
seed-12035-pa-0.35-pb-0.35,seed-12035-pa-0.35-pb-0.35:0,bandit,0,4.203889734292549,2.9003144395248324,0.5,0.5,0.0,0.0,0.0,-0.25
seed-12035-pa-0.35-pb-0.35,seed-12035-pa-0.35-pb-0.35:1,bandit,1,3.849076984180108,2.8814185236428576,0.5,0.5,0.0,0.0,-2.0,-0.4875
seed-12035-pa-0.35-pb-0.35,seed-12035-pa-0.35-pb-0.35:2,bandit,2,1.2575990353171704,2.8634674035549814,0.5,0.5,0.0,0.0,-2.0,-0.713125
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:0,bandit,0,4.203889734292549,3.019657066147831,0.5,0.5,0.0,0.0,0.0,1.25
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:1,bandit,1,3.849076984180108,3.114136645557705,0.5,0.5,0.0,0.0,-2.0,2.4375
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:2,bandit,2,4.350412651601648,3.2038922459970847,0.5,0.5,0.0,0.0,3.0,3.565625
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:3,bandit,3,2.7731232641398407,3.289160066414496,0.5,0.5,0.0,0.0,-2.0,4.637343749999999
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:4,bandit,4,3.376928011042974,3.3701644958110366,0.5,0.5,0.0,0.0,3.0,5.6554765625
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:5,bandit,5,3.1128222787715707,3.4471187037377504,0.8571428571428572,0.8571428571428572,0.0,0.0,3.0,6.622702734374999
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:6,bandit,6,3.429882179158078,3.5202252012681283,1.125,1.125,0.0,0.0,3.0,7.5415675976562495
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:7,bandit,7,3.017675057605601,3.589676373921987,0.7777777777777777,0.7777777777777777,0.0,0.0,-2.0,8.414489217773436
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:8,bandit,8,1.8504126516016477,3.6556549879431532,0.5,0.5,0.0,0.0,-2.0,9.243764756884765
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:9,bandit,9,4.892675057605601,3.718334671263261,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,10.031576519040527
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:10,bandit,10,4.350206558916746,3.7778803704173636,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,10.7799976930885
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:11,bandit,11,3.975412651601648,3.8344487846137607,1.3333333333333337,1.3333333333333337,0.0,0.0,-2.0,11.490997808434075
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:12,bandit,12,2.974076984180108,3.888188778100338,1.3333333333333337,1.3333333333333337,0.0,0.0,-2.0,12.166447918012372
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:13,bandit,13,4.828889734292549,3.9392417719125867,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,12.808125522111753
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:14,bandit,14,4.436967589003199,3.9877421160342226,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,13.417719246006165
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:15,bandit,15,4.667999079229087,4.033817442949777,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,13.996833283705856
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:16,bandit,16,4.4130413716877825,4.077589003519553,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,14.546991619520563
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:17,bandit,17,4.4130413716877825,4.119171986060842,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,15.069642038544535
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:18,bandit,18,4.001928011042974,4.158675819475064,1.3333333333333337,1.3333333333333337,0.0,0.0,-2.0,15.566159936617307
seed-12039-pa-0.50-pb-0.65,seed-12039-pa-0.50-pb-0.65:19,bandit,19,4.792999079229087,4.196204461218577,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,16.037851939786442
