episode_id,state_id,task,round,observed_persistence_logit,predicted_persistence_logit,termination_advantage,estimated_continue_value,estimated_outside_value,cost_component,progress_component,choice_kernel
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:0,bandit,0,4.203889734292549,2.8778076302439457,0.5,0.5,0.0,0.0,0.0,0.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:1,bandit,1,3.0075990353171704,2.9746541525820804,0.5,0.5,0.0,0.0,-2.0,1.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:2,bandit,2,3.7234445810050545,3.0666583488033083,0.5,0.5,0.0,0.0,3.0,1.95
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:3,bandit,3,3.2234445810050545,3.154062335213475,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,2.8525
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:4,bandit,4,1.4287006782765204,3.237096122303133,1.3333333333333337,1.3333333333333337,0.0,0.0,-2.0,3.709875
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:5,bandit,5,3.0075990353171704,3.3159782200383083,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,4.524381249999999
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:6,bandit,6,2.7254126516016477,3.390916212886725,1.75,1.75,0.0,0.0,3.0,5.298162187499999
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:7,bandit,7,2.031150136248314,3.4621073060927205,1.75,1.75,0.0,0.0,-2.0,6.033254078124999
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:8,bandit,8,1.6787006782765204,3.529738844638416,1.75,1.75,0.0,0.0,-2.0,6.731591374218749
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:9,bandit,9,0.826413277982752,3.5939888062568275,1.75,1.75,0.0,0.0,-2.0,7.395011805507812
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:10,bandit,10,0.2676750576056008,3.655026269794318,1.75,1.75,0.0,0.0,-2.0,8.02526121523242
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:11,bandit,11,0.376928011042974,3.713011860154934,1.75,1.75,0.0,0.0,-2.0,8.623998154470799
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:0,bandit,0,4.203889734292549,2.8778076302439457,0.5,0.5,0.0,0.0,0.0,0.0
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:1,bandit,1,4.42870067827652,2.9746541525820804,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.0
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:2,bandit,2,3.6368710061149017,3.0666583488033083,0.5,0.5,0.0,0.0,-2.0,1.95
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:3,bandit,3,4.71393946547494,3.154062335213475,1.0,1.0,0.0,0.0,3.0,2.8525
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:4,bandit,4,3.8288897342925488,3.237096122303133,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,3.709875
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:5,bandit,5,3.686967589003199,3.3159782200383083,1.5714285714285716,1.5714285714285716,0.0,0.0,3.0,4.524381249999999
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:6,bandit,6,2.92974463538566,3.390916212886725,1.125,1.125,0.0,0.0,-2.0,5.298162187499999
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:7,bandit,7,1.951413277982752,3.4621073060927205,0.7777777777777777,0.7777777777777777,0.0,0.0,-2.0,6.033254078124999
