model,reference,information_set,sharing,delta_mse_reference_minus_model,delta_r_squared_model_minus_reference,delta_log_loss_reference_minus_model
intercept,time,observable,fully_shared,-0.8753813190919013,-0.286048161772892,-0.0681380056432006
intercept,choice_inertia,observable,fully_shared,-0.999522263061384,-0.322977208819675,-0.09135150825093419
time,choice_inertia,observable,fully_shared,-0.12414094396948272,-0.036929047046783015,-0.023213502607733583
previous_outcome,time,observable,fully_shared,-0.09267030137101173,-0.2040963996899688,0.006431467252371648
previous_outcome,choice_inertia,observable,fully_shared,-0.21681124534049445,-0.2410254467367518,-0.016782035355361935
streak,time,observable,fully_shared,0.027887939035637466,-0.1420687769812986,0.011369179282696984
streak,choice_inertia,observable,fully_shared,-0.09625300493384525,-0.17899782402808162,-0.011844323325036599
choice_inertia,time,observable,fully_shared,0.12414094396948272,0.036929047046783015,0.023213502607733583
finite_history,time,observable,fully_shared,0.1281940830177044,0.04005071603932492,0.02245073468863501
finite_history,choice_inertia,observable,fully_shared,0.004053139048221688,0.003121668992541904,-0.0007627679190985726
rescorla_wagner,time,observable,fully_shared,2.671018691226154,0.6113474211883116,0.21886030837038817
rescorla_wagner,choice_inertia,observable,fully_shared,2.5468777472566715,0.5744183741415285,0.19564680576265459
bayesian,time,observable,fully_shared,2.6825620823025815,0.6163208378415619,0.21557660972311565
bayesian,choice_inertia,observable,fully_shared,2.558421138333099,0.5793917907947788,0.19236310711538207
value_history_hybrid,time,observable,fully_shared,3.30141079265758,0.8829489423166004,0.2782157427569389
value_history_hybrid,choice_inertia,observable,fully_shared,3.1772698486880975,0.8460198952698172,0.2550022401492053
termination_advantage,time,observable,fully_shared,-0.027454478411889305,-0.10752085527446126,0.01180348685557342
termination_advantage,choice_inertia,observable,fully_shared,-0.15159542238137202,-0.14444990232124427,-0.011410015752160163
sticky_termination,time,observable,fully_shared,0.46245471893496104,0.08220972837793947,0.05186624611761126
sticky_termination,choice_inertia,observable,fully_shared,0.3383137749654783,0.04528068133115645,0.028652743509877676
decomposed_meta_control,time,observable,fully_shared,0.1446415535562453,-0.0009476193844799585,-0.005436173247115095
decomposed_meta_control,choice_inertia,observable,fully_shared,0.020500609586762586,-0.03787666643126297,-0.028649675854848677
mvt_like_foraging_threshold,time,observable,fully_shared,3.903377949045121,1.0461653043381298,0.12810649081666847
mvt_like_foraging_threshold,choice_inertia,observable,fully_shared,3.7792370050756383,1.0092362572913467,0.10489298820893489
disengagement_accumulator,time,observable,fully_shared,-0.027454478411889305,-0.10752085527446126,0.01180348685557342
disengagement_accumulator,choice_inertia,observable,fully_shared,-0.15159542238137202,-0.14444990232124427,-0.011410015752160163
latent_commitment,time,observable,fully_shared,0.06327943901973221,-0.07341606693574593,0.010310782191077061
latent_commitment,choice_inertia,observable,fully_shared,-0.06086150494975051,-0.11034511398252894,-0.012902720416656521
generic_latent_value,time,observable,fully_shared,-0.027454478411889305,-0.10752085527446126,0.01180348685557342
generic_latent_value,choice_inertia,observable,fully_shared,-0.15159542238137202,-0.14444990232124427,-0.011410015752160163
flexible_linear,time,observable,fully_shared,2.451312700274576,0.8545540133231624,0.18449226480825875
flexible_linear,choice_inertia,observable,fully_shared,2.327171756305093,0.8176249662763793,0.16127876220052517
oracle_policy,time,observable,fully_shared,4.337785071537992,1.3294660067959885,0.300968336663844
oracle_policy,choice_inertia,observable,fully_shared,4.213644127568509,1.2925369597492056,0.2777548340561104
intercept,time,observable,shared_architecture_task_observation,-1.0840832155080204,-0.42712042503389325,-0.08344129451143845
intercept,choice_inertia,observable,shared_architecture_task_observation,-2.434529980527742,-0.6989893407683043,-0.14836309782225998
intercept,gru,observable,shared_architecture_task_observation,-2.398175894761259,-0.7388903189733808,-0.15491773830089905
time,choice_inertia,observable,shared_architecture_task_observation,-1.3504467650197218,-0.27186891573441113,-0.06492180331082154
time,gru,observable,shared_architecture_task_observation,-1.3140926792532384,-0.31176989393948756,-0.07147644378946061
previous_outcome,time,observable,shared_architecture_task_observation,0.6271129111238365,0.03742559615624863,-8.915596763070521e-05
previous_outcome,choice_inertia,observable,shared_architecture_task_observation,-0.7233338538958853,-0.2344433195781625,-0.06501095927845224
previous_outcome,gru,observable,shared_architecture_task_observation,-0.6869797681294019,-0.27434429778323893,-0.07156559975709131
streak,time,observable,shared_architecture_task_observation,0.3771328729613588,0.03557534730734552,-0.0014531666850715608
streak,choice_inertia,observable,shared_architecture_task_observation,-0.973313892058363,-0.23629356842706561,-0.0663749699958931
streak,gru,observable,shared_architecture_task_observation,-0.9369598062918796,-0.27619454663214205,-0.07292961047453217
choice_inertia,time,observable,shared_architecture_task_observation,1.3504467650197218,0.27186891573441113,0.06492180331082154
choice_inertia,gru,observable,shared_architecture_task_observation,0.03635408576648347,-0.03990097820507643,-0.006554640478639073
finite_history,time,observable,shared_architecture_task_observation,1.3522504748228965,0.27666764906208957,0.06395094335028584
finite_history,choice_inertia,observable,shared_architecture_task_observation,0.00180370980317468,0.004798733327678439,-0.0009708599605356971
