model,code,information_set,sharing,parameter_count,task_count,states,episodes,r_squared,pooled_task_balanced_r_squared,mse,pooled_task_balanced_mse,pearson_r,pooled_task_balanced_pearson_r,log_loss,pooled_task_balanced_log_loss,brier,pooled_task_balanced_brier,auc,pooled_task_balanced_auc
intercept,M0,observable,task_specific,3,3,2477,314,-0.0018366858313260497,0.3192829177641163,3.548616582644641,3.5486165826446405,5.700344420674081e-17,0.5655140207756977,0.7050187576401626,0.7050187576401626,0.23935917843342383,0.23935917843342383,0.5,0.7917675268326102
time,M1,observable,task_specific,9,3,2477,314,0.4252837392025672,0.5272383128244491,2.4645333671366205,2.46453336713662,0.6356176589957442,0.7265355505737506,0.6215774631287242,0.6215774631287242,0.20816945127934539,0.2081694512793454,0.7492421776356032,0.877010733044074
previous_outcome,M2,observable,task_specific,9,3,2477,314,0.4627093353588158,0.6475349019742771,1.837420456012784,1.8374204560127838,0.6629116654404476,0.804714053516453,0.6216666190963549,0.6216666190963548,0.20078055320409258,0.20078055320409255,0.7568441051201406,0.8548138844485043
streak,M3,observable,task_specific,12,3,2477,314,0.4608590865099127,0.5995822200679216,2.0874004941752617,2.0874004941752617,0.6785114442392248,0.7744561609622891,0.6230306298137958,0.6230306298137956,0.2028848614661317,0.20288486146613166,0.7582627440323674,0.8544180558727259
choice_inertia,M4,observable,task_specific,15,3,2477,314,0.6971526549369783,0.7862891739670796,1.1140866021168987,1.1140866021168987,0.8348293656540413,0.886749898996793,0.5566556598179027,0.5566556598179027,0.18414713920071024,0.18414713920071024,0.7945545685761356,0.8968995965593363
finite_history,M5,observable,task_specific,24,3,2477,314,0.7038999661727466,0.7875230488720072,1.107654342573546,1.107654342573546,0.8386422291720274,0.8874994661496346,0.5571813865962588,0.5571813865962589,0.18437739815888,0.18437739815888002,0.7967135607228979,0.8978427342620081
rescorla_wagner,M6,observable,task_specific,4,1,1800,78,0.28188141439232306,0.28188141439232306,1.6667663803118375,1.6667663803118375,0.5330824989454779,0.5330824989454779,0.5525502531596495,0.5525502531596495,0.15775306050008767,0.15775306050008767,0.7951959762640921,0.7951959762640921
bayesian,M7,observable,task_specific,4,1,1800,78,0.2868548310455733,0.2868548310455733,1.65522298923541,1.65522298923541,0.5373880415745621,0.5373880415745621,0.555833951806922,0.555833951806922,0.15778211859562347,0.15778211859562347,0.7901835312761065,0.7901835312761065
value_history_hybrid,M8,observable,task_specific,9,1,1800,78,0.5534829355206118,0.5534829355206118,1.0363742788804116,1.0363742788804116,0.7453475629456049,0.7453475629456049,0.49319481877309873,0.49319481877309873,0.1462488027677183,0.1462488027677183,0.8237677739404535,0.8237677739404535
termination_advantage,M9,observable,task_specific,6,3,2477,314,0.052609732280528156,0.35026505486262327,3.3871049527140236,3.3871049527140236,0.23308507536444192,0.5919235178886317,0.7059307434399648,0.7059307434399648,0.24030835868259462,0.24030835868259462,0.5691687805995208,0.8176463423917181
