model,information_set,sharing,fraction_gru_r_squared_raw,delta_r_squared_gru_minus_model,fraction_reducible_choice_log_loss,raw_r_squared,raw_log_loss
intercept,observable,fully_shared,,,0.0,-0.6155141685688805,0.8395485671732382
time,observable,fully_shared,,,0.18460264111777133,-0.32946600679598853,0.7714105615300376
previous_outcome,observable,fully_shared,,,0.20202707011070792,-0.5335624064859573,0.764979094277666
streak,observable,fully_shared,,,0.21540454826365132,-0.47153478377728714,0.7600413822473406
choice_inertia,observable,fully_shared,,,0.2474937376582453,-0.2925369597492055,0.748197058922304
finite_history,observable,fully_shared,,,0.24542721147955382,-0.2894152907566636,0.7489598268414026
rescorla_wagner,observable,fully_shared,,,0.7775491264109641,0.28188141439232306,0.5525502531596495
bayesian,observable,fully_shared,,,0.7686527779311513,0.2868548310455733,0.555833951806922
value_history_hybrid,observable,fully_shared,,,0.938357618661621,0.5534829355206118,0.49319481877309873
termination_advantage,observable,fully_shared,,,0.21658119445770438,-0.4369868620704498,0.7596070746744642
sticky_termination,observable,fully_shared,,,0.32512107760257664,-0.24725627841804906,0.7195443154124264
decomposed_meta_control,observable,fully_shared,,,0.1698747087470158,-0.3304136261804685,0.7768467347771527
mvt_like_foraging_threshold,observable,fully_shared,,,0.5316746800753189,0.7166992975421412,0.6433040707133691
disengagement_accumulator,observable,fully_shared,,,0.21658119445770438,-0.4369868620704498,0.7596070746744642
latent_commitment,observable,fully_shared,,,0.21253708983688854,-0.40288207373173446,0.7610997793389606
generic_latent_value,observable,fully_shared,,,0.21658119445770438,-0.4369868620704498,0.7596070746744642
flexible_linear,observable,fully_shared,,,0.6844376308259328,0.5250880065271738,0.5869182967217789
oracle_policy,observable,fully_shared,,,1.0,1.0,0.47044222486619364
intercept,observable,shared_architecture_task_observation,-0.002491929689697438,0.7388903189733808,0.0,-0.0018366858313260497,0.7050187576401626
time,observable,shared_architecture_task_observation,0.5770051460021782,0.31176989393948756,0.3557103241518196,0.4252837392025672,0.6215774631287242
previous_outcome,observable,shared_architecture_task_observation,0.6277824496791217,0.27434429778323893,0.3553302521702944,0.4627093353588158,0.6216666190963549
streak,observable,shared_architecture_task_observation,0.6252721183196309,0.27619454663214205,0.349515473081735,0.4608590865099127,0.6230306298137958
choice_inertia,observable,shared_architecture_task_observation,0.9458642133884086,0.03990097820507643,0.6324720383058021,0.6971526549369783,0.5566556598179027
finite_history,observable,shared_architecture_task_observation,0.9523749109983254,0.03510224487739799,0.6283332612974849,0.7019513882646568,0.5576265197784384
rescorla_wagner,observable,shared_architecture_task_observation,0.3824435586738301,0.4551722187497317,0.6499733911039913,0.28188141439232306,0.5525502531596495
bayesian,observable,shared_architecture_task_observation,0.3891912584742484,0.45019880209648144,0.6359749804000673,0.2868548310455733,0.555833951806922
value_history_hybrid,observable,shared_architecture_task_observation,0.750939837527315,0.18357069762144296,0.9030056688201252,0.5534829355206118,0.49319481877309873
termination_advantage,observable,shared_architecture_task_observation,0.07137843152099152,0.6844439008615266,-0.003887796400677812,0.052609732280528156,0.7059307434399648
sticky_termination,observable,shared_architecture_task_observation,0.4880896452555276,0.37730538680745146,0.2692451858296577,0.3597482463346033,0.6418601554821586
decomposed_meta_control,observable,shared_architecture_task_observation,0.7655291992601205,0.17281755555105494,0.5868982167571479,0.5642360775909998,0.5673462088620456
mvt_like_foraging_threshold,observable,shared_architecture_task_observation,0.9723841865982763,0.02035433559991351,0.26308977371687875,0.7166992975421412,0.6433040707133691
disengagement_accumulator,observable,shared_architecture_task_observation,0.07137843152099152,0.6844439008615266,-0.003887796400677812,0.052609732280528156,0.7059307434399648
latent_commitment,observable,shared_architecture_task_observation,0.1957274146586869,0.5927920310623681,0.16197389137203766,0.14426160207968663,0.6670234838022026
generic_latent_value,observable,shared_architecture_task_observation,0.07137843152099152,0.6844439008615266,-0.003887796400677812,0.052609732280528156,0.7059307434399648
flexible_linear,observable,shared_architecture_task_observation,1.1396938987732133,-0.10296189561857527,0.7889535857522463,0.84001552876063,0.5199487609748105
oracle_policy,observable,shared_architecture_task_observation,1.3567533691367977,-0.26294636685794526,1.0,1.0,0.47044222486619364
mlp,observable,shared_architecture_task_observation,0.93014015045762,0.05149045591596846,0.6087103440240059,0.6855631772260863,0.5622295956753615
gru,observable,shared_architecture_task_observation,1.0,0.0,0.6604144773943488,0.7370536331420547,0.5501010193392636
intercept,observable,task_specific,,,0.0,-0.0018366858313260497,0.7050187576401626
time,observable,task_specific,,,0.3557103241518196,0.4252837392025672,0.6215774631287242
previous_outcome,observable,task_specific,,,0.3553302521702944,0.4627093353588158,0.6216666190963549
streak,observable,task_specific,,,0.349515473081735,0.4608590865099127,0.6230306298137958
choice_inertia,observable,task_specific,,,0.6324720383058021,0.6971526549369783,0.5566556598179027
finite_history,observable,task_specific,,,0.6302308645100297,0.7038999661727466,0.5571813865962588
rescorla_wagner,observable,task_specific,,,0.6499733911039913,0.28188141439232306,0.5525502531596495
bayesian,observable,task_specific,,,0.6359749804000673,0.2868548310455733,0.555833951806922
value_history_hybrid,observable,task_specific,,,0.9030056688201252,0.5534829355206118,0.49319481877309873
termination_advantage,observable,task_specific,,,-0.003887796400677812,0.052609732280528156,0.7059307434399648
sticky_termination,observable,task_specific,,,0.2708726967769016,0.3652284748482873,0.6414783796071024
decomposed_meta_control,observable,task_specific,,,0.5868982167571479,0.5642360775909998,0.5673462088620456
mvt_like_foraging_threshold,observable,task_specific,,,0.26308977371687875,0.7166992975421412,0.6433040707133691
disengagement_accumulator,observable,task_specific,,,0.009894496593602652,0.08578212495812561,0.7026977409356915
latent_commitment,observable,task_specific,,,0.1618811051692103,0.1881022875941717,0.6670452492679511
generic_latent_value,observable,task_specific,,,0.009894496593602652,0.08578212495812561,0.7026977409356915
