cross_task_rank,model,code,information_set,sharing,parameter_count,task_count,states,episodes,r_squared,pooled_task_balanced_r_squared,mse,pooled_task_balanced_mse,pearson_r,pooled_task_balanced_pearson_r,log_loss,pooled_task_balanced_log_loss,brier,pooled_task_balanced_brier,auc,pooled_task_balanced_auc,model_category,evaluated_tasks,eligible_cross_task,best_cross_task_model,best_cross_task_interpretable
1,gru,M18,observable,shared_architecture_task_observation,26650,3,2477,314,0.8968868916604764,0.9277996015065301,0.3763847537451624,0.3763847537451624,0.9475720438409644,0.9634735937880198,0.5117185529634823,0.5117185529634825,0.16683012297396516,0.16683012297396518,0.8268529240343968,0.912075055187638,flexible,bandit;foraging;solvability,True,True,False
2,mlp,M17,observable,shared_architecture_task_observation,3738,3,2477,314,0.8522223470777682,0.8886816226480618,0.5803089861160502,0.5803089861160502,0.923934313894298,0.9430100114316524,0.5193778858851746,0.5193778858851746,0.1684913959151837,0.16849139591518372,0.8121921644053268,0.9043289944431757,flexible,bandit;foraging;solvability,True,False,False
3,flexible_linear,M16,observable,shared_architecture_task_observation,75,3,2477,314,0.8400155287606274,0.8978159099542701,0.5326914306714537,0.5326914306714536,0.9169641091833691,0.9475478866057208,0.5199487609748105,0.5199487609748106,0.17082692555635723,0.17082692555635723,0.8209857068475057,0.9118444089213671,flexible,bandit;foraging;solvability,True,False,False
4,flexible_linear,M16,observable,task_specific,75,3,2477,314,0.8400155287606274,0.8978159099542701,0.5326914306714537,0.5326914306714536,0.9169641091833691,0.9475478866057208,0.5199487609748105,0.5199487609748106,0.17082692555635723,0.17082692555635723,0.8209857068475057,0.9118444089213671,flexible,bandit;foraging;solvability,True,False,False
5,finite_history,M5,observable,task_specific,24,3,2477,314,0.7038999661727466,0.7875230488720072,1.107654342573546,1.107654342573546,0.8386422291720274,0.8874994661496346,0.5571813865962588,0.5571813865962589,0.18437739815888,0.18437739815888002,0.7967135607228979,0.8978427342620081,interpretable,bandit;foraging;solvability,True,False,True
6,finite_history,M5,observable,shared_architecture_task_observation,24,3,2477,314,0.7019513882646568,0.7866351724839165,1.112282892313724,1.112282892313724,0.8375688998088341,0.8870039796067577,0.5576265197784384,0.5576265197784384,0.18434360664877925,0.18434360664877925,0.7949652426907399,0.8976722234909036,interpretable,bandit;foraging;solvability,True,False,False
7,choice_inertia,M4,observable,shared_architecture_task_observation,15,3,2477,314,0.6971526549369783,0.7862891739670796,1.1140866021168987,1.1140866021168987,0.8348293656540413,0.886749898996793,0.5566556598179027,0.5566556598179027,0.18414713920071024,0.18414713920071024,0.7945545685761356,0.8968995965593363,interpretable,bandit;foraging;solvability,True,False,False
8,choice_inertia,M4,observable,task_specific,15,3,2477,314,0.6971526549369783,0.7862891739670796,1.1140866021168987,1.1140866021168987,0.8348293656540413,0.886749898996793,0.5566556598179027,0.5566556598179027,0.18414713920071024,0.18414713920071024,0.7945545685761356,0.8968995965593363,interpretable,bandit;foraging;solvability,True,False,False
9,decomposed_meta_control,M11,observable,shared_architecture_task_observation,21,3,2477,314,0.5642360775909998,0.7518555054996333,1.293591259945547,1.2935912599455468,0.736374096592995,0.8671560598074254,0.5673462088620456,0.5673462088620456,0.1808729732479908,0.18087297324799076,0.7675419666997901,0.8750627997259648,interpretable,bandit;foraging;solvability,True,False,False
10,decomposed_meta_control,M11,observable,task_specific,21,3,2477,314,0.5642360775909998,0.7518555054996333,1.293591259945547,1.2935912599455468,0.736374096592995,0.8671560598074254,0.5673462088620456,0.5673462088620456,0.1808729732479908,0.18087297324799076,0.7675419666997901,0.8750627997259648,interpretable,bandit;foraging;solvability,True,False,False
11,flexible_linear,M16,observable,fully_shared,25,3,2477,314,0.5250880065271745,0.6381254671001928,1.8864723712634135,1.8864723712634137,0.7480046603033627,0.7993424692071477,0.5869182967217786,0.5869182967217786,0.1961725601192347,0.1961725601192347,0.7630818148062262,0.8824343457410367,flexible,bandit;foraging;solvability,True,False,False
12,previous_outcome,M2,observable,shared_architecture_task_observation,9,3,2477,314,0.4627093353588158,0.6475349019742771,1.837420456012784,1.8374204560127838,0.6629116654404476,0.804714053516453,0.6216666190963549,0.6216666190963548,0.20078055320409258,0.20078055320409255,0.7568441051201406,0.8548138844485043,interpretable,bandit;foraging;solvability,True,False,False
13,previous_outcome,M2,observable,task_specific,9,3,2477,314,0.4627093353588158,0.6475349019742771,1.837420456012784,1.8374204560127838,0.6629116654404476,0.804714053516453,0.6216666190963549,0.6216666190963548,0.20078055320409258,0.20078055320409255,0.7568441051201406,0.8548138844485043,interpretable,bandit;foraging;solvability,True,False,False
14,streak,M3,observable,shared_architecture_task_observation,12,3,2477,314,0.4608590865099127,0.5995822200679216,2.0874004941752617,2.0874004941752617,0.6785114442392248,0.7744561609622891,0.6230306298137958,0.6230306298137956,0.2028848614661317,0.20288486146613166,0.7582627440323674,0.8544180558727259,interpretable,bandit;foraging;solvability,True,False,False
15,streak,M3,observable,task_specific,12,3,2477,314,0.4608590865099127,0.5995822200679216,2.0874004941752617,2.0874004941752617,0.6785114442392248,0.7744561609622891,0.6230306298137958,0.6230306298137956,0.2028848614661317,0.20288486146613166,0.7582627440323674,0.8544180558727259,interpretable,bandit;foraging;solvability,True,False,False
16,time,M1,observable,shared_architecture_task_observation,9,3,2477,314,0.4252837392025672,0.5272383128244491,2.4645333671366205,2.46453336713662,0.6356176589957442,0.7265355505737506,0.6215774631287242,0.6215774631287242,0.20816945127934539,0.2081694512793454,0.7492421776356032,0.877010733044074,interpretable,bandit;foraging;solvability,True,False,False
17,time,M1,observable,task_specific,9,3,2477,314,0.4252837392025672,0.5272383128244491,2.4645333671366205,2.46453336713662,0.6356176589957442,0.7265355505737506,0.6215774631287242,0.6215774631287242,0.20816945127934539,0.2081694512793454,0.7492421776356032,0.877010733044074,interpretable,bandit;foraging;solvability,True,False,False
18,sticky_termination,M10,observable,task_specific,9,3,2477,314,0.3652284748482873,0.4935573525958332,2.640114114418712,2.6401141144187115,0.5715981818729645,0.7025846345751077,0.6414783796071024,0.6414783796071025,0.2119471877136215,0.21194718771362145,0.663666928955073,0.8358955621526984,interpretable,bandit;foraging;solvability,True,False,False
19,sticky_termination,M10,observable,shared_architecture_task_observation,9,3,2477,314,0.3597482463346033,0.4950370609529968,2.632400311209217,2.632400311209217,0.5705348541059766,0.7036940931682505,0.6418601554821586,0.6418601554821587,0.2122171281918291,0.2122171281918291,0.6602141435380756,0.8383451320697267,interpretable,bandit;foraging;solvability,True,False,False
