feature_group,description,features,task,full_r_squared,ablated_r_squared,delta_r_squared,full_mse,ablated_mse,delta_mse,full_log_loss,ablated_log_loss,delta_log_loss
history,"Past choices, past outcomes, action/outcome lags, and success/failure streaks.",previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5,bandit,0.8135460185049137,0.6257041042845805,0.18784191422033325,0.4327631035594423,0.8687476243763403,0.43598452081689804,0.440662904207186,0.4828965151069149,0.04223361089972888
history,"Past choices, past outcomes, action/outcome lags, and success/failure streaks.",previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5,foraging,0.842808163850205,0.8018874657478263,0.04092069810237864,0.24103453549099735,0.3037814420776411,0.06274690658664372,0.6414314652564029,0.6367778057950213,-0.004653659461381632
history,"Past choices, past outcomes, action/outcome lags, and success/failure streaks.",previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5,solvability,0.8636924039267634,0.6421414009126548,0.22155100301410857,0.9242766529639214,2.426573116446828,1.5022964634829066,0.4777519134608425,0.5377089102593656,0.05995699679852312
history,"Past choices, past outcomes, action/outcome lags, and success/failure streaks.",previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5,macro,0.8400155287606274,0.6899109903150205,0.1501045384456069,0.5326914306714537,1.1997007276336031,0.6670092969621494,0.5199487609748105,0.5524610770537673,0.03251231607895688
time_effort,Round and normalized elapsed effort.,log_round;normalized_time,bandit,0.8135460185049137,0.6268758261541874,0.18667019235072635,0.4327631035594423,0.8660280364719493,0.43326493291250695,0.440662904207186,0.46412600249033903,0.023463098283153017
time_effort,Round and normalized elapsed effort.,log_round;normalized_time,foraging,0.842808163850205,0.8422722835268952,0.0005358803233097564,0.24103453549099735,0.24185624269902722,0.000821707208029876,0.6414314652564029,0.6415105927711786,7.91275147756787e-05
time_effort,Round and normalized elapsed effort.,log_round;normalized_time,solvability,0.8636924039267634,0.8630290391086213,0.0006633648181421092,0.9242766529639214,0.9287748073696156,0.004498154405694232,0.4777519134608425,0.4798085924455149,0.0020566789846723776
time_effort,Round and normalized elapsed effort.,log_round;normalized_time,macro,0.8400155287606274,0.7773923829299013,0.06262314583072603,0.5326914306714537,0.6788863621801973,0.14619493150874352,0.5199487609748105,0.5284817292356775,0.008532968260867024
continuation_value,Past-derived estimate of the value of continuing.,estimated_continue_value,bandit,0.8135460185049137,0.8135460187103807,-2.054669767659334e-10,0.4327631035594423,0.4327631030825496,-4.76892692002906e-10,0.440662904207186,0.44066290412633496,-8.08510480787561e-11
continuation_value,Past-derived estimate of the value of continuing.,estimated_continue_value,foraging,0.842808163850205,0.8428071569499264,1.0069002785995096e-06,0.24103453549099735,0.24103607944993877,1.5439589414190102e-06,0.6414314652564029,0.6414303790019495,-1.0862544533862817e-06
continuation_value,Past-derived estimate of the value of continuing.,estimated_continue_value,solvability,0.8636924039267634,0.863692456127805,-5.2201041600419273e-08,0.9242766529639214,0.9242762989982919,-3.5396562947376253e-07,0.4777519134608425,0.47775326641469384,1.3529538513412653e-06
continuation_value,Past-derived estimate of the value of continuing.,estimated_continue_value,macro,0.8400155287606274,0.8400152105960373,3.1816459000744146e-07,0.5326914306714537,0.5326918271769268,3.9650547301040007e-07,0.5199487609748105,0.5199488498476595,8.88728490799906e-08
outside_option,Displayed or otherwise observable outside option.,estimated_outside_value,bandit,0.8135460185049137,0.8135460185049134,3.3306690738754696e-16,0.4327631035594423,0.43276310355944303,7.216449660063518e-16,0.440662904207186,0.4406629042071862,1.6653345369377348e-16
outside_option,Displayed or otherwise observable outside option.,estimated_outside_value,foraging,0.842808163850205,0.84280813016083,3.3689374956402673e-08,0.24103453549099735,0.24103458714955067,5.165855332389668e-08,0.6414314652564029,0.6414314450806432,-2.01757597295682e-08
outside_option,Displayed or otherwise observable outside option.,estimated_outside_value,solvability,0.8636924039267634,0.8636924023028825,1.6238809186219783e-09,0.9242766529639214,0.9242766639751577,1.1011236367153288e-08,0.4777519134608425,0.47775196394608793,5.048524542861088e-08
outside_option,Displayed or otherwise observable outside option.,estimated_outside_value,macro,0.8400155287606274,0.840015516989542,1.1771085328682318e-08,0.5326914306714537,0.5326914515613838,2.088993000803896e-08,0.5199487609748105,0.5199487710779724,1.0103161973695762e-08
cost,Harmonized task-specific displayed action cost.,cost_pressure,bandit,0.8135460185049137,0.8135460185049134,3.3306690738754696e-16,0.4327631035594423,0.43276310355944303,7.216449660063518e-16,0.440662904207186,0.4406629042071862,1.6653345369377348e-16
cost,Harmonized task-specific displayed action cost.,cost_pressure,foraging,0.842808163850205,0.7840598251870338,0.058748338663171196,0.24103453549099735,0.3311179575527591,0.09008342206176173,0.6414314652564029,0.635142587901721,-0.0062888773546819765
