r_squared,mse,pearson_r,log_loss,brier,auc,model,code,information_set,sharing,task,states,episodes,parameter_count,task_count,model_category,task_rank,best_task_specific_model,best_task_specific_interpretable
0.8480514985166854,0.35267525292753654,0.9214756674114095,0.42242935032861517,0.12462770219893696,0.8489376544857937,gru,M18,observable,shared_architecture_task_observation,bandit,1800,78,26650,3,flexible,1,True,False
0.8135460185049137,0.4327631035594423,0.9025979221171454,0.440662904207186,0.1344268276590355,0.8604352731438021,flexible_linear,M16,observable,task_specific,bandit,1800,78,75,3,flexible,2,False,False
0.7990984357647875,0.4662962075211492,0.8943478589967404,0.4383270127435999,0.12981189557268033,0.8283883525247393,mlp,M17,observable,shared_architecture_task_observation,bandit,1800,78,3738,3,flexible,3,False,False
0.78280718911548,0.5041084891590849,0.8847736155540976,0.4492572801196486,0.1372872202179597,0.851099379042468,finite_history,M5,observable,task_specific,bandit,1800,78,24,3,interpretable,4,False,True
0.7564031501663798,0.565392746810714,0.869840569523902,0.4446809340742921,0.13653726626133705,0.8487395681718356,choice_inertia,M4,observable,task_specific,bandit,1800,78,15,3,interpretable,5,False,False
0.5534829355206118,1.0363742788804116,0.7453475629456049,0.49319481877309873,0.1462488027677183,0.8237677739404535,value_history_hybrid,M8,observable,task_specific,bandit,1800,78,9,1,interpretable,6,False,False
0.5051679021328982,1.148514355642441,0.711291945118427,0.5189482246478496,0.1540697023961778,0.8198921721456193,time,M1,observable,task_specific,bandit,1800,78,9,3,interpretable,7,False,False
0.38174966960690826,1.4349703321546716,0.6285798668215795,0.5343722006029771,0.15568103432667102,0.8095830713713602,streak,M3,observable,task_specific,bandit,1800,78,12,3,interpretable,8,False,False
0.2868548310455733,1.65522298923541,0.5373880415745621,0.555833951806922,0.15778211859562347,0.7901835312761065,bayesian,M7,observable,task_specific,bandit,1800,78,4,1,interpretable,9,False,False
0.28188141439232306,1.6667663803118375,0.5330824989454779,0.5525502531596495,0.15775306050008767,0.7951959762640921,rescorla_wagner,M6,observable,task_specific,bandit,1800,78,4,1,interpretable,10,False,False
0.27235881293570796,1.6888685125767526,0.5239117514665144,0.5517301977339416,0.15681465699929847,0.7088734056204838,decomposed_meta_control,M11,observable,task_specific,bandit,1800,78,21,3,interpretable,11,False,False
0.20892154230701554,1.836107578744598,0.45747422813960764,0.5758151522247466,0.1615315889234338,0.7641394872148203,latent_commitment,M14,observable,task_specific,bandit,1800,78,12,3,interpretable,12,False,False
