action_lag_1,action_lag_2,action_lag_3,action_lag_5,bayes_a,bayes_b,bayes_best,bayes_gap,continue,cost_pressure,cumulative_progress,cumulative_score,disengagement_evidence,episode_id,estimated_continue_value,estimated_outside_value,failure_streak,log_round,mapping_id,normalized_time,oracle_continue_value,oracle_outside_value,oracle_p_a,oracle_p_b,oracle_relative_value,oracle_termination_advantage,outcome_after_choice,outcome_lag_1,outcome_lag_2,outcome_lag_3,outcome_lag_5,p_continue,p_disengage,pair_id,persistence_logit,previous_choice,previous_outcome,progress_evidence,relative_value,round,rw_a,rw_b,rw_best,rw_gap,second_previous_choice,semantic_choice,split,state_id,success_streak,task,task_bandit,task_foraging,task_solvability,termination_advantage
0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1,0.0,0.0,0.0,-0.5,seed-12026-pa-0.65-pb-0.20,0.5,0.0,0.0,0.0,bandit_abc,0.0,1.25,0.0,0.65,0.2,1.25,1.25,-2.0,0.0,0.0,0.0,0.0,0.9852824796136144,0.014717520386385642,seed-12026-pa-0.65-pb-0.20,4.203889734292549,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.0,0.0,B,test,seed-12026-pa-0.65-pb-0.20:0,0.0,bandit,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5,-0.33333333333333326,0.5,0.8333333333333333,1,0.0,-2.0,-2.0,-0.5,seed-12026-pa-0.65-pb-0.20,0.5,0.0,1.0,0.6931471805599453,bandit_abc,0.5,1.25,0.0,0.65,0.2,1.25,1.25,3.0,-2.0,0.0,0.0,0.0,0.9529162476121508,0.04708375238784929,seed-12026-pa-0.65-pb-0.20,3.0075990353171704,1.0,-2.0,-2.0,0.5,1,0.5,-0.75,0.5,1.25,0.0,B,test,seed-12026-pa-0.65-pb-0.20:1,0.0,bandit,1.0,0.0,0.0,0.5
1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,1,0.0,1.0,1.0,-0.5,seed-12026-pa-0.65-pb-0.20,0.5,0.0,0.0,1.0986122886681098,bandit_abc,0.6666666666666666,1.25,0.0,0.65,0.2,1.25,1.25,3.0,3.0,-2.0,0.0,0.0,0.9764188638409315,0.023581136159068376,seed-12026-pa-0.65-pb-0.20,3.7234445810050545,1.0,3.0,3.0,0.5,2,0.5,1.125,1.125,0.625,1.0,A,test,seed-12026-pa-0.65-pb-0.20:2,1.0,bandit,1.0,0.0,0.0,0.5
1.0,1.0,1.0,0.0,1.3333333333333335,0.5,1.3333333333333335,0.8333333333333335,1,0.0,4.0,4.0,-1.3333333333333335,seed-12026-pa-0.65-pb-0.20,1.3333333333333335,0.0,0.0,1.3862943611198906,bandit_abc,0.75,1.25,0.0,0.65,0.2,1.25,1.25,-2.0,3.0,3.0,-2.0,0.0,0.9617070685856837,0.038292931414316236,seed-12026-pa-0.65-pb-0.20,3.2234445810050545,1.0,3.0,3.0,1.3333333333333335,3,1.75,1.125,1.75,0.625,1.0,B,test,seed-12026-pa-0.65-pb-0.20:3,2.0,bandit,1.0,0.0,0.0,1.3333333333333335
1.0,1.0,1.0,0.0,1.3333333333333335,0.0,1.3333333333333335,1.3333333333333335,1,0.0,2.0,2.0,-1.3333333333333335,seed-12026-pa-0.65-pb-0.20,1.3333333333333335,0.0,1.0,1.6094379124341003,bandit_abc,0.8,1.25,0.0,0.65,0.2,1.25,1.25,3.0,-2.0,3.0,3.0,0.0,0.806698785659896,0.19330121434010406,seed-12026-pa-0.65-pb-0.20,1.4287006782765204,1.0,-2.0,-2.0,1.3333333333333335,4,1.75,-0.4375,1.75,2.1875,1.0,B,test,seed-12026-pa-0.65-pb-0.20:4,0.0,bandit,1.0,0.0,0.0,1.3333333333333335
1.0,1.0,1.0,1.0,1.3333333333333335,0.5,1.3333333333333335,0.8333333333333335,1,0.0,5.0,5.0,-1.3333333333333335,seed-12026-pa-0.65-pb-0.20,1.3333333333333335,0.0,0.0,1.791759469228055,bandit_abc,0.8333333333333334,1.25,0.0,0.65,0.2,1.25,1.25,3.0,3.0,-2.0,3.0,-2.0,0.9529162476121508,0.04708375238784929,seed-12026-pa-0.65-pb-0.20,3.0075990353171704,1.0,3.0,3.0,1.3333333333333335,5,1.75,1.28125,1.75,0.46875,1.0,A,test,seed-12026-pa-0.65-pb-0.20:5,1.0,bandit,1.0,0.0,0.0,1.3333333333333335
1.0,1.0,1.0,1.0,1.75,0.5,1.75,1.25,1,0.0,8.0,8.0,-1.75,seed-12026-pa-0.65-pb-0.20,1.75,0.0,0.0,1.9459101490553132,bandit_abc,0.8571428571428571,1.25,0.0,0.65,0.2,1.25,1.25,-2.0,3.0,3.0,-2.0,3.0,0.9385096364495168,0.06149036355048325,seed-12026-pa-0.65-pb-0.20,2.7254126516016477,1.0,3.0,3.0,1.75,6,2.375,1.28125,2.375,1.09375,1.0,B,test,seed-12026-pa-0.65-pb-0.20:6,2.0,bandit,1.0,0.0,0.0,1.75
1.0,1.0,1.0,1.0,1.75,0.1428571428571428,1.75,1.6071428571428572,1,0.0,6.0,6.0,-1.75,seed-12026-pa-0.65-pb-0.20,1.75,0.0,1.0,2.0794415416798357,bandit_abc,0.875,1.25,0.0,0.65,0.2,1.25,1.25,-2.0,-2.0,3.0,3.0,3.0,0.8840290439377344,0.11597095606226564,seed-12026-pa-0.65-pb-0.20,2.031150136248314,1.0,-2.0,-2.0,1.75,7,2.375,-0.359375,2.375,2.734375,1.0,B,test,seed-12026-pa-0.65-pb-0.20:7,0.0,bandit,1.0,0.0,0.0,1.75
1.0,1.0,1.0,1.0,1.75,-0.125,1.75,1.875,1,0.0,4.0,4.0,-1.75,seed-12026-pa-0.65-pb-0.20,1.75,0.0,2.0,2.1972245773362196,bandit_abc,0.8888888888888888,1.25,0.0,0.65,0.2,1.25,1.25,-2.0,-2.0,-2.0,3.0,-2.0,0.8427324028358483,0.15726759716415167,seed-12026-pa-0.65-pb-0.20,1.6787006782765204,1.0,-2.0,-2.0,1.75,8,2.375,-1.1796875,2.375,3.5546875,1.0,B,test,seed-12026-pa-0.65-pb-0.20:8,0.0,bandit,1.0,0.0,0.0,1.75
1.0,1.0,1.0,1.0,1.75,-0.33333333333333326,1.75,2.083333333333333,1,0.0,2.0,2.0,-1.75,seed-12026-pa-0.65-pb-0.20,1.75,0.0,3.0,2.302585092994046,bandit_abc,0.9,1.25,0.0,0.65,0.2,1.25,1.25,-2.0,-2.0,-2.0,-2.0,3.0,0.6955960026374824,0.3044039973625175,seed-12026-pa-0.65-pb-0.20,0.826413277982752,1.0,-2.0,-2.0,1.75,9,2.375,-1.58984375,2.375,3.96484375,1.0,B,test,seed-12026-pa-0.65-pb-0.20:9,0.0,bandit,1.0,0.0,0.0,1.75
