action_lag_1,action_lag_2,action_lag_3,action_lag_5,bayes_patch_probability,continue,cost_pressure,cumulative_progress,cumulative_score,disengagement_evidence,episode_id,estimated_continue_value,estimated_outside_value,failure_streak,log_round,mapping_id,mvt_like_advantage,normalized_time,oracle_continue_value,oracle_depletion,oracle_initial_quality,oracle_outside_value,oracle_patch_probability,oracle_relative_value,oracle_termination_advantage,outcome_after_choice,outcome_lag_1,outcome_lag_2,outcome_lag_3,outcome_lag_5,outside_option,p_continue,p_disengage,pair_id,persistence_logit,previous_choice,previous_outcome,progress_evidence,relative_value,round,search_count,second_previous_choice,semantic_choice,split,state_id,stay_cost,success_streak,task,task_bandit,task_foraging,task_solvability,termination_advantage
0.0,0.0,0.0,0.0,0.5,0,1.0,0.0,0.0,1.0,foraging-pair-0072026-stay_x,1.0,2.0,0.0,0.0,stay_x,-1.0,0.0,1.2000000000000002,0.12,0.55,2.0,0.55,-0.7999999999999998,-0.7999999999999998,2.0,0.0,0.0,0.0,0.0,2.0,0.7981867777396212,0.20181322226037882,foraging-pair-0072026,1.375,0.0,0.0,0.0,-1.0,0,0.0,0.0,LEAVE,train,foraging-pair-0072026-stay_x:0,1.0,0.0,foraging,0.0,1.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.5,0,1.0,0.0,0.0,1.0,foraging-pair-0072026-stay_y,1.0,2.0,0.0,0.0,stay_y,-1.0,0.0,1.2000000000000002,0.12,0.55,2.0,0.55,-0.7999999999999998,-0.7999999999999998,2.0,0.0,0.0,0.0,0.0,2.0,0.7549149868676283,0.24508501313237172,foraging-pair-0072026,1.125,0.0,0.0,0.0,-1.0,0,0.0,0.0,LEAVE,train,foraging-pair-0072026-stay_y:0,1.0,0.0,foraging,0.0,1.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.5,1,0.0,0.0,0.0,-0.0,foraging-pair-0072027-stay_x,2.0,2.0,0.0,0.0,stay_x,0.0,0.0,2.2,0.05,0.55,2.0,0.55,0.20000000000000018,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,2.0,0.8670357598021706,0.13296424019782924,foraging-pair-0072027,1.875,0.0,0.0,0.0,0.0,0,0.0,0.0,STAY,validation,foraging-pair-0072027-stay_x:0,0.0,0.0,foraging,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.6666666666666667,foraging-pair-0072027-stay_x,1.3333333333333333,2.0,0.0,0.6931471805599453,stay_x,-0.6666666666666667,0.5,2.0,0.05,0.55,2.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.5926665999540697,0.4073334000459302,foraging-pair-0072027,0.375,1.0,0.0,0.0,-0.6666666666666667,1,1.0,0.0,LEAVE,validation,foraging-pair-0072027-stay_x:1,0.0,0.0,foraging,0.0,1.0,0.0,-0.6666666666666667
0.0,0.0,0.0,0.0,0.5,1,0.0,0.0,0.0,-0.0,foraging-pair-0072027-stay_y,2.0,2.0,0.0,0.0,stay_y,0.0,0.0,2.2,0.05,0.55,2.0,0.55,0.20000000000000018,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,2.0,0.8175744761936437,0.18242552380635632,foraging-pair-0072027,1.5,0.0,0.0,0.0,0.0,0,0.0,0.0,STAY,validation,foraging-pair-0072027-stay_y:0,0.0,0.0,foraging,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.6666666666666667,foraging-pair-0072027-stay_y,1.3333333333333333,2.0,0.0,0.6931471805599453,stay_y,-0.6666666666666667,0.5,2.0,0.05,0.55,2.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.4073334000459302,0.5926665999540697,foraging-pair-0072027,-0.375,1.0,0.0,0.0,-0.6666666666666667,1,1.0,0.0,LEAVE,validation,foraging-pair-0072027-stay_y:1,0.0,0.0,foraging,0.0,1.0,0.0,-0.6666666666666667
0.0,0.0,0.0,0.0,0.5,1,0.0,0.0,0.0,-0.0,foraging-pair-0072028-stay_x,2.0,2.0,0.0,0.0,stay_x,0.0,0.0,1.4,0.12,0.35,2.0,0.35,-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,2.0,0.8670357598021706,0.13296424019782924,foraging-pair-0072028,1.875,0.0,0.0,0.0,0.0,0,0.0,0.0,STAY,train,foraging-pair-0072028-stay_x:0,0.0,0.0,foraging,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.3333333333333333,1,0.0,0.0,0.0,0.6666666666666667,foraging-pair-0072028-stay_x,1.3333333333333333,2.0,0.0,0.6931471805599453,stay_x,-0.6666666666666667,0.5,0.9199999999999999,0.12,0.35,2.0,0.22999999999999998,-1.08,-1.08,0.0,0.0,0.0,0.0,0.0,2.0,0.5926665999540697,0.4073334000459302,foraging-pair-0072028,0.375,1.0,0.0,0.0,-0.6666666666666667,1,1.0,0.0,STAY,train,foraging-pair-0072028-stay_x:1,0.0,0.0,foraging,0.0,1.0,0.0,-0.6666666666666667
1.0,1.0,0.0,0.0,0.25,1,0.0,0.0,0.0,1.0,foraging-pair-0072028-stay_x,1.0,2.0,0.0,1.0986122886681098,stay_x,-1.0,0.6666666666666666,0.43999999999999995,0.12,0.35,2.0,0.10999999999999999,-1.56,-1.56,0.0,0.0,0.0,0.0,0.0,2.0,0.29421497216298875,0.7057850278370112,foraging-pair-0072028,-0.875,1.0,0.0,0.0,-1.0,2,2.0,1.0,STAY,train,foraging-pair-0072028-stay_x:2,0.0,0.0,foraging,0.0,1.0,0.0,-1.0
1.0,1.0,1.0,0.0,0.2,0,0.0,0.0,0.0,1.2,foraging-pair-0072028-stay_x,0.8,2.0,0.0,1.3862943611198906,stay_x,-1.2,0.75,0.2,0.12,0.35,2.0,0.05,-1.8,-1.8,2.0,0.0,0.0,0.0,0.0,2.0,0.24508501313237172,0.7549149868676283,foraging-pair-0072028,-1.125,1.0,0.0,0.0,-1.2,3,3.0,1.0,LEAVE,train,foraging-pair-0072028-stay_x:3,0.0,0.0,foraging,0.0,1.0,0.0,-1.2
0.0,0.0,0.0,0.0,0.5,1,0.0,0.0,0.0,-0.0,foraging-pair-0072028-stay_y,2.0,2.0,0.0,0.0,stay_y,0.0,0.0,1.4,0.12,0.35,2.0,0.35,-0.6000000000000001,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,2.0,0.8175744761936437,0.18242552380635632,foraging-pair-0072028,1.5,0.0,0.0,0.0,0.0,0,0.0,0.0,STAY,train,foraging-pair-0072028-stay_y:0,0.0,0.0,foraging,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.3333333333333333,1,0.0,0.0,0.0,0.6666666666666667,foraging-pair-0072028-stay_y,1.3333333333333333,2.0,0.0,0.6931471805599453,stay_y,-0.6666666666666667,0.5,0.9199999999999999,0.12,0.35,2.0,0.22999999999999998,-1.08,-1.08,0.0,0.0,0.0,0.0,0.0,2.0,0.4073334000459302,0.5926665999540697,foraging-pair-0072028,-0.375,1.0,0.0,0.0,-0.6666666666666667,1,1.0,0.0,STAY,train,foraging-pair-0072028-stay_y:1,0.0,0.0,foraging,0.0,1.0,0.0,-0.6666666666666667
1.0,1.0,0.0,0.0,0.25,1,0.0,0.0,0.0,1.0,foraging-pair-0072028-stay_y,1.0,2.0,0.0,1.0986122886681098,stay_y,-1.0,0.6666666666666666,0.43999999999999995,0.12,0.35,2.0,0.10999999999999999,-1.56,-1.56,0.0,0.0,0.0,0.0,0.0,2.0,0.20181322226037882,0.7981867777396212,foraging-pair-0072028,-1.375,1.0,0.0,0.0,-1.0,2,2.0,1.0,STAY,train,foraging-pair-0072028-stay_y:2,0.0,0.0,foraging,0.0,1.0,0.0,-1.0
1.0,1.0,1.0,0.0,0.2,0,0.0,0.0,0.0,1.2,foraging-pair-0072028-stay_y,0.8,2.0,0.0,1.3862943611198906,stay_y,-1.2,0.75,0.2,0.12,0.35,2.0,0.05,-1.8,-1.8,2.0,0.0,0.0,0.0,0.0,2.0,0.24508501313237172,0.7549149868676283,foraging-pair-0072028,-1.125,1.0,0.0,0.0,-1.2,3,3.0,1.0,LEAVE,train,foraging-pair-0072028-stay_y:3,0.0,0.0,foraging,0.0,1.0,0.0,-1.2
0.0,0.0,0.0,0.0,0.5,1,1.0,0.0,0.0,1.0,foraging-pair-0072029-stay_x,1.0,2.0,0.0,0.0,stay_x,-1.0,0.0,0.3999999999999999,0.12,0.35,2.0,0.35,-1.6,-1.6,-1.0,0.0,0.0,0.0,0.0,2.0,0.7981867777396212,0.20181322226037882,foraging-pair-0072029,1.375,0.0,0.0,0.0,-1.0,0,0.0,0.0,STAY,validation,foraging-pair-0072029-stay_x:0,1.0,0.0,foraging,0.0,1.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.3333333333333333,0,1.0,-1.0,-1.0,1.6666666666666667,foraging-pair-0072029-stay_x,0.33333333333333326,2.0,1.0,0.6931471805599453,stay_x,-1.6666666666666667,0.5,-0.08000000000000007,0.12,0.35,2.0,0.22999999999999998,-2.08,-2.08,2.0,-1.0,0.0,0.0,0.0,2.0,0.37754066879814546,0.6224593312018546,foraging-pair-0072029,-0.5,1.0,-1.0,-1.0,-1.6666666666666667,1,1.0,0.0,LEAVE,validation,foraging-pair-0072029-stay_x:1,1.0,0.0,foraging,0.0,1.0,0.0,-1.6666666666666667
0.0,0.0,0.0,0.0,0.5,1,1.0,0.0,0.0,1.0,foraging-pair-0072029-stay_y,1.0,2.0,0.0,0.0,stay_y,-1.0,0.0,0.3999999999999999,0.12,0.35,2.0,0.35,-1.6,-1.6,-1.0,0.0,0.0,0.0,0.0,2.0,0.7549149868676283,0.24508501313237172,foraging-pair-0072029,1.125,0.0,0.0,0.0,-1.0,0,0.0,0.0,STAY,validation,foraging-pair-0072029-stay_y:0,1.0,0.0,foraging,0.0,1.0,0.0,-1.0
1.0,0.0,0.0,0.0,0.3333333333333333,0,1.0,-1.0,-1.0,1.6666666666666667,foraging-pair-0072029-stay_y,0.33333333333333326,2.0,1.0,0.6931471805599453,stay_y,-1.6666666666666667,0.5,-0.08000000000000007,0.12,0.35,2.0,0.22999999999999998,-2.08,-2.08,2.0,-1.0,0.0,0.0,0.0,2.0,0.34864513533394575,0.6513548646660542,foraging-pair-0072029,-0.625,1.0,-1.0,-1.0,-1.6666666666666667,1,1.0,0.0,LEAVE,validation,foraging-pair-0072029-stay_y:1,1.0,0.0,foraging,0.0,1.0,0.0,-1.6666666666666667
0.0,0.0,0.0,0.0,0.5,1,1.0,0.0,0.0,-1.0,foraging-pair-0072030-stay_x,1.0,0.0,0.0,0.0,stay_x,1.0,0.0,1.2000000000000002,0.05,0.55,0.0,0.55,1.2000000000000002,1.2000000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.9149009549929797,0.08509904500702024,foraging-pair-0072030,2.375,0.0,0.0,0.0,1.0,0,0.0,0.0,STAY,validation,foraging-pair-0072030-stay_x:0,1.0,0.0,foraging,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.6666666666666666,1,1.0,3.0,3.0,-1.6666666666666665,foraging-pair-0072030-stay_x,1.6666666666666665,0.0,0.0,0.6931471805599453,stay_x,1.6666666666666665,0.5,1.0,0.05,0.55,0.0,0.5,1.0,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.8519528019683106,0.1480471980316895,foraging-pair-0072030,1.75,1.0,3.0,3.0,1.6666666666666665,1,1.0,0.0,STAY,validation,foraging-pair-0072030-stay_x:1,1.0,1.0,foraging,0.0,1.0,0.0,1.6666666666666665
