action_lag_1,action_lag_2,action_lag_3,action_lag_5,attempt_cost,attempts_used,bayes_progress_probability,continue,cost_pressure,cumulative_cost,cumulative_progress,disengagement_evidence,displayed_progress_cue,episode_id,estimated_continue_value,estimated_outside_value,failure_streak,give_up_value,log_round,mapping_id,max_attempts,normalized_time,oracle_continue_value,oracle_outside_value,oracle_progress_probability,oracle_relative_value,oracle_termination_advantage,outcome_after_choice,outcome_lag_1,outcome_lag_2,outcome_lag_3,outcome_lag_5,p_continue,p_disengage,pair_id,persistence_logit,previous_choice,previous_outcome,progress_count,progress_evidence,relative_value,round,second_previous_choice,semantic_choice,split,state_id,success_streak,task,task_bandit,task_foraging,task_solvability,termination_advantage
0.0,0.0,0.0,0.0,1.0,0.0,0.5,0,1.0,0.0,0.0,0.5,0.0,solvability-pair-0072026-try_again_m,-0.5,0.0,0.0,0.0,0.0,try_again_m,8.0,0.0,-0.5,0.0,0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.5621765008857981,0.4378234991142019,solvability-pair-0072026,0.25,0.0,0.0,0.0,0.0,-0.5,0,0.0,GIVE_UP,train,solvability-pair-0072026-try_again_m:0,0.0,solvability,0.0,0.0,1.0,-0.5
0.0,0.0,0.0,0.0,1.0,0.0,0.5,0,1.0,0.0,0.0,0.5,0.0,solvability-pair-0072026-try_again_n,-0.5,0.0,0.0,0.0,0.0,try_again_n,8.0,0.0,-0.5,0.0,0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.2689414213699951,0.7310585786300049,solvability-pair-0072026,-1.0,0.0,0.0,0.0,0.0,-0.5,0,0.0,GIVE_UP,train,solvability-pair-0072026-try_again_n:0,0.0,solvability,0.0,0.0,1.0,-0.5
0.0,0.0,0.0,0.0,1.0,0.0,0.25,1,1.0,0.0,0.0,2.75,-1.0,solvability-pair-0072027-try_again_m,-0.75,2.0,0.0,2.0,0.0,try_again_m,8.0,0.0,-0.8,2.0,0.2,-2.8,-2.8,-1.0,0.0,0.0,0.0,0.0,0.32082130082460697,0.679178699175393,solvability-pair-0072027,-0.75,0.0,0.0,0.0,0.0,-2.75,0,0.0,TRY_AGAIN,validation,solvability-pair-0072027-try_again_m:0,0.0,solvability,0.0,0.0,1.0,-2.75
1.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0,1.0,1.0,-1.0,2.8333333333333335,-1.0,solvability-pair-0072027-try_again_m,-0.8333333333333334,2.0,1.0,2.0,0.6931471805599453,try_again_m,8.0,0.125,-0.8,2.0,0.2,-2.8,-2.8,0.0,-1.0,0.0,0.0,0.0,0.037326887344129464,0.9626731126558706,solvability-pair-0072027,-3.25,1.0,-1.0,0.0,0.0,-2.8333333333333335,1,0.0,GIVE_UP,validation,solvability-pair-0072027-try_again_m:1,0.0,solvability,0.0,0.0,1.0,-2.8333333333333335
0.0,0.0,0.0,0.0,1.0,0.0,0.25,0,1.0,0.0,0.0,2.75,-1.0,solvability-pair-0072027-try_again_n,-0.75,2.0,0.0,2.0,0.0,try_again_n,8.0,0.0,-0.8,2.0,0.2,-2.8,-2.8,0.0,0.0,0.0,0.0,0.0,0.18242552380635632,0.8175744761936437,solvability-pair-0072027,-1.5,0.0,0.0,0.0,0.0,-2.75,0,0.0,GIVE_UP,validation,solvability-pair-0072027-try_again_n:0,0.0,solvability,0.0,0.0,1.0,-2.75
0.0,0.0,0.0,0.0,1.0,0.0,0.75,1,1.0,0.0,0.0,0.25,1.0,solvability-pair-0072028-try_again_m,-0.25,0.0,0.0,0.0,0.0,try_again_m,8.0,0.0,-0.19999999999999996,0.0,0.8,-0.19999999999999996,-0.19999999999999996,1.0,0.0,0.0,0.0,0.0,0.9626731126558706,0.037326887344129464,solvability-pair-0072028,3.25,0.0,0.0,0.0,0.0,-0.25,0,0.0,TRY_AGAIN,train,solvability-pair-0072028-try_again_m:0,0.0,solvability,0.0,0.0,1.0,-0.25
1.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,1,1.0,1.0,1.0,0.16666666666666663,1.0,solvability-pair-0072028-try_again_m,-0.16666666666666663,0.0,0.0,0.0,0.6931471805599453,try_again_m,8.0,0.125,-0.19999999999999996,0.0,0.8,-0.19999999999999996,-0.19999999999999996,1.0,1.0,0.0,0.0,0.0,0.9995694429186754,0.00043055708132461493,solvability-pair-0072028,7.75,1.0,1.0,1.0,1.0,-0.16666666666666663,1,0.0,TRY_AGAIN,train,solvability-pair-0072028-try_again_m:1,1.0,solvability,0.0,0.0,1.0,-0.16666666666666663
1.0,1.0,0.0,0.0,1.0,2.0,0.875,1,1.0,2.0,2.0,0.125,1.0,solvability-pair-0072028-try_again_m,-0.125,0.0,0.0,0.0,1.0986122886681098,try_again_m,8.0,0.25,-0.19999999999999996,0.0,0.8,-0.19999999999999996,-0.19999999999999996,1.0,1.0,1.0,0.0,0.0,0.991422514586288,0.008577485413711986,solvability-pair-0072028,4.75,1.0,1.0,2.0,2.0,-0.125,2,1.0,TRY_AGAIN,train,solvability-pair-0072028-try_again_m:2,2.0,solvability,0.0,0.0,1.0,-0.125
1.0,1.0,1.0,0.0,1.0,3.0,0.9,1,1.0,3.0,3.0,0.09999999999999998,1.0,solvability-pair-0072028-try_again_m,-0.09999999999999998,0.0,0.0,0.0,1.3862943611198906,try_again_m,8.0,0.375,-0.19999999999999996,0.0,0.8,-0.19999999999999996,-0.19999999999999996,-1.0,1.0,1.0,1.0,0.0,0.9770226300899744,0.02297736991002561,solvability-pair-0072028,3.75,1.0,1.0,3.0,3.0,-0.09999999999999998,3,1.0,TRY_AGAIN,train,solvability-pair-0072028-try_again_m:3,3.0,solvability,0.0,0.0,1.0,-0.09999999999999998
1.0,1.0,1.0,0.0,1.0,4.0,0.75,0,1.0,4.0,2.0,0.25,1.0,solvability-pair-0072028-try_again_m,-0.25,0.0,1.0,0.0,1.6094379124341003,try_again_m,8.0,0.5,-0.19999999999999996,0.0,0.8,-0.19999999999999996,-0.19999999999999996,0.0,-1.0,1.0,1.0,0.0,0.32082130082460697,0.679178699175393,solvability-pair-0072028,-0.75,1.0,-1.0,3.0,3.0,-0.25,4,1.0,GIVE_UP,train,solvability-pair-0072028-try_again_m:4,0.0,solvability,0.0,0.0,1.0,-0.25
0.0,0.0,0.0,0.0,1.0,0.0,0.75,1,1.0,0.0,0.0,0.25,1.0,solvability-pair-0072028-try_again_n,-0.25,0.0,0.0,0.0,0.0,try_again_n,8.0,0.0,-0.19999999999999996,0.0,0.8,-0.19999999999999996,-0.19999999999999996,1.0,0.0,0.0,0.0,0.0,0.7549149868676283,0.24508501313237172,solvability-pair-0072028,1.125,0.0,0.0,0.0,0.0,-0.25,0,0.0,TRY_AGAIN,train,solvability-pair-0072028-try_again_n:0,0.0,solvability,0.0,0.0,1.0,-0.25
1.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,1,1.0,1.0,1.0,0.16666666666666663,1.0,solvability-pair-0072028-try_again_n,-0.16666666666666663,0.0,0.0,0.0,0.6931471805599453,try_again_n,8.0,0.125,-0.19999999999999996,0.0,0.8,-0.19999999999999996,-0.19999999999999996,1.0,1.0,0.0,0.0,0.0,0.9998204720306533,0.0001795279693467774,solvability-pair-0072028,8.625,1.0,1.0,1.0,1.0,-0.16666666666666663,1,0.0,TRY_AGAIN,train,solvability-pair-0072028-try_again_n:1,1.0,solvability,0.0,0.0,1.0,-0.16666666666666663
