task,pair_id,condition_id,split,seed,timing_environment,reward_magnitude,opportunity_cost,quit_payoff,ratio_schedule,effort_cost,outside_option,prior_investment,remaining_steps,step_cost,success_probability,evidence_accuracy,sample_cost,error_penalty,prior_a,true_state,max_samples,reinforcement_schedule,acquisition_trials,partial_probability,extinction_try_cost,expected_reward_per_trial,rounds,high_reward_bonus,high_effort_cost,high_success_probability
voluntary_waiting,voluntary_waiting-pair-0111026,voluntary_waiting-8a6d1cfb4a62,train,111026,long_wait_optimal,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111027,voluntary_waiting-997de758368f,train,111027,short_wait_optimal,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111028,voluntary_waiting-8492b4641998,train,111028,short_wait_optimal,10.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111029,voluntary_waiting-5c5bc3ce1aef,validation,111029,long_wait_optimal,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111030,voluntary_waiting-3023c277e3d0,validation,111030,long_wait_optimal,6.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111031,voluntary_waiting-e08723b52465,train,111031,long_wait_optimal,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111032,voluntary_waiting-78044111e3e7,test,111032,long_wait_optimal,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111033,voluntary_waiting-7d0bf16021a3,test,111033,short_wait_optimal,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111034,voluntary_waiting-1c1c9ec8a195,train,111034,long_wait_optimal,10.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111035,voluntary_waiting-b5219365f34d,validation,111035,short_wait_optimal,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111036,voluntary_waiting-814c244220af,train,111036,short_wait_optimal,6.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111037,voluntary_waiting-1c54e11c5362,train,111037,short_wait_optimal,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111038,voluntary_waiting-2b677978cb9f,train,111038,long_wait_optimal,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111039,voluntary_waiting-ddc220b58711,train,111039,short_wait_optimal,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111040,voluntary_waiting-3ad8ced7b134,train,111040,long_wait_optimal,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111041,voluntary_waiting-490397fa3057,train,111041,short_wait_optimal,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111042,voluntary_waiting-8a6d1cfb4a62,train,111042,long_wait_optimal,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
