stage,target,heldout_task,absolute_r_squared,change_r_squared,contrast_benefit_r_squared,contrast_benefit_ci_low,contrast_benefit_ci_high,bootstrap_samples,absolute_selected_alpha,change_selected_alpha
l21,persistence_policy_change,bandit,-0.1852294409902635,-4.893606162903654,-4.708376721913391,-5.9643037876318346,-3.7180575076048554,2000,0.01,0.01
l21,persistence_policy_change,foraging,0.15389626513034993,-5.850190350199447,-6.004086615329797,-8.6506690658425,-4.469085972149541,2000,0.01,0.01
l21,persistence_policy_change,solvability,0.14000399155758714,-2.710552960837147,-2.8505569523947343,-4.474418534257945,-1.8455595073956017,2000,0.01,10.0
l21,gru_prediction_change,bandit,-0.06958896088770139,-1.7565500714193076,-1.6869611105316062,-2.5506355568135195,-0.9628593864419759,2000,0.01,100.0
l21,gru_prediction_change,foraging,-2.3689335863939562,-21.883891190801165,-19.514957604407208,-31.454717369447266,-13.156788444373406,2000,100.0,0.01
l21,gru_prediction_change,solvability,-0.05104464993120761,-10.63504358756271,-10.583998937631502,-23.230565584463015,-5.707989023999737,2000,0.01,10.0
displacement,persistence_policy_change,bandit,0.22537901304953756,-3.0091475229514417,-3.2345265360009794,-3.8973999981070317,-2.7790579255845733,2000,0.01,10.0
displacement,persistence_policy_change,foraging,0.6119923392640372,-1.8296512231209396,-2.441643562384977,-3.5328138745698765,-1.8140286128720986,2000,0.01,10.0
displacement,persistence_policy_change,solvability,0.2740913600091692,-1.6024259495721407,-1.87651730958131,-2.9749424769865693,-1.1912554787651288,2000,0.01,100.0
displacement,gru_prediction_change,bandit,0.02051460873623645,-1.6481966657800524,-1.6687112745162889,-2.3943000717565894,-1.0655125253106652,2000,0.01,100.0
displacement,gru_prediction_change,foraging,-1.8625974480745517,-5.910498026617537,-4.047900578542985,-6.979743225414779,-1.823144223850409,2000,0.01,0.01
displacement,gru_prediction_change,solvability,-0.14076403229264933,-57.93199608391775,-57.7912320516251,-128.7098714185065,-32.373870226887156,2000,100.0,100.0
l22,persistence_policy_change,bandit,-0.07258757957253414,-1.8823530007505895,-1.8097654211780554,-2.225081176679916,-1.5441806150422195,2000,0.01,10.0
l22,persistence_policy_change,foraging,0.3278954180560354,-1.2468766378510954,-1.5747720559071308,-2.5633272041653035,-1.0390257095138502,2000,0.01,10.0
l22,persistence_policy_change,solvability,0.19717252369420035,-2.6862965929689677,-2.883469116663168,-4.5064760606334895,-1.8622325300221825,2000,100.0,10.0
l22,gru_prediction_change,bandit,0.08628731789049293,-1.5965199357742343,-1.6828072536647274,-2.385314482227788,-1.1479692102158165,2000,0.01,100.0
l22,gru_prediction_change,foraging,-1.1824035502756742,-4.316516135866488,-3.1341125855908136,-5.2838519125319925,-1.2218828351506914,2000,10.0,10.0
l22,gru_prediction_change,solvability,0.14136082976234332,-40.07101344703534,-40.21237427679768,-89.12940378386186,-22.800133276628358,2000,100.0,10.0
