stage,target,status,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes,sign_accuracy,r_squared_ci_low,r_squared_ci_high,bootstrap_samples,bootstrap_clusters,mse_ci_low,mse_ci_high,pearson_r_ci_low,pearson_r_ci_high,sign_accuracy_ci_low,sign_accuracy_ci_high
l21,persistence_policy_change,fit,0.01,0.23289050308386264,0.5766663284530021,0.7956029403070347,3.0,2002,82,0.9721580728561522,-0.07710142100648493,0.4041099754342829,2000.0,82.0,0.47550514908525504,0.6890091972439238,0.7660227821547334,0.8236587828968545,0.9484126891611262,0.9912204633437874
l21,gru_prediction_change,fit,100.0,-1.6436234306436024,4.548133442489476,0.3252431888897584,3.0,2002,82,0.9895691609977325,-3.0557243259791296,-0.9692699801927875,2000.0,82.0,4.291401700064861,4.803675803299323,0.2209656142354694,0.4134126524477621,0.9786843537414966,0.9986666666666667
l21,history_prediction_change,constant_or_incomplete_target,,,,,,9651,731,,,,,,,,,,,
l21,continuation_value_change,constant_or_incomplete_target,,,,,,4748,48,,,,,,,,,,,
l21,cost_relief,constant_or_incomplete_target,,,,,,294,147,,,,,,,,,,,
l21,outside_option_relief,fit,100.0,0.0,22.053808812815042,0.0,2.0,866,38,0.8744444444444445,-1.4897229399628608e+30,0.0,2000.0,38.0,17.490123762580833,27.065822311323657,-3.5196634956892306e-16,1.0169791725349765e-15,0.8309027777777778,0.9164143270944742
l21,progress_evidence_change,fit,100.0,0.770011891342747,0.004967743146996664,0.9335055606869053,1.0,46,25,1.0,0.6860997456568596,0.8208157697725443,2000.0,25.0,0.003333426528366119,0.006655297783410398,0.8645776167571945,0.9798024340540685,1.0,1.0
displacement,persistence_policy_change,fit,100.0,0.4744023069868788,0.42256463393825733,0.8803875753001081,3.0,2002,82,0.9729192244730921,0.2520581633436079,0.5929400810190245,2000.0,82.0,0.3284630181670227,0.5251405156787671,0.8568109101775565,0.9028911048886284,0.9490725820203261,0.992837295071411
displacement,gru_prediction_change,fit,100.0,-0.5328371451533912,3.298360353208725,0.2428021280024419,3.0,2002,82,0.9895691609977325,-1.050959913859074,-0.27637504475043323,2000.0,82.0,2.6096908650673143,4.017997012899828,0.1331137392227557,0.36069767561869676,0.9775507791769189,0.998639455782313
displacement,history_prediction_change,constant_or_incomplete_target,,,,,,9651,731,,,,,,,,,,,
displacement,continuation_value_change,constant_or_incomplete_target,,,,,,4748,48,,,,,,,,,,,
displacement,cost_relief,constant_or_incomplete_target,,,,,,294,147,,,,,,,,,,,
displacement,outside_option_relief,fit,10.0,0.0,16.335345337533084,0.0,2.0,866,38,1.0,-1.521747374590802e+30,0.0,2000.0,38.0,8.607047164654222,24.607949473260685,-3.634975505620845e-16,1.0845352252674926e-15,1.0,1.0
displacement,progress_evidence_change,fit,100.0,0.6991710121544723,0.006497906137463399,0.8905031737472191,1.0,46,25,1.0,0.5986682334656995,0.7500011885137609,2000.0,25.0,0.004640300745652249,0.008385566224758254,0.809256336765752,0.940587540113308,1.0,1.0
l22,persistence_policy_change,fit,100.0,0.4435747475809681,0.4489698223806153,0.85646854394045,3.0,2002,82,0.9729192244730921,0.21570575270215017,0.5643918649374192,2000.0,82.0,0.35454188195397524,0.5595772063148534,0.8270804883446145,0.884579193385669,0.9498034192307174,0.9920489725477738
l22,gru_prediction_change,fit,100.0,-0.7653845206090822,3.27237641326481,0.16368804056729236,3.0,2002,82,0.9895691609977325,-1.322009215092479,-0.4719889060487301,2000.0,82.0,2.606869937057706,3.949699596405982,0.07688104270770262,0.26504803603212723,0.9777717391304348,0.9985514955288314
l22,history_prediction_change,constant_or_incomplete_target,,,,,,9651,731,,,,,,,,,,,
l22,continuation_value_change,constant_or_incomplete_target,,,,,,4748,48,,,,,,,,,,,
l22,cost_relief,constant_or_incomplete_target,,,,,,294,147,,,,,,,,,,,
l22,outside_option_relief,fit,100.0,0.0,15.529733398534114,0.0,2.0,866,38,0.8744444444444445,-1.2616152010526792e+30,0.0,2000.0,38.0,9.793759256499406,22.056605135984906,-3.9812103833114016e-16,1.2727381074071846e-15,0.8341397849462366,0.9150057471264368
l22,progress_evidence_change,fit,100.0,0.6635815277848686,0.007266638999846839,0.8612552524629506,1.0,46,25,1.0,0.5456489986027809,0.7221389324607315,2000.0,25.0,0.005414566925849371,0.009211134996220206,0.7622739441570313,0.9197944895326817,1.0,1.0
