task,contrast_family,pair_id,matched,unmatched_fields,orientation_valid
bandit,continue_incentive,bandit-continue_incentive-ad056ba51f791de7299b,True,,True
bandit,continue_incentive,bandit-continue_incentive-f4acb1c54378a1c6fb24,True,,True
bandit,continue_incentive,bandit-continue_incentive-4a6d06409f2fdb76a858,True,,True
bandit,continue_incentive,bandit-continue_incentive-7fd4468b64287c8a3fe8,True,,True
bandit,continue_incentive,bandit-continue_incentive-540abd145a58582f7abb,True,,True
bandit,continue_incentive,bandit-continue_incentive-204bb87d5cb9fade1adf,True,,True
bandit,continue_incentive,bandit-continue_incentive-e1c1027d828fa6d9795a,True,,True
bandit,continue_incentive,bandit-continue_incentive-0a55531fa3a8eab4a67b,True,,True
bandit,continue_incentive,bandit-continue_incentive-d0b319f4a5ac73749c06,True,,True
bandit,continue_incentive,bandit-continue_incentive-9d611cfd38e765dda6c8,True,,True
bandit,continue_incentive,bandit-continue_incentive-c5c6e6e516f94f3c7637,True,,True
bandit,continue_incentive,bandit-continue_incentive-9962bdb9d30d1ef64b2b,True,,True
bandit,continue_incentive,bandit-continue_incentive-0c759a2d977084eb90d0,True,,True
bandit,continue_incentive,bandit-continue_incentive-15dfbe3df6cfe29caa86,True,,True
bandit,continue_incentive,bandit-continue_incentive-6ad72384745ca32fa548,True,,True
bandit,continue_incentive,bandit-continue_incentive-986863131885ff03949a,True,,True
bandit,continue_incentive,bandit-continue_incentive-8de31650dfda8f566222,True,,True
bandit,continue_incentive,bandit-continue_incentive-3c650a4d985db12bb067,True,,True
bandit,continue_incentive,bandit-continue_incentive-589bb787f01143faa824,True,,True
bandit,continue_incentive,bandit-continue_incentive-a283dbf74dbbedba8910,True,,True
bandit,continue_incentive,bandit-continue_incentive-84532a722999f8ee4d52,True,,True
bandit,continue_incentive,bandit-continue_incentive-8d0ab833f7c5ddf4cc0b,True,,True
bandit,continue_incentive,bandit-continue_incentive-dbe48f5ed325039a9426,True,,True
bandit,continue_incentive,bandit-continue_incentive-1a3e242449c682a59db2,True,,True
bandit,continue_incentive,bandit-continue_incentive-ea6f79dab5d846a7cd58,True,,True
bandit,continue_incentive,bandit-continue_incentive-55718234d5940b33f83c,True,,True
bandit,continue_incentive,bandit-continue_incentive-c4bc325c404402f2d900,True,,True
bandit,continue_incentive,bandit-continue_incentive-8a40c747ca301eb72422,True,,True
bandit,continue_incentive,bandit-continue_incentive-b5b6d2dab1db28da7290,True,,True
bandit,continue_incentive,bandit-continue_incentive-fb89cd288959e915acd4,True,,True
bandit,continue_incentive,bandit-continue_incentive-505bfb21baf9ff996b05,True,,True
bandit,continue_incentive,bandit-continue_incentive-101423badcb4b0c796c0,True,,True
bandit,continue_incentive,bandit-continue_incentive-4338b04f3b4b344e67f3,True,,True
bandit,continue_incentive,bandit-continue_incentive-96482603dfc051a8ab4d,True,,True
bandit,continue_incentive,bandit-continue_incentive-88c00b46e112d90234c6,True,,True
bandit,continue_incentive,bandit-continue_incentive-20cb4ce62e0fa7479381,True,,True
bandit,continue_incentive,bandit-continue_incentive-11ec02df011e77fd9996,True,,True
bandit,continue_incentive,bandit-continue_incentive-2d228feab38b91f0bc33,True,,True
bandit,continue_incentive,bandit-continue_incentive-26e0eeeddee3ff34ed5f,True,,True
bandit,continue_incentive,bandit-continue_incentive-fcc90376c026a34f3ae7,True,,True
bandit,continue_incentive,bandit-continue_incentive-8dc14284a9ae89911c4e,True,,True
bandit,continue_incentive,bandit-continue_incentive-54466b2a346b9bdc956c,True,,True
bandit,continue_incentive,bandit-continue_incentive-4c0aef1159d9f9550a36,True,,True
bandit,continue_incentive,bandit-continue_incentive-3f399f4c2dfc47ec058c,True,,True
bandit,continue_incentive,bandit-continue_incentive-946acfcbd4326e8040ce,True,,True
bandit,continue_incentive,bandit-continue_incentive-2a2ff56ad41371c8f681,True,,True
bandit,continue_incentive,bandit-continue_incentive-88a01aefe2f01e724582,True,,True
bandit,continue_incentive,bandit-continue_incentive-216b759bbf81e58cac10,True,,True
bandit,continue_incentive,bandit-continue_incentive-07bd9db086e376e565f6,True,,True
bandit,continue_incentive,bandit-continue_incentive-28e5165ebf3d0be7031f,True,,True
bandit,continue_incentive,bandit-continue_incentive-801e2e1234db2f7dd35e,True,,True
bandit,continue_incentive,bandit-continue_incentive-f70147913e92e88a0d29,True,,True
bandit,continue_incentive,bandit-continue_incentive-d2849fecbe59a2c03081,True,,True
bandit,continue_incentive,bandit-continue_incentive-27a95e62c37e7ecf755a,True,,True
bandit,continue_incentive,bandit-continue_incentive-9c0ae4a0ec77762f76e5,True,,True
bandit,continue_incentive,bandit-continue_incentive-10768336be50b228cd77,True,,True
bandit,continue_incentive,bandit-continue_incentive-5c70f288ebdacbc2fd53,True,,True
bandit,continue_incentive,bandit-continue_incentive-bf447fe1068df6d5df02,True,,True
bandit,continue_incentive,bandit-continue_incentive-d5d3aa6356d1958b7b7e,True,,True
bandit,continue_incentive,bandit-continue_incentive-44c6170c672c4664b988,True,,True
bandit,continue_incentive,bandit-continue_incentive-36dad75afff1a0c8f7ab,True,,True
bandit,continue_incentive,bandit-continue_incentive-bff275c3bd04e942bde0,True,,True
bandit,continue_incentive,bandit-continue_incentive-2ecd10a3091effaea267,True,,True
bandit,continue_incentive,bandit-continue_incentive-cb413925c9c9a88e6f6f,True,,True
bandit,continue_incentive,bandit-continue_incentive-8bb895b9644267d79e00,True,,True
bandit,continue_incentive,bandit-continue_incentive-7d75394cf7a9ed054e9e,True,,True
bandit,continue_incentive,bandit-continue_incentive-433f0d392d3a9fda76c1,True,,True
bandit,continue_incentive,bandit-continue_incentive-83ddfecec9c85770de34,True,,True
bandit,continue_incentive,bandit-continue_incentive-ea3bc0bfb410cfde18cb,True,,True
bandit,continue_incentive,bandit-continue_incentive-d515cb44c3212df7e3a9,True,,True
bandit,continue_incentive,bandit-continue_incentive-7eea0b3c51eff8131d3f,True,,True
bandit,continue_incentive,bandit-continue_incentive-2ad8957f6d37b9b363e4,True,,True
bandit,continue_incentive,bandit-continue_incentive-298cf05a22295476c9e6,True,,True
bandit,continue_incentive,bandit-continue_incentive-906c18a7565cd5cc7ac1,True,,True
bandit,continue_incentive,bandit-continue_incentive-2720cf1dcc01cbfd4c2f,True,,True
bandit,continue_incentive,bandit-continue_incentive-7ff3795084b0ad75f3ee,True,,True
bandit,continue_incentive,bandit-continue_incentive-0b82e8331ff7e4d09043,True,,True
bandit,continue_incentive,bandit-continue_incentive-50ef5505cc26e29700eb,True,,True
bandit,continue_incentive,bandit-continue_incentive-6a384fec781ca55333d6,True,,True
bandit,continue_incentive,bandit-continue_incentive-26d93a486eb5580e2f69,True,,True
bandit,continue_incentive,bandit-continue_incentive-2fe2f0b1b489091599f9,True,,True
bandit,continue_incentive,bandit-continue_incentive-f9a0715f0c624db43a70,True,,True
bandit,continue_incentive,bandit-continue_incentive-810db91ad1a143a18509,True,,True
bandit,continue_incentive,bandit-continue_incentive-5d2287487ba3da077b77,True,,True
bandit,continue_incentive,bandit-continue_incentive-ec29f7a4284b56dfb01b,True,,True
bandit,continue_incentive,bandit-continue_incentive-a9c7b55afdd9ecd7e8ab,True,,True
bandit,continue_incentive,bandit-continue_incentive-01750a65d6ac7b675ee1,True,,True
bandit,continue_incentive,bandit-continue_incentive-a1ab8b6e85e0915ac107,True,,True
bandit,continue_incentive,bandit-continue_incentive-cb9005d46f686920ec90,True,,True
bandit,continue_incentive,bandit-continue_incentive-a31741ddbead113eac12,True,,True
bandit,continue_incentive,bandit-continue_incentive-753a76e4718ab97ea4ef,True,,True
bandit,continue_incentive,bandit-continue_incentive-be1dabf92d88233ad8d0,True,,True
bandit,continue_incentive,bandit-continue_incentive-490f2476cdbb79d0cfa2,True,,True
bandit,continue_incentive,bandit-continue_incentive-3524895f67b98e8a0623,True,,True
bandit,continue_incentive,bandit-continue_incentive-d6afd88c7ef540e0c78c,True,,True
bandit,continue_incentive,bandit-continue_incentive-016620deff4e4560c498,True,,True
bandit,continue_incentive,bandit-continue_incentive-002e78ce9099b49aa39a,True,,True
bandit,continue_incentive,bandit-continue_incentive-ef8169bd48d45a6ac204,True,,True
bandit,continue_incentive,bandit-continue_incentive-9b99bbd6cde5533fbd07,True,,True
bandit,continue_incentive,bandit-continue_incentive-ee58a7ce4421690ef540,True,,True
bandit,continue_incentive,bandit-continue_incentive-83effbb8e43c36d8731d,True,,True
bandit,continue_incentive,bandit-continue_incentive-133c0af3dea7242f0e9c,True,,True
bandit,continue_incentive,bandit-continue_incentive-4703d7a2a303508db672,True,,True
bandit,continue_incentive,bandit-continue_incentive-a8dadc35a6872fbbf583,True,,True
bandit,continue_incentive,bandit-continue_incentive-cadbc021a591f1a6a9a7,True,,True
bandit,continue_incentive,bandit-continue_incentive-6f3d9eb082bc09ac4e96,True,,True
bandit,continue_incentive,bandit-continue_incentive-6e4954fda3531220c4aa,True,,True
bandit,continue_incentive,bandit-continue_incentive-f43b2d536bd7759ba985,True,,True
bandit,continue_incentive,bandit-continue_incentive-07bd1fccbc03a995a43a,True,,True
bandit,continue_incentive,bandit-continue_incentive-da57a1cceafebad05e5a,True,,True
bandit,continue_incentive,bandit-continue_incentive-b305643788c4cd2553b1,True,,True
bandit,continue_incentive,bandit-continue_incentive-987ba1e93a8fbd426a7d,True,,True
bandit,continue_incentive,bandit-continue_incentive-0e44cbf14def22327d8e,True,,True
bandit,continue_incentive,bandit-continue_incentive-b56790d6b5a664f96999,True,,True
bandit,continue_incentive,bandit-continue_incentive-c7ef0ea0a3386bdd58de,True,,True
bandit,continue_incentive,bandit-continue_incentive-278fb3082f3651483bce,True,,True
bandit,continue_incentive,bandit-continue_incentive-c60802306d66d51b833a,True,,True
bandit,continue_incentive,bandit-continue_incentive-c254bcc45cf218032028,True,,True
bandit,continue_incentive,bandit-continue_incentive-6176ff008abee008697f,True,,True
bandit,continue_incentive,bandit-continue_incentive-589bafce6dc123a37e46,True,,True
bandit,continue_incentive,bandit-continue_incentive-a804c69813fb350505ba,True,,True
bandit,continue_incentive,bandit-continue_incentive-e6c707ebd5dea32d5d3a,True,,True
bandit,continue_incentive,bandit-continue_incentive-89e166c68d14166c0533,True,,True
bandit,continue_incentive,bandit-continue_incentive-d01e35b70d5da7f67b07,True,,True
bandit,continue_incentive,bandit-continue_incentive-5f6be3144b6add32a2c8,True,,True
bandit,continue_incentive,bandit-continue_incentive-80598f20ae41ab033122,True,,True
bandit,continue_incentive,bandit-continue_incentive-c64c6b603db1fd2c8fa5,True,,True
bandit,continue_incentive,bandit-continue_incentive-1ef19e4e936ef47fb148,True,,True
bandit,continue_incentive,bandit-continue_incentive-d5502cf7c78da61a17db,True,,True
bandit,continue_incentive,bandit-continue_incentive-3b1b8e0621fd74250578,True,,True
bandit,continue_incentive,bandit-continue_incentive-cea88054478c46671227,True,,True
bandit,continue_incentive,bandit-continue_incentive-93bad07dfc758d3b083a,True,,True
bandit,continue_incentive,bandit-continue_incentive-b0299a4cfcbe5340d562,True,,True
bandit,continue_incentive,bandit-continue_incentive-4dc24843db1e1ff9b1e5,True,,True
bandit,continue_incentive,bandit-continue_incentive-7ab620b09f750b1b89f0,True,,True
bandit,continue_incentive,bandit-continue_incentive-5ee19b0185c4b6899ede,True,,True
bandit,continue_incentive,bandit-continue_incentive-4d1b2925017c1998ea7b,True,,True
bandit,continue_incentive,bandit-continue_incentive-b16c07a20fc485c905fb,True,,True
bandit,continue_incentive,bandit-continue_incentive-52dbdc49d4df40ad5f15,True,,True
bandit,continue_incentive,bandit-continue_incentive-f21aec1fe3ab28b1dbe6,True,,True
bandit,continue_incentive,bandit-continue_incentive-42873d5246bcc303f580,True,,True
bandit,continue_incentive,bandit-continue_incentive-930d78343c2def943239,True,,True
bandit,continue_incentive,bandit-continue_incentive-227aa2176503c0e3a4ed,True,,True
bandit,continue_incentive,bandit-continue_incentive-75ca2ccb2f93c0c37103,True,,True
bandit,continue_incentive,bandit-continue_incentive-d71e91ca26d454eaaf96,True,,True
bandit,continue_incentive,bandit-continue_incentive-32ef27d0a6a34ca04154,True,,True
bandit,continue_incentive,bandit-continue_incentive-e86df790ed7a0768a224,True,,True
bandit,continue_incentive,bandit-continue_incentive-4df027404befb517739a,True,,True
bandit,continue_incentive,bandit-continue_incentive-6e810e1abbae8c6542b5,True,,True
bandit,continue_incentive,bandit-continue_incentive-b0cd3ddc2c3ef418cc3d,True,,True
bandit,continue_incentive,bandit-continue_incentive-852ad734741a7ed03c4c,True,,True
bandit,continue_incentive,bandit-continue_incentive-d0939abd719429dcceb6,True,,True
bandit,continue_incentive,bandit-continue_incentive-a41363a4a29575a1b0a9,True,,True
bandit,continue_incentive,bandit-continue_incentive-aeab98047206b9a1afbb,True,,True
bandit,continue_incentive,bandit-continue_incentive-ae5d2ee8234fb5bf50c2,True,,True
bandit,continue_incentive,bandit-continue_incentive-69e61e25efc7a3adc2b2,True,,True
bandit,continue_incentive,bandit-continue_incentive-3f65b00a13bf9cf04dc3,True,,True
bandit,continue_incentive,bandit-continue_incentive-26ed190f32076cf79f89,True,,True
bandit,continue_incentive,bandit-continue_incentive-79fca21b5a6526cab403,True,,True
bandit,continue_incentive,bandit-continue_incentive-86add6e97af58538f117,True,,True
bandit,continue_incentive,bandit-continue_incentive-20702069dc56b87e719e,True,,True
bandit,continue_incentive,bandit-continue_incentive-646733379804bb2a395c,True,,True
bandit,continue_incentive,bandit-continue_incentive-eda77b960c8efd3cf362,True,,True
bandit,continue_incentive,bandit-continue_incentive-3da6a6643b8cf89fe948,True,,True
bandit,continue_incentive,bandit-continue_incentive-02c2e85ee5fe9697a814,True,,True
bandit,continue_incentive,bandit-continue_incentive-d190b00c9410363d5100,True,,True
bandit,continue_incentive,bandit-continue_incentive-87a2f088f44dda348891,True,,True
bandit,continue_incentive,bandit-continue_incentive-5461c72843c4a5206271,True,,True
bandit,continue_incentive,bandit-continue_incentive-dacd698d6738cdb5d38c,True,,True
bandit,continue_incentive,bandit-continue_incentive-9c7442a96f5cc874a620,True,,True
bandit,continue_incentive,bandit-continue_incentive-d35c6fff32442d1fed2f,True,,True
bandit,continue_incentive,bandit-continue_incentive-51d5e3b16ddfa7728c13,True,,True
bandit,continue_incentive,bandit-continue_incentive-1c3686ceb318ca50ddb5,True,,True
bandit,continue_incentive,bandit-continue_incentive-ab360452978fd46e4c76,True,,True
bandit,continue_incentive,bandit-continue_incentive-312fa9132cd024e1a3b6,True,,True
bandit,continue_incentive,bandit-continue_incentive-0cc140e88f19cbde29d5,True,,True
bandit,continue_incentive,bandit-continue_incentive-36074e305acbcd0c8b71,True,,True
