stage,target,status,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes,sign_accuracy,heldout_manipulation,source_groups,r_squared_ci_low,r_squared_ci_high,bootstrap_samples,bootstrap_clusters,mse_ci_low,mse_ci_high,pearson_r_ci_low,pearson_r_ci_high,sign_accuracy_ci_low,sign_accuracy_ci_high
l21,persistence_policy_change,fit,0.01,0.5717591835600201,0.7735738716711938,0.8318036033339821,1,1052,8,0.9989198456263357,continue_incentive,outside_option;progress_evidence;search_cost;stop_outside_option,0.46808375926649504,0.6417057329859056,2000,8,0.5459142090117788,1.0105266152732686,0.7997231215062478,0.8773163058627776,0.9973861032950474,1.0
l21,persistence_policy_change,fit,0.01,0.6037080417027723,0.16496340770994147,0.8636713796938037,1,77,30,0.9195402298850572,outside_option,continue_incentive;progress_evidence;search_cost;stop_outside_option,0.4000677322747534,0.710866174965779,2000,30,0.11991897303528247,0.219289360236297,0.8360583373153629,0.9048276572296847,0.8111111111111112,1.0
l21,persistence_policy_change,fit,10.0,-2.710552960837147,3.961723898238258,0.35368676547415157,1,46,25,0.9466666666666667,progress_evidence,continue_incentive;outside_option;search_cost;stop_outside_option,-4.419278348866972,-1.5917620225556905,2000,25,3.1160428377471794,4.762464598619401,0.16993035789378985,0.4539131133550913,0.8533333333333333,1.0
l21,persistence_policy_change,fit,1.0,-8.475110835869597,0.8145749176655985,0.8026233183342446,1,38,19,1.0,search_cost,continue_incentive;outside_option;progress_evidence;stop_outside_option,-15.098344050832246,-7.006068855775638,2000,19,0.679964881070193,0.9491849542610034,0.7709722556015146,0.809883366154382,1.0,1.0
l21,persistence_policy_change,fit,0.01,0.07833598444904333,0.9956824925244382,0.8118557761042707,1,789,8,1.0,stop_outside_option,continue_incentive;outside_option;progress_evidence;search_cost,-0.2495073688248102,0.27547620348414087,2000,8,0.7620372032970897,1.2690994654087888,0.7898596075132083,0.8491644631144281,1.0,1.0
l21,gru_prediction_change,fit,0.01,-4.632342495223174,26.700130999705088,-0.030148152145931934,1,1052,8,0.9866326610381487,continue_incentive,outside_option;progress_evidence;search_cost;stop_outside_option,-8.533431259642095,-3.2056323285789414,2000,8,22.459441058236905,30.700098428762736,-0.0906239867379817,0.05709476576579077,0.9729889774859286,0.9984756097560974
l21,gru_prediction_change,fit,100.0,-2.240252658876829,0.6019772727563993,-0.5606042286176128,1,77,30,0.8044444444444443,outside_option,continue_incentive;progress_evidence;search_cost;stop_outside_option,-3.4427901870946007,-1.674526518790738,2000,30,0.4847742032429819,0.7153263750053067,-0.6523903342838897,-0.429037953381687,0.7211111111111114,0.8833333333333333
l21,gru_prediction_change,fit,10.0,-10.63504358756271,5.060377070508457,0.7984081130999551,1,46,25,1.0,progress_evidence,continue_incentive;outside_option;search_cost;stop_outside_option,-24.696671302661187,-5.88873833768046,2000,25,3.297579346230484,6.87548066625883,0.6955565076954419,0.8653369188897818,1.0,1.0
l21,gru_prediction_change,fit,100.0,-122.51876061814174,1.8115049365882652,-0.24586690250702184,1,38,19,1.0,search_cost,continue_incentive;outside_option;progress_evidence;stop_outside_option,-194.44689148809573,-115.01188507724274,2000,19,1.6686526767491852,1.9543571964273458,-0.2931764253949582,-0.17760250198228492,1.0,1.0
l21,gru_prediction_change,fit,100.0,-5.947967690153131,46.44440738830993,0.5014365506788354,1,789,8,0.8186686960474795,stop_outside_option,continue_incentive;outside_option;progress_evidence;search_cost,-6.750342441284507,-5.336496952068995,2000,8,42.379999134079185,50.32274777339515,0.4773227203338129,0.5394157509831876,0.7384465422666274,0.9088755081300812
displacement,persistence_policy_change,fit,100.0,0.8085082553460294,0.34591053589074516,0.9336974934449083,1,1052,8,0.9975728155339804,continue_incentive,outside_option;progress_evidence;search_cost;stop_outside_option,0.7567868803408482,0.8734210882900111,2000,8,0.17935484800478668,0.5317293848233597,0.9157128759183963,0.9570401043445087,0.9927184466019416,1.0
displacement,persistence_policy_change,fit,10.0,0.3940495665319036,0.2522373879038984,0.8823219451738111,1,77,30,0.8678160919540228,outside_option,continue_incentive;progress_evidence;search_cost;stop_outside_option,0.12035965612974461,0.5292732600002346,2000,30,0.18467620153603975,0.3210839762174336,0.8278919577746247,0.9170074493649389,0.7592592592592593,0.9642857142857142
displacement,persistence_policy_change,fit,100.0,-1.6024259495721407,2.7785866922350184,0.783347041842126,1,46,25,1.0,progress_evidence,continue_incentive;outside_option;search_cost;stop_outside_option,-2.9466010441368744,-0.7541026283851602,2000,25,2.2196868963461442,3.3540689615303445,0.7218820332560221,0.8500234574100424,1.0,1.0
displacement,persistence_policy_change,fit,100.0,-1.338551196428278,0.2010451572846982,0.8710159089833008,1,38,19,1.0,search_cost,continue_incentive;outside_option;progress_evidence;stop_outside_option,-3.5247043525206863,-0.5931283595821277,2000,19,0.13530627266231085,0.2667840419070855,0.811450729492146,0.9056599061362296,1.0,1.0
displacement,persistence_policy_change,fit,0.01,0.04856975211921821,1.0278392393423172,0.8287780015724058,1,789,8,1.0,stop_outside_option,continue_incentive;outside_option;progress_evidence;search_cost,-0.7635592550249339,0.42104766139573546,2000,8,0.7475996722157511,1.3380295392753765,0.7555566960593748,0.8941632431849657,1.0,1.0
displacement,gru_prediction_change,fit,100.0,-2.2076989701341234,15.206103461008826,-0.14926551325966936,1,1052,8,1.0,continue_incentive,outside_option;progress_evidence;search_cost;stop_outside_option,-3.843038515234734,-1.7286650946404514,2000,8,14.23431343052277,16.274229670369973,-0.19636021927956973,-0.05526600197023214,1.0,1.0
displacement,gru_prediction_change,fit,10.0,-2.438301493160454,0.6387709767313129,-0.6551879775102017,1,77,30,0.9488888888888888,outside_option,continue_incentive;progress_evidence;search_cost;stop_outside_option,-3.7322573717328074,-1.6732959119583803,2000,30,0.4862660759356635,0.7993716853214692,-0.8412003820890915,-0.43751965396000686,0.8922222222222224,0.9933333333333333
displacement,gru_prediction_change,fit,100.0,-57.93199608391775,25.631027460965605,0.6688957999624054,1,46,25,1.0,progress_evidence,continue_incentive;outside_option;search_cost;stop_outside_option,-124.93900186458492,-31.87404682346177,2000,25,16.139114792110565,35.429416913613785,0.4646629736678811,0.8382649078234599,1.0,1.0
