stage,target,status,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes,sign_accuracy,heldout_task,source_groups,r_squared_ci_low,r_squared_ci_high,bootstrap_samples,bootstrap_clusters,mse_ci_low,mse_ci_high,pearson_r_ci_low,pearson_r_ci_high,sign_accuracy_ci_low,sign_accuracy_ci_high
l21,persistence_policy_change,fit,0.01,-4.893606162903654,9.849625276383772,-0.6483190278807559,1,1841,8,0.3879796949295519,bandit,foraging;solvability,-6.006412611385982,-4.080804382813004,2000,8,8.47114559870967,11.456722062020015,-0.6883840953685109,-0.6004977049789245,0.34976233796772344,0.42430620631979193
l21,persistence_policy_change,fit,0.01,-5.850190350199447,1.9749270616882937,0.8822739657892014,1,115,49,0.920138888888889,foraging,bandit;solvability,-9.222702111454762,-4.218670481089548,2000,49,1.7911447913122853,2.1745632698705673,0.8382038876832602,0.9108035285935416,0.8502621882086168,0.9795918367346939
l21,persistence_policy_change,fit,10.0,-2.710552960837147,3.961723898238258,0.35368676547415157,1,46,25,0.9466666666666667,solvability,bandit;foraging,-4.4498046393647845,-1.557014163008725,2000,25,3.123507306356268,4.800766422660524,0.17481909750616229,0.45498326670939865,0.8533333333333332,1.0
l21,gru_prediction_change,fit,100.0,-1.7565500714193076,31.791958489289563,0.07297090050225957,1,1841,8,0.7927553055965486,bandit,foraging;solvability,-2.608764464401492,-1.1745102229949642,2000,8,26.846481637869708,36.99055285912773,-0.14528082409369242,0.27366525282203835,0.7648246876880345,0.821113893728223
l21,gru_prediction_change,fit,0.01,-21.883891190801165,2.7339397228495077,0.42931868134074785,1,115,49,0.9687074829931972,foraging,bandit;solvability,-35.2238814398291,-15.094734144961146,2000,49,2.3617959246709432,3.1146049885754183,0.23720324829407893,0.5689349477743748,0.9346938775510204,0.9959183673469388
l21,gru_prediction_change,fit,10.0,-10.63504358756271,5.060377070508457,0.7984081130999551,1,46,25,1.0,solvability,bandit;foraging,-23.895267676975102,-5.908129098173338,2000,25,3.357494877096267,6.819337738270791,0.6949809359918909,0.868748237244337,1.0,1.0
displacement,persistence_policy_change,fit,10.0,-3.0091475229514417,6.7002442455976245,-0.35521773264708006,1,1841,8,0.8109957713966682,bandit,foraging;solvability,-3.770355386030646,-2.484403576079503,2000,8,5.672406020663172,7.761814158108707,-0.45316784822825806,-0.2316432126716225,0.7810008644081293,0.8414319751070308
displacement,persistence_policy_change,fit,10.0,-1.8296512231209396,0.8157955458154846,0.9153223270508085,1,115,49,0.920138888888889,foraging,bandit;solvability,-3.007970336636954,-1.1592931953298657,2000,49,0.7173673675781265,0.9131527766071795,0.8822179100734835,0.9384786089183951,0.8472222222222224,0.9787234042553191
displacement,persistence_policy_change,fit,100.0,-1.6024259495721407,2.7785866922350184,0.783347041842126,1,46,25,1.0,solvability,bandit;foraging,-2.9066900157678703,-0.7074746925857875,2000,25,2.2149683150662716,3.3454385391531343,0.7216878795745595,0.8462100673178286,1.0,1.0
displacement,gru_prediction_change,fit,100.0,-1.6481966657800524,30.542292462913814,-0.2784808770072996,1,1841,8,1.0,bandit,foraging;solvability,-2.2153837317689886,-1.2656675612808952,2000,8,27.95259352467825,33.21194266270299,-0.4095760146353261,-0.1576669394282806,1.0,1.0
displacement,gru_prediction_change,fit,0.01,-5.910498026617537,0.8255975743861846,-0.37887395343733293,1,115,49,0.9687074829931972,foraging,bandit;solvability,-8.95817558711743,-4.1642180077151565,2000,49,0.647363726414958,1.0213911490393983,-0.6386709636275435,-0.10068144990800729,0.9346768707482993,0.9959183673469387
displacement,gru_prediction_change,fit,100.0,-57.93199608391775,25.631027460965605,0.6688957999624054,1,46,25,1.0,solvability,bandit;foraging,-126.12265033005767,-32.29772378429187,2000,25,16.104864816239925,35.348443954794625,0.460817586075689,0.8379590658864182,1.0,1.0
l22,persistence_policy_change,fit,10.0,-1.8823530007505895,4.817101140953474,0.11347014644240969,1,1841,8,0.9427314149022807,bandit,foraging;solvability,-2.398468426178805,-1.468880616948006,2000,8,3.930795319697359,5.661002759130559,-0.027262950992749214,0.274414358955995,0.907704595150067,0.9741409650676724
l22,persistence_policy_change,fit,10.0,-1.2468766378510954,0.6477801709901592,0.8887073002679059,1,115,49,0.920138888888889,foraging,bandit;solvability,-2.251606502409903,-0.6979368781945203,2000,49,0.5331346793178519,0.7586260321348689,0.8436004595086625,0.9194473820628939,0.8506944444444444,0.9791666666666666
l22,persistence_policy_change,fit,10.0,-2.6862965929689677,3.935825593246502,0.7134492135582666,1,46,25,1.0,solvability,bandit;foraging,-4.457869750332691,-1.414358001386692,2000,25,3.0678123735467646,4.781752259562392,0.618652154987118,0.8267600401517837,1.0,1.0
l22,gru_prediction_change,fit,100.0,-1.5965199357742343,29.94629224066453,-0.2940721196071678,1,1841,8,0.9940019835439318,bandit,foraging;solvability,-2.153485421564599,-1.2468284521580155,2000,8,27.76916139487906,32.2760412915194,-0.4105426328068964,-0.18030294328582439,0.9841052537676839,0.999825892857143
l22,gru_prediction_change,fit,10.0,-4.316516135866488,0.6351644713665889,-0.6476977954855714,1,115,49,0.9687074829931972,foraging,bandit;solvability,-6.629516048421377,-3.0019546614939165,2000,49,0.45420144816143576,0.8534151896226705,-0.8062165636076853,-0.4584635237364461,0.9353571428571427,0.9959183673469387
l22,gru_prediction_change,fit,10.0,-40.07101344703534,17.862830778914088,0.6098693095720853,1,46,25,1.0,solvability,bandit;foraging,-90.27819683128392,-21.742062679383533,2000,25,11.1512388942835,24.92730386366258,0.40741853476635354,0.7862590568905301,1.0,1.0
