stage,kind,task_a,manipulation_a,task_b,manipulation_b,component,value,direction_1,direction_2,direction_3,direction_4
l21,mean_direction,bandit,continue_incentive,,,0,0.5341315892979429,0.11016454156124811,-0.4683019041926023,-0.11939045558219678,-0.1989964173396211
l21,mean_direction,bandit,stop_outside_option,,,0,0.7555105434182527,-0.019888158494669905,-0.722167096423219,-0.11259146999516487,-0.1902590026669424
l21,mean_direction,foraging,outside_option,,,0,0.13968539862803891,-0.06873429577979373,0.07413728601333298,-0.0951586906363756,-0.01536533736947515
l21,mean_direction,foraging,search_cost,,,0,0.17079201569262764,-0.026336853899264417,0.0027231602631762725,-0.1005845680630126,-0.1354681210351639
l21,mean_direction,solvability,progress_evidence,,,0,0.4333928455264221,-0.0973066664193947,0.02778577024077911,-0.39728828511861325,0.14053732850553222
l21,direction_cosine,bandit,continue_incentive,bandit,stop_outside_option,0,0.9597623492654644,,,,
l21,sign_agreement,bandit,continue_incentive,bandit,stop_outside_option,0,0.75,,,,
l21,direction_cosine,bandit,continue_incentive,foraging,outside_option,0,-0.3735676778084393,,,,
l21,sign_agreement,bandit,continue_incentive,foraging,outside_option,0,0.5,,,,
l21,direction_cosine,bandit,continue_incentive,foraging,search_cost,0,0.3813615009755019,,,,
l21,sign_agreement,bandit,continue_incentive,foraging,search_cost,0,0.5,,,,
l21,direction_cosine,bandit,continue_incentive,solvability,progress_evidence,0,-0.018427970401879847,,,,
l21,sign_agreement,bandit,continue_incentive,solvability,progress_evidence,0,0.25,,,,
l21,direction_cosine,bandit,stop_outside_option,foraging,outside_option,0,-0.3651442714507073,,,,
l21,sign_agreement,bandit,stop_outside_option,foraging,outside_option,0,0.75,,,,
l21,direction_cosine,bandit,stop_outside_option,foraging,search_cost,0,0.27632938487187364,,,,
l21,sign_agreement,bandit,stop_outside_option,foraging,search_cost,0,0.75,,,,
l21,direction_cosine,bandit,stop_outside_option,solvability,progress_evidence,0,-0.0004212727339594644,,,,
l21,sign_agreement,bandit,stop_outside_option,solvability,progress_evidence,0,0.5,,,,
l21,direction_cosine,foraging,outside_option,foraging,search_cost,0,0.5727901924429478,,,,
