stage,target,status,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes,sign_accuracy,control,r_squared_ci_low,r_squared_ci_high,bootstrap_samples,bootstrap_clusters,mse_ci_low,mse_ci_high,pearson_r_ci_low,pearson_r_ci_high,sign_accuracy_ci_low,sign_accuracy_ci_high,mean_projection_norm,mean_projection_norm_ci_low,mean_projection_norm_ci_high,persistence_reference_projection_norm,persistence_minus_nuisance_projection_norm,persistence_minus_nuisance_projection_norm_ci_low,persistence_minus_nuisance_projection_norm_ci_high,persistence_reference_r_squared,persistence_minus_nuisance_r_squared,persistence_minus_nuisance_ci_low,persistence_minus_nuisance_ci_high
l21,nuisance_policy_change,fit,0.1,0.766757029146055,0.6672090753403648,0.8759226433867108,1.0,54,27,1.0,arbitrary_choice,0.6831016962217038,0.8341586525508037,2000.0,27.0,0.452140057808038,0.9023508349118143,0.83393515320295,0.918357497805347,1.0,1.0,0.33906764371527565,0.32067316042052374,0.35574056680693666,0.33571064966894654,-0.0033569940463291092,-0.05787674054236448,0.05106749248346045,0.23289050308386264,-0.5338665260621924,-0.9112600735572887,-0.2789917207874209
l21,nuisance_policy_change,fit,10.0,0.470181586704016,2.7003578618419746,0.6871888061383793,1.0,48,24,1.0,generic_value,0.204014279850526,0.5902454235239738,2000.0,24.0,1.8250684176484477,3.656106900011789,0.5388436962095451,0.7932281932013776,1.0,1.0,0.501792588426421,0.43797791814043496,0.5787698516272939,0.33571064966894654,-0.1660819387574745,-0.25156245041341424,-0.0815850259932192,0.23289050308386264,-0.23729108362015336,-0.6673468445304587,0.2000956955837569
l21,nuisance_policy_change,constant_or_incomplete_target,,,,,,361,361,,label,,,,,,,,,,,0.19321546194832412,0.18297950277270084,0.20427122263242994,0.33571064966894654,0.14249518772062242,0.09055035291626444,0.19453195496729223,0.23289050308386264,,,
l21,nuisance_policy_change,fit,0.01,0.7611494878763979,2.1920960162532874,0.8751139682902005,1.0,58,29,1.0,terminality,0.6588130501886627,0.859875262613047,2000.0,29.0,1.2040104119152102,3.373335877790453,0.8178910194713764,0.9349103790029197,1.0,1.0,0.4299038216985505,0.40747376284080333,0.4522367082985825,0.33571064966894654,-0.09419317202960398,-0.1489408741183938,-0.03750707583601049,0.23289050308386264,-0.5282589847925353,-0.9369766836195319,-0.25470307475437975
displacement,nuisance_policy_change,fit,10.0,0.6824011375560639,0.9085154530683093,0.8288553989383823,1.0,54,27,1.0,arbitrary_choice,0.4681199243879604,0.8113139722885521,2000.0,27.0,0.5631440409511754,1.2743044170362667,0.7378757018509073,0.9056017547290008,1.0,1.0,0.9616924463598816,0.8963394840006474,1.0285149562000124,1.4004272980752088,0.4387348517153272,0.2057140566435316,0.6719990446926004,0.4744023069868788,-0.2079988305691851,-0.5592558089449442,0.1248201566310641
displacement,nuisance_policy_change,fit,0.01,0.8279603820135224,0.8768448270568934,0.9211978987527634,1.0,48,24,1.0,generic_value,0.7024488516839433,0.9068721992817036,2000.0,24.0,0.47158293419637487,1.4625011001152186,0.8492178546299358,0.9673134239123873,1.0,1.0,1.4299280904233456,1.3369365513635179,1.5233720914150275,1.4004272980752088,-0.02950079234813674,-0.26407245473531654,0.21477579681627298,0.4744023069868788,-0.3535580750266436,-0.6548140359380956,-0.10950877066491882
displacement,nuisance_policy_change,constant_or_incomplete_target,,,,,,361,361,,label,,,,,,,,,,,0.5937748937312916,0.5469656026099197,0.641724054172243,1.4004272980752088,0.8066524043439173,0.5737286118153408,1.0371410342757847,0.4744023069868788,,,
displacement,nuisance_policy_change,fit,1.0,0.834113520493207,1.522454725527007,0.9141452220139238,1.0,58,29,1.0,terminality,0.7500878883500163,0.900451403986862,2000.0,29.0,0.8279968604940783,2.562025001345414,0.872627782451137,0.9551574493180974,1.0,1.0,1.7668172758201073,1.7308520186050185,1.803623834432199,1.4004272980752088,-0.36638997774489845,-0.5967575259394341,-0.14275091839878173,0.4744023069868788,-0.3597112135063282,-0.648393240643254,-0.15714780733099176
l22,nuisance_policy_change,fit,0.1,0.35218768583509596,1.8531158883185568,0.5967781049566012,1.0,54,27,1.0,arbitrary_choice,0.05038385996570222,0.5514489909599102,2000.0,27.0,1.286097029324959,2.486759272634214,0.4190591730997372,0.7651390188414198,1.0,1.0,0.8835719713458309,0.7844092231519796,0.9898289681584745,1.2606758998211611,0.37710392847533025,0.15534524063917932,0.6254722599738596,0.4435747475809681,0.09138706174587213,-0.33574323825776,0.514008004971717
l22,nuisance_policy_change,fit,10.0,0.7492677670963115,1.2779222830830983,0.8829521277865633,1.0,48,24,1.0,generic_value,0.555104651531964,0.8308794510725872,2000.0,24.0,0.9460915069743396,1.6387504358425307,0.7891987039378568,0.9294424685821147,1.0,1.0,1.423505462706089,1.2995826434344053,1.5541549943077066,1.2606758998211611,-0.1628295628849279,-0.4044516601068622,0.09616806642587075,0.4435747475809681,-0.3056930195153434,-0.615173698370437,0.009287213405455241
l22,nuisance_policy_change,constant_or_incomplete_target,,,,,,361,361,,label,,,,,,,,,,,0.6099728200780717,0.5660466699177332,0.6550740125932192,1.2606758998211611,0.6507030797430894,0.4459479043282995,0.8809000398514923,0.4435747475809681,,,
l22,nuisance_policy_change,fit,10.0,0.7933350026049142,1.8967073315477208,0.8947400315006112,1.0,58,29,1.0,terminality,0.6970704083640973,0.8760514022270467,2000.0,29.0,1.0305765784213041,3.1334637019575684,0.8434711346484898,0.9467909980163376,1.0,1.0,1.6276449797482326,1.5974972328492278,1.6592042944554626,1.2606758998211611,-0.3669690799270715,-0.5721477293886909,-0.13977296899972855,0.4435747475809681,-0.3497602550239461,-0.6603456495248965,-0.13267854342667806
