stage,target,random_subspace,analysis,random_r_squared,persistence_rank4_r_squared,random_r_squared_mean,random_r_squared_95th,persistence_percentile_among_random,empirical_p_value
l21,persistence_policy_change,0,heldout,0.10829386814438058,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,0,cross_task,-1.8523087434984336,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,0,cross_manipulation,-0.39594730687167523,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,0,heldout,-2.0435349110919936,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,0,cross_task,-6.244660037183415,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,0,cross_manipulation,-9.941290840755496,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,0,heldout,-0.6032911999810766,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,0,cross_task,-2.9840116407895594,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,0,cross_manipulation,-6.836410778830199,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,0,heldout,-5.50459039460607,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,0,cross_task,-11.081493429018243,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,0,cross_manipulation,-91.70767825690649,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,0,heldout,-0.4970066799155199,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,0,cross_task,-6.8696675939717045,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,0,cross_manipulation,-1.6609449776982586,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,0,heldout,-2.4608476111110664,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,0,cross_task,-8.389203895832464,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,0,cross_manipulation,-7.9692200854453175,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,1,heldout,0.21025187451381386,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,1,cross_task,-1.242871700611148,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,1,cross_manipulation,-0.6800058898061925,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,1,heldout,-8.021266014909115,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,1,cross_task,-37.74621233057169,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,1,cross_manipulation,-63.65825415404144,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,1,heldout,-0.45580598886568247,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,1,cross_task,-4.831560201491038,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,1,cross_manipulation,-3.597819323847797,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,1,heldout,-6.280358411326032,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,1,cross_task,-21.1780546170297,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,1,cross_manipulation,-35.18607359236139,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,1,heldout,-0.029421331645107334,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,1,cross_task,-1.842584533667235,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,1,cross_manipulation,-0.9100185728439698,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,1,heldout,-7.542809197096893,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,1,cross_task,-36.55181281750541,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,1,cross_manipulation,-36.6372530611562,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,2,heldout,-0.5076575464164297,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,2,cross_task,-3.2268414189139722,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,2,cross_manipulation,-3.0814590681127916,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,2,heldout,-6.011472094813658,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,2,cross_task,-34.2981940522268,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,2,cross_manipulation,-37.639191726844444,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,2,heldout,0.2886304249586356,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,2,cross_task,-0.6158723700566339,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,2,cross_manipulation,-0.34894874053547476,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,2,heldout,-2.5594322236758718,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,2,cross_task,-22.476453023320573,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,2,cross_manipulation,-15.625403587905325,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,2,heldout,-0.43952918601482277,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,2,cross_task,-1.1451947345219082,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,2,cross_manipulation,-1.280901424387483,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,2,heldout,-5.413444070215569,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,2,cross_task,-28.85044186648014,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,2,cross_manipulation,-11.114667432430567,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,3,heldout,-0.054029918883152596,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,3,cross_task,-2.9948116696278824,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,3,cross_manipulation,-2.53357601995943,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,3,heldout,-0.23844411192465476,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,3,cross_task,-1.6164815660496998,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,3,cross_manipulation,-4.485392116286145,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,3,heldout,-0.6692637980381667,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,3,cross_task,-2.516081234727522,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,3,cross_manipulation,-3.184110642721864,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,3,heldout,-4.5631626852919895,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,3,cross_task,-7.295669294030503,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,3,cross_manipulation,-31.527950494444866,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,3,heldout,-0.04810402859376439,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,3,cross_task,-1.3869071117093543,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,3,cross_manipulation,-0.9167747280491767,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,3,heldout,-0.351494234362595,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,3,cross_task,-1.9835264262292795,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,3,cross_manipulation,-5.015146092495295,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,4,heldout,-1.149171020056346,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,4,cross_task,-6.893651261943148,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,4,cross_manipulation,-9.168022046526533,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,4,heldout,-5.355154834437177,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,4,cross_task,-20.666597543018877,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,4,cross_manipulation,-47.36698043221208,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,4,heldout,0.14077339353344764,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,4,cross_task,-1.5441849683316764,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,4,cross_manipulation,-0.877383883714376,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,4,heldout,-4.569206028131453,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,4,cross_task,-18.252099869065173,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,4,cross_manipulation,-22.276470172887084,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,4,heldout,-0.33479580560311434,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,4,cross_task,-3.061118169277188,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,4,cross_manipulation,-2.608857838796672,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,4,heldout,-2.266980828363725,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,4,cross_task,-5.4525787447386875,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,4,cross_manipulation,-11.283700884508768,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,5,heldout,-0.6426876513795857,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,5,cross_task,-4.600361121040805,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,5,cross_manipulation,-7.684693291695846,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,5,heldout,-3.589359458757155,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,5,cross_task,-9.055860393294958,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,5,cross_manipulation,-19.04574538001868,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,5,heldout,-0.0373566235175569,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,5,cross_task,-1.8844930810235325,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,5,cross_manipulation,-0.9288596435876091,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,5,heldout,-5.591635949951339,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,5,cross_task,-36.54340010737256,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,5,cross_manipulation,-31.490240474237567,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,5,heldout,-0.11446822047869924,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,5,cross_task,-1.0472060506674787,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,5,cross_manipulation,-1.2064927769182323,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,5,heldout,-4.547721802702873,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,5,cross_task,-15.348261920337086,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,5,cross_manipulation,-49.377152834806594,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,6,heldout,-1.5728685939325204,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,6,cross_task,-6.843022744078535,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,6,cross_manipulation,-8.604069711261264,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,6,heldout,-9.232904601536589,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,6,cross_task,-25.674104274227833,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,6,cross_manipulation,-62.8390451643664,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,6,heldout,-0.4070042512876211,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,6,cross_task,-3.6385045503580558,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,6,cross_manipulation,-2.645795702084119,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,6,heldout,-2.5137188494087983,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,6,cross_task,-5.6730301284202165,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,6,cross_manipulation,-28.25485909836051,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,6,heldout,0.06413136600643306,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,6,cross_task,-1.254311113686086,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,6,cross_manipulation,-1.5644199851349043,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,6,heldout,-2.93021311784702,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,6,cross_task,-10.531173111074049,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,6,cross_manipulation,-13.793569011840983,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,7,heldout,-0.2787008063130933,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,7,cross_task,-2.7264643442902923,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,7,cross_manipulation,-2.9609341202170363,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,7,heldout,-2.9964977415489393,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,7,cross_task,-7.484702709148742,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,7,cross_manipulation,-39.334413911204436,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,7,heldout,0.5087397305120711,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,7,cross_task,-0.5532233978016413,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,7,cross_manipulation,-0.21749570185927752,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,7,heldout,-2.022384821521094,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,7,cross_task,-10.037259436320221,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,7,cross_manipulation,-13.530791655121424,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,7,heldout,-0.9245551279030008,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,7,cross_task,-4.123742999603215,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,7,cross_manipulation,-3.034704830285601,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,7,heldout,-4.08329545299897,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,7,cross_task,-11.145904212593123,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,7,cross_manipulation,-29.451400775600156,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,8,heldout,-0.9526696391977384,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,8,cross_task,-6.050834854282944,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,8,cross_manipulation,-4.611335019873133,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,8,heldout,-5.890506564270715,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,8,cross_task,-24.471364601330038,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,8,cross_manipulation,-71.69696801960444,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,8,heldout,-0.7343643800632847,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,8,cross_task,-3.704393219660961,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,8,cross_manipulation,-3.147883553522986,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,8,heldout,-3.8931526439706587,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,8,cross_task,-18.0539627381357,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,8,cross_manipulation,-20.217386944540994,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,8,heldout,-0.23016556284151912,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,8,cross_task,-2.4954416773388903,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,8,cross_manipulation,-0.849950864605732,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,8,heldout,-2.728377202411035,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,8,cross_task,-9.970009625808677,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,8,cross_manipulation,-19.585141840632676,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,9,heldout,-1.0970178911968977,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
