stage,target,feature_family,priority,target_role,task,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes
l21,history_finite_prediction,history,1,primary,macro,10.0,0.035318333253932487,2.619247440158932,0.49930249450800246,3.0,222,30
l21,history_finite_prediction,history,1,primary,bandit,10.0,-0.030391500244765224,2.309095293012235,0.4432691968667186,,162,6
l21,history_finite_prediction,history,1,primary,foraging,10.0,-0.24538315698305446,1.2347434589965178,0.43516048559943155,,36,12
l21,history_finite_prediction,history,1,primary,solvability,10.0,0.38172965698961714,4.313903568468043,0.6194778010578572,,24,12
l21,history_summary,history,1,primary,macro,0.01,0.0036760787373032824,0.4400267003476319,0.48230470828160915,3.0,222,30
l21,history_summary,history,1,primary,bandit,0.01,0.030022280907383014,0.5884860333801788,0.39594842418826603,,162,6
l21,history_summary,history,1,primary,foraging,0.01,-0.3800066985669006,0.6219088876202623,0.38917590132167634,,36,12
l21,history_summary,history,1,primary,solvability,0.01,0.36101265387142745,0.10968518004245446,0.6617897993348849,,24,12
l21,history_recent_outcomes,history,1,primary,macro,100.0,-0.38441191702431105,5.818455249464403,-0.13683203737740837,3.0,222,30
l21,history_recent_outcomes,history,1,primary,bandit,100.0,-0.032467994282480594,7.780942467493732,-0.0027996943892192212,,162,6
l21,history_recent_outcomes,history,1,primary,foraging,100.0,-0.9884298098345914,9.133102834590856,-0.469240331684109,,36,12
l21,history_recent_outcomes,history,1,primary,solvability,100.0,-0.1323379469558612,0.5413204463086214,0.061543913941103146,,24,12
l21,history_recent_choices,history,1,primary,macro,0.01,0.4183187977481599,0.2409729583219112,0.7654408298292057,3.0,222,30
l21,history_recent_choices,history,1,primary,bandit,0.01,0.47338122887946876,0.23459608552866296,0.8313435775055713,,162,6
l21,history_recent_choices,history,1,primary,foraging,0.01,0.46969279751894777,0.2511133497859497,0.730962423492954,,36,12
l21,history_recent_choices,history,1,primary,solvability,0.01,0.3118823668460632,0.23720943965112098,0.7340164884890917,,24,12
