stage,target,heldout_task,source_tasks,selected_alpha,heldout_target_variance,constant_heldout_target,r_squared,mse,pearson_r,tasks,states,episodes,between_task_variance_fraction,median_leave_one_task_out_r_squared,flagged
l21,history_finite_prediction,bandit,foraging;solvability,100.0,1.7821341789718401,False,-2.2588398675541193,7.3030220038328215,0.1044257892424501,1,162,6,0.43729803524141136,-2.2588398675541193,False
l21,history_summary,bandit,foraging;solvability,0.01,0.6347042596253587,False,-0.3999175702450546,0.8493307853951515,0.32367790287947384,1,162,6,0.049981362040893824,-0.3999175702450546,False
l21,time_effort,bandit,foraging;solvability,0.01,0.5444256912983683,False,-2.64583232459824,3.1894022945932736,0.7465997249731869,1,162,6,0.5696990947988195,-2.64583232459824,False
l21,cost_pressure,bandit,foraging;solvability,0.01,0.0,True,0.0,0.13050387116518275,0.0,1,162,6,0.4913699757784434,0.0,False
l21,progress_solvability,bandit,foraging;solvability,100.0,0.7822429200947418,False,-0.017922027119525064,0.8439898413580668,0.14913126737073354,1,162,6,0.06466594646011642,-1.0525128851760832,False
l21,estimated_continue_value,bandit,foraging;solvability,0.1,0.16331624828706667,False,-1.716780355770144,0.8926225608709666,-0.3789918855409365,1,162,6,0.21813404272928824,-9.510198223393479,False
l21,estimated_outside_value,bandit,foraging;solvability,10.0,0.0,True,0.0,0.6314808241767738,0.0,1,162,6,0.35961259924577615,-1.1001708928653566,False
l21,termination_advantage,bandit,foraging;solvability,0.01,0.16331624828706667,False,-0.5973887623305314,0.5248364096529191,-0.09572750248309883,1,162,6,0.29010338687097337,-0.6373241002785637,False
l21,history_finite_prediction,foraging,bandit;solvability,10.0,1.0600904454131121,False,-2.670405412925798,3.639047991024989,0.496422266323626,1,36,12,0.43729803524141136,-2.2588398675541193,False
l21,history_summary,foraging,bandit;solvability,1.0,0.42247158851055516,False,-0.42981084238684275,0.6443534451098057,-0.5626018938243974,1,36,12,0.049981362040893824,-0.3999175702450546,False
l21,time_effort,foraging,bandit;solvability,1.0,0.3633420211370899,False,0.10631760383586131,0.3416024360384385,0.558771293273257,1,36,12,0.5696990947988195,-2.64583232459824,False
l21,cost_pressure,foraging,bandit;solvability,0.01,0.23765432098765432,False,0.03645343029502279,0.2408866424262443,0.21472304729780384,1,36,12,0.4913699757784434,0.0,False
l21,progress_solvability,foraging,bandit;solvability,1.0,0.32418205566481667,False,-1.0525128851760832,0.6596138488994695,-0.46745569050849456,1,36,12,0.06466594646011642,-1.0525128851760832,False
l21,estimated_continue_value,foraging,bandit;solvability,0.01,0.450644718792867,False,-9.836181381848675,4.555125968377577,-0.2730109021509742,1,36,12,0.21813404272928824,-9.510198223393479,False
l21,estimated_outside_value,foraging,bandit;solvability,0.01,0.9876543209876544,False,-1.7644492435763959,2.764449243576396,-0.11122127560988332,1,36,12,0.35961259924577615,-1.1001708928653566,False
