stage,kind,component,target_a,target_b,value
l21,mapping_rank,all,history_finite_prediction;time_effort;cost_pressure;progress_solvability,,4.0
l21,mapping_singular_value,1,all,,0.9657475913563347
l21,mapping_singular_value,2,all,,0.6969238624718038
l21,mapping_singular_value,3,all,,0.5720903201473226
l21,mapping_singular_value,4,all,,0.018383133246550006
l21,canonical_correlation,1,all,,0.49731126876987547
l21,canonical_correlation,2,all,,0.5674211106701236
l21,canonical_correlation,3,all,,0.6288253708602722
l21,canonical_correlation,4,all,,-0.4138449830462852
l21,principal_angle_degrees,,history_finite_prediction,time_effort,77.91160872480283
l21,principal_angle_degrees,,history_finite_prediction,cost_pressure,88.66988792357198
l21,principal_angle_degrees,,history_finite_prediction,progress_solvability,84.34712205534369
l21,principal_angle_degrees,,time_effort,cost_pressure,78.10603569698434
l21,principal_angle_degrees,,time_effort,progress_solvability,32.60168395000166
l21,principal_angle_degrees,,cost_pressure,progress_solvability,46.90297838467498
l21,target_test_r_squared,,history_finite_prediction,,0.035318333253932487
l21,target_test_r_squared,,time_effort,,-0.17800118327875789
l21,target_test_r_squared,,cost_pressure,,-0.37809838593195516
l21,target_test_r_squared,,progress_solvability,,-0.33625778842107445
displacement,mapping_rank,all,history_finite_prediction;time_effort;cost_pressure;progress_solvability,,4.0
displacement,mapping_singular_value,1,all,,0.9894325987661091
displacement,mapping_singular_value,2,all,,0.6687593265016609
displacement,mapping_singular_value,3,all,,0.44845422708714733
displacement,mapping_singular_value,4,all,,0.09661424116175207
displacement,canonical_correlation,1,all,,0.6537808574787731
displacement,canonical_correlation,2,all,,0.36716988214050017
displacement,canonical_correlation,3,all,,0.21036230738908288
displacement,canonical_correlation,4,all,,0.05559190962521823
displacement,principal_angle_degrees,,history_finite_prediction,time_effort,73.1707048428668
displacement,principal_angle_degrees,,history_finite_prediction,cost_pressure,75.04560365294441
displacement,principal_angle_degrees,,history_finite_prediction,progress_solvability,88.37125191949765
displacement,principal_angle_degrees,,time_effort,cost_pressure,68.81378273023924
displacement,principal_angle_degrees,,time_effort,progress_solvability,46.08844706919989
displacement,principal_angle_degrees,,cost_pressure,progress_solvability,37.450389626600476
displacement,target_test_r_squared,,history_finite_prediction,,0.02807760887195987
displacement,target_test_r_squared,,time_effort,,-0.34448168796972006
displacement,target_test_r_squared,,cost_pressure,,-0.3167091089798349
displacement,target_test_r_squared,,progress_solvability,,0.041009013341014554
l22,mapping_rank,all,history_finite_prediction;time_effort;cost_pressure;progress_solvability,,4.0
l22,mapping_singular_value,1,all,,0.6767364216426502
l22,mapping_singular_value,2,all,,0.6592945859782814
l22,mapping_singular_value,3,all,,0.43217977513516354
l22,mapping_singular_value,4,all,,0.19721502575147073
l22,canonical_correlation,1,all,,0.701548429963524
l22,canonical_correlation,2,all,,0.2188001158246584
l22,canonical_correlation,3,all,,0.2973317845515945
l22,canonical_correlation,4,all,,-0.018277133690067244
l22,principal_angle_degrees,,history_finite_prediction,time_effort,84.99300059143806
l22,principal_angle_degrees,,history_finite_prediction,cost_pressure,69.25531023248898
l22,principal_angle_degrees,,history_finite_prediction,progress_solvability,85.54044658339619
l22,principal_angle_degrees,,time_effort,cost_pressure,81.86155893227696
l22,principal_angle_degrees,,time_effort,progress_solvability,57.24528833972411
l22,principal_angle_degrees,,cost_pressure,progress_solvability,59.550932095323546
l22,target_test_r_squared,,history_finite_prediction,,0.03146523405471894
l22,target_test_r_squared,,time_effort,,-0.0666527214304213
l22,target_test_r_squared,,cost_pressure,,-0.274982055418566
l22,target_test_r_squared,,progress_solvability,,-0.053845528642492146
