stage,target,feature_family,rank4_r_squared,rank4_mse,rank4_pearson_r,full_hidden_r_squared,full_hidden_mse,full_hidden_pearson_r,full_hidden_selected_alpha,concentration_ratio,delta_r_squared_full_minus_rank4
l21,history_finite_prediction,history,0.035318333253932487,2.619247440158932,0.49930249450800246,0.7842145699784676,0.3023439738815238,0.9397916867387051,0.1,0.04503656856936773,0.7488962367245351
l21,history_summary,history,0.0036760787373032824,0.4400267003476319,0.48230470828160915,0.7973023047893566,0.11770479838348773,0.9174259455222328,100.0,0.0046106460689016625,0.7936262260520534
l21,history_recent_outcomes,history,-0.38441191702431105,5.818455249464403,-0.13683203737740837,0.7535614083538232,1.4508950597377703,0.9100419046983267,100.0,-0.5101268626057563,1.1379733253781343
l21,history_recent_choices,history,0.4183187977481599,0.2409729583219112,0.7654408298292057,0.9958596830390959,0.0017959558900739355,0.9985306092236371,0.1,0.42005797088959707,0.5775408852909361
l21,time_effort,time_effort,-0.17800118327875789,0.445942736298025,0.619780585615659,0.9895228017659324,0.006399830736223085,0.9972673709873501,0.1,-0.17988588333800046,1.1675239850446903
l21,cost_pressure,cost,-0.37809838593195516,0.19202329487569836,0.14265651960393727,0.5018711042837719,0.04628566966772691,0.6031300910468462,0.1,-0.7533774762178135,0.8799694902157271
l21,progress_solvability,progress_solvability,-0.33625778842107445,0.5318276862453232,0.0007871398159061127,0.35128397454925303,0.45733373897985596,0.6413867424356978,1000.0,-0.9572249598136114,0.6875417629703275
l21,estimated_continue_value,continuation_value,-1.779989704698055,0.8555849144473116,-0.13434153152834907,-0.26569443850385804,0.4108922707617198,0.5015101758098596,1.0,6.699386388067768,1.514295266194197
l21,estimated_outside_value,outside_option,-0.06299897845220537,0.7514413809716703,0.17326511351563745,0.5179118047009649,0.1787188063277282,0.6032142339095737,0.1,-0.12164036015471806,0.5809107831531702
l21,termination_advantage,derived_termination,-0.6473078362118266,1.6374022257897052,-0.03220740646962602,-0.4498584255000175,0.6014857064843381,0.5074884698651102,0.1,1.4389145551566456,0.19744941071180916
displacement,history_finite_prediction,history,0.02807760887195987,2.4196295348244123,0.6793529851086594,0.7959230439986752,0.247244360331232,0.9482009603282534,0.1,0.03527678848309185,0.7678454351267153
displacement,history_summary,history,0.06932973199133279,0.4249205320505605,0.5918626012349408,0.7888913915762213,0.12449067723642913,0.9143402479166193,0.1,0.08788248006206602,0.7195616595848886
displacement,history_recent_outcomes,history,0.011685512345501673,3.930661886435215,0.4615577493873282,0.765040498958912,1.3446896439553466,0.9193974743528184,100.0,0.015274370914224327,0.7533549866134104
displacement,history_recent_choices,history,0.12418487468898949,0.3742091363481404,0.6617204705974156,0.9966206498758533,0.0014483798489212257,0.9986448624793519,1.0,0.12460596186167616,0.8724357751868638
displacement,time_effort,time_effort,-0.34448168796972006,0.6562467895059624,0.4313013718649071,0.9892968997283123,0.007995179893035996,0.9971979019037042,0.1,-0.3482085995259098,1.3337785876980324
displacement,cost_pressure,cost,-0.3167091089798349,0.2058403289221311,0.10039877293363507,0.44868535016099925,0.059481645770368075,0.5737165828484063,10.0,-0.7058601509191061,0.7653944591408341
displacement,progress_solvability,progress_solvability,0.041009013341014554,0.4283639689453948,0.5195091109758622,0.3302423413224192,0.46370186099451577,0.6231424576585706,1000.0,0.1241785446917511,0.28923332798140466
displacement,estimated_continue_value,continuation_value,-2.5115564173010427,0.8370846427120746,0.09799874732829628,-0.19326991887441802,0.3739311025609442,0.5133702078337534,10.0,12.995071514119015,2.318286498426625
displacement,estimated_outside_value,outside_option,-0.12885299936573977,0.8407836243726917,0.0632021082479244,0.4961132645536613,0.1890854151426379,0.5944695977996092,0.1,-0.2597249631728051,0.624966263919401
displacement,termination_advantage,derived_termination,-0.9294968090253737,1.7636652731415328,0.03757706398669423,-0.2645137325345486,0.5724718410982065,0.5226096613047589,0.1,3.51398318763647,0.6649830764908251
l22,history_finite_prediction,history,0.03146523405471894,2.1531859264170183,0.6793872851310652,0.7591940338905351,0.3168890195817485,0.9166843120110912,0.1,0.041445576032089544,0.7277287998358162
l22,history_summary,history,0.17749039956466442,0.3828380436056759,0.5496239979666099,0.7986486132662224,0.11679797585752416,0.9184736586169572,100.0,0.22223841200798478,0.621158213701558
l22,history_recent_outcomes,history,0.01551145535340559,4.310996780874199,0.3923805946887757,0.750831464829606,1.4264498441399887,0.9121590549812915,100.0,0.02065903745379899,0.7353200094762005
l22,history_recent_choices,history,0.2370358027730315,0.32270024014680543,0.626090800974855,0.9960095097151772,0.0017422266596668022,0.9985846285646387,10.0,0.23798548152498583,0.7589737069421457
l22,time_effort,time_effort,-0.0666527214304213,0.5827033355869342,0.42953867813066476,0.9893713233139126,0.007002596992191944,0.9970875996569407,0.1,-0.06736876222282964,1.0560240447443339
