stage,kind,component,heldout_task,value,metric
l21,low_rank_regression,all,,-0.43874636643441867,mean_hidden_dimension_r_squared
l21,canonical_correlation,1,,0.1270556016594477,test_canonical_r
l21,canonical_correlation,2,,0.2072915576217525,test_canonical_r
l21,canonical_correlation,3,,-0.13865340295912285,test_canonical_r
l21,canonical_correlation,4,,0.3047139836321918,test_canonical_r
l21,cross_task_low_rank_regression,all,bandit,-0.9656152713569975,mean_hidden_dimension_r_squared
l21,cross_task_low_rank_regression,all,foraging,-1.6429359837686532,mean_hidden_dimension_r_squared
l21,cross_task_low_rank_regression,all,solvability,-7.472370117577804,mean_hidden_dimension_r_squared
displacement,low_rank_regression,all,,-0.48388429624487295,mean_hidden_dimension_r_squared
displacement,canonical_correlation,1,,0.25125266373344446,test_canonical_r
displacement,canonical_correlation,2,,0.25935664507624223,test_canonical_r
displacement,canonical_correlation,3,,0.4042719694784629,test_canonical_r
displacement,canonical_correlation,4,,-0.3802716137012099,test_canonical_r
displacement,cross_task_low_rank_regression,all,bandit,-0.9297100985503144,mean_hidden_dimension_r_squared
displacement,cross_task_low_rank_regression,all,foraging,-1.2262843684599265,mean_hidden_dimension_r_squared
displacement,cross_task_low_rank_regression,all,solvability,-3.9984765191028777,mean_hidden_dimension_r_squared
l22,low_rank_regression,all,,-0.4457199628023006,mean_hidden_dimension_r_squared
l22,canonical_correlation,1,,0.45999180238049553,test_canonical_r
l22,canonical_correlation,2,,0.01920132881995706,test_canonical_r
l22,canonical_correlation,3,,0.44486412107090373,test_canonical_r
l22,canonical_correlation,4,,0.008415862313299468,test_canonical_r
l22,cross_task_low_rank_regression,all,bandit,-0.9094761461705537,mean_hidden_dimension_r_squared
l22,cross_task_low_rank_regression,all,foraging,-1.1247408168303357,mean_hidden_dimension_r_squared
l22,cross_task_low_rank_regression,all,solvability,-3.9955261714184234,mean_hidden_dimension_r_squared
