stage,target,random_subspace,random_r_squared,random_mse,random_pearson_r,persistence_rank4_r_squared,random_meets_or_exceeds_persistence
l21,history_finite_prediction,0,-0.5363340163589756,2.9936078366295953,0.4318486973775511,0.035318333253932487,False
l21,history_summary,0,0.14139273105712172,0.38541313915114395,0.658467285125158,0.0036760787373032824,True
l21,history_recent_outcomes,0,-0.529682227319922,6.045651973921978,-0.43128352667618425,-0.38441191702431105,False
l21,history_recent_choices,0,0.9010928929685259,0.039885306040662045,0.9613618272870051,0.4183187977481599,True
l21,time_effort,0,0.6750698588071145,0.11528902420937058,0.9330885233100753,-0.17800118327875789,True
l21,cost_pressure,0,-0.48910290822087354,0.24557383840989197,0.02421573262778422,-0.37809838593195516,False
l21,progress_solvability,0,-0.47277439471282584,0.5769372891528776,-0.3988530552894843,-0.33625778842107445,False
l21,estimated_continue_value,0,-2.5711703693859174,0.9018676120551946,0.09760347366293227,-1.779989704698055,False
l21,estimated_outside_value,0,-0.07466399657606389,0.7918053010422801,0.2050896609257938,-0.06299897845220537,False
l21,termination_advantage,0,-0.789392270612633,1.8116414591988608,0.20631929018147124,-0.6473078362118266,False
l21,history_finite_prediction,1,-0.4473911720099091,3.4809586577305875,0.04026567669266912,0.035318333253932487,False
l21,history_summary,1,0.0506886714926873,0.4229623994146055,0.41519999524884915,0.0036760787373032824,True
l21,history_recent_outcomes,1,-0.09096761405411447,5.153100609636197,0.30559271580430597,-0.38441191702431105,True
l21,history_recent_choices,1,0.4267099762373126,0.25149690946936937,0.648499897961742,0.4183187977481599,True
l21,time_effort,1,0.0887988606313503,0.27894472042983776,0.6314274019292123,-0.17800118327875789,True
l21,cost_pressure,1,-0.39348967024624093,0.21247978478622795,-0.1063360639020331,-0.37809838593195516,False
l21,progress_solvability,1,-0.22822687168058228,0.5016787388868987,0.18908772836540252,-0.33625778842107445,True
l21,estimated_continue_value,1,-2.0807277369429467,0.8478813065767339,0.10187598410950786,-1.779989704698055,False
l21,estimated_outside_value,1,-0.16336685034712364,0.860607653151915,-0.03289593882831237,-0.06299897845220537,False
l21,termination_advantage,1,-0.9555092735469995,1.42487879358242,0.15953751517586168,-0.6473078362118266,False
l21,history_finite_prediction,2,-0.673703669839837,3.0586102576754786,0.16088984125772002,0.035318333253932487,False
l21,history_summary,2,0.4614863951676649,0.23667464305133554,0.7017174076079717,0.0036760787373032824,True
l21,history_recent_outcomes,2,-0.21381310789475313,5.0640757555890765,0.31103592169142896,-0.38441191702431105,True
l21,history_recent_choices,2,0.5800087858180875,0.17175858337985986,0.8598610749248564,0.4183187977481599,True
l21,time_effort,2,0.177110928835589,0.1876397553925786,0.8701946503311326,-0.17800118327875789,True
l21,cost_pressure,2,-0.5975579126304967,0.24993339589682248,-0.1273469877338204,-0.37809838593195516,False
l21,progress_solvability,2,-0.40527043432581905,0.5409051418333418,-0.12226878606748524,-0.33625778842107445,False
l21,estimated_continue_value,2,-2.055557875609963,0.811419770131963,0.13102627415069457,-1.779989704698055,False
l21,estimated_outside_value,2,-0.07530315703308517,0.790699584711381,0.2642224860977381,-0.06299897845220537,False
l21,termination_advantage,2,-0.38583760480143864,1.3970514772406364,0.4296714102441192,-0.6473078362118266,True
l21,history_finite_prediction,3,-0.671833055854048,4.134894811309903,0.0036128774741912375,0.035318333253932487,False
l21,history_summary,3,0.15631059080294651,0.38882892677817465,0.5783612796293501,0.0036760787373032824,True
l21,history_recent_outcomes,3,-0.2480048957568708,5.379888963360862,0.3638858848254669,-0.38441191702431105,True
l21,history_recent_choices,3,0.524999226063651,0.20398608920604802,0.8528368874419779,0.4183187977481599,True
l21,time_effort,3,0.15591922371043146,0.3969664325053123,0.7188270171266806,-0.17800118327875789,True
l21,cost_pressure,3,-0.2822374072967069,0.19238959411177492,0.08476744225648865,-0.37809838593195516,True
l21,progress_solvability,3,-0.21842481573975095,0.5204982244732248,0.26642770508255603,-0.33625778842107445,True
l21,estimated_continue_value,3,-2.8345037112620006,1.0555179578019451,0.12633801212851412,-1.779989704698055,False
l21,estimated_outside_value,3,-0.14121339093827925,0.836169006203957,0.21347029463471198,-0.06299897845220537,False
l21,termination_advantage,3,-0.8187786288153612,1.4547673150616411,0.20799259453122718,-0.6473078362118266,False
l21,history_finite_prediction,4,-0.30710935601519956,4.122800463931195,0.5865208646090748,0.035318333253932487,False
l21,history_summary,4,0.13555403677062372,0.3870449271644452,0.6737765593037989,0.0036760787373032824,True
l21,history_recent_outcomes,4,-0.4384649596790622,6.029682053069358,-0.17752297370432124,-0.38441191702431105,False
l21,history_recent_choices,4,0.6587172108352354,0.13335792117763556,0.904526126610158,0.4183187977481599,True
l21,time_effort,4,0.31316354676435404,0.2427939314486347,0.8776290642811316,-0.17800118327875789,True
l21,cost_pressure,4,-0.4720300891391735,0.24006016610320005,-0.028998151847623607,-0.37809838593195516,False
l21,progress_solvability,4,-0.4112569093844985,0.5558651677821232,-0.1479494776478855,-0.33625778842107445,False
l21,estimated_continue_value,4,-3.5375988699175003,1.2059227552406553,-0.38937630989968675,-1.779989704698055,False
l21,estimated_outside_value,4,-0.17288331874912619,0.8956238510350429,0.209818532237413,-0.06299897845220537,False
l21,termination_advantage,4,-1.2291094097572226,1.9098533809875666,0.0630012122719944,-0.6473078362118266,False
l21,history_finite_prediction,5,-0.4009545865124271,3.073136173330377,0.4460764524296336,0.035318333253932487,False
l21,history_summary,5,0.03634334485457361,0.4077818504399137,0.6573976729100534,0.0036760787373032824,True
l21,history_recent_outcomes,5,-0.362560633679389,5.543416445725416,0.0266032903577898,-0.38441191702431105,True
l21,history_recent_choices,5,0.3032925253626986,0.2623253071385096,0.635446313391045,0.4183187977481599,False
l21,time_effort,5,-0.2762126453303156,0.23856161180094793,0.6154780503695146,-0.17800118327875789,False
l21,cost_pressure,5,-0.5249398087856416,0.22995228439953477,0.006457639233288616,-0.37809838593195516,False
l21,progress_solvability,5,-0.5375658246584688,0.5910563052586242,-0.372434601576892,-0.33625778842107445,False
l21,estimated_continue_value,5,-2.4926048201872653,0.9207349705085689,-0.19084689417742742,-1.779989704698055,False
l21,estimated_outside_value,5,-0.13606139095600897,0.8323949699177996,0.21618075643450196,-0.06299897845220537,False
l21,termination_advantage,5,-0.7532587492226545,1.8484984784490386,0.24719967607009888,-0.6473078362118266,False
l21,history_finite_prediction,6,0.026780175682103002,2.7611874999136905,0.5965945335818147,0.035318333253932487,False
l21,history_summary,6,0.2726892101513657,0.3570384947112338,0.672934895269203,0.0036760787373032824,True
l21,history_recent_outcomes,6,-0.18633386704441438,5.121967132111124,0.131546241601395,-0.38441191702431105,True
l21,history_recent_choices,6,0.4852635191815679,0.2206759655198656,0.7833423908664172,0.4183187977481599,True
l21,time_effort,6,-0.11097479380138127,0.4381349594970378,0.6449383747099239,-0.17800118327875789,True
l21,cost_pressure,6,-0.1871929535267026,0.17410517202668577,0.20245215677871076,-0.37809838593195516,True
l21,progress_solvability,6,-0.18252341370637037,0.5057110932614748,0.1311825719855257,-0.33625778842107445,True
l21,estimated_continue_value,6,-3.103616897045756,1.0647945474230323,-0.22210804920237345,-1.779989704698055,False
l21,estimated_outside_value,6,0.023848152883133283,0.6730616320571574,0.3284293580053905,-0.06299897845220537,True
l21,termination_advantage,6,-0.9376770693621422,1.7214974721570846,0.04487626145681437,-0.6473078362118266,False
l21,history_finite_prediction,7,-0.39458911816472814,4.44146220568996,0.386327698496759,0.035318333253932487,False
l21,history_summary,7,0.5062412835371005,0.2303835035519184,0.7482854187490598,0.0036760787373032824,True
l21,history_recent_outcomes,7,0.31145859106741414,2.9213313911275254,0.7180080573552615,-0.38441191702431105,True
l21,history_recent_choices,7,0.4426311328489225,0.23507469484401033,0.7337854805134469,0.4183187977481599,True
l21,time_effort,7,-0.05594499239366835,0.5074679872209445,0.551353034888648,-0.17800118327875789,True
l21,cost_pressure,7,-0.4990985008820799,0.23169821141026992,-0.028448152570539356,-0.37809838593195516,False
l21,progress_solvability,7,0.19119084876689782,0.39353977853605726,0.5980636182837685,-0.33625778842107445,True
l21,estimated_continue_value,7,-2.370739296690882,0.8699219937704149,0.26883318185458505,-1.779989704698055,False
l21,estimated_outside_value,7,-0.17126148369550642,0.8724401609015132,0.05319658002025455,-0.06299897845220537,False
l21,termination_advantage,7,-1.1746702779084974,1.8301456361885855,0.06323603521720755,-0.6473078362118266,False
l21,history_finite_prediction,8,-0.6391382830485455,3.859201316814424,0.1807076581288276,0.035318333253932487,False
l21,history_summary,8,0.20517378080432538,0.3608746181939522,0.6362483876681074,0.0036760787373032824,True
l21,history_recent_outcomes,8,-0.027212422426988254,4.354410601915241,0.5060040807211671,-0.38441191702431105,True
l21,history_recent_choices,8,0.0166917993409544,0.4230687777491727,0.49137714431743706,0.4183187977481599,False
l21,time_effort,8,-0.3053462342047155,0.6503404784457554,0.286946276137053,-0.17800118327875789,False
l21,cost_pressure,8,-0.12430479350418933,0.16297646587957546,0.2385902510802127,-0.37809838593195516,True
l21,progress_solvability,8,-0.02728950236709382,0.44047608669695304,0.4079649445876095,-0.33625778842107445,True
l21,estimated_continue_value,8,-1.537892797519252,0.6710553671203748,0.4668280452690163,-1.779989704698055,True
l21,estimated_outside_value,8,0.004138270848237331,0.7091368773962642,0.289715009989399,-0.06299897845220537,True
l21,termination_advantage,8,-0.616686151408315,1.4082476360210168,0.3677803674624967,-0.6473078362118266,True
l21,history_finite_prediction,9,0.30861122549617026,2.2207621799989274,0.6898352301791372,0.035318333253932487,True
l21,history_summary,9,0.25709421790963677,0.3479052401944503,0.6897598313460577,0.0036760787373032824,True
l21,history_recent_outcomes,9,-0.37370227909069076,5.573458935827522,0.2184320801858944,-0.38441191702431105,True
l21,history_recent_choices,9,0.7436810955282298,0.11031228334195951,0.9040172158716463,0.4183187977481599,True
l21,time_effort,9,0.592211369636317,0.23034159125031586,0.8436048820929494,-0.17800118327875789,True
l21,cost_pressure,9,-0.28425252412155044,0.18207753851938965,-0.0092823039093372,-0.37809838593195516,True
l21,progress_solvability,9,-0.3707012806753393,0.5655907497753085,-0.10907587123323688,-0.33625778842107445,False
l21,estimated_continue_value,9,-3.0564769816161985,1.119090366718694,0.0723081873607063,-1.779989704698055,False
l21,estimated_outside_value,9,-0.0760613802107943,0.7558920626083584,0.11441267657904934,-0.06299897845220537,False
l21,termination_advantage,9,-0.41532639819808526,1.5484323531268576,0.3527537415530111,-0.6473078362118266,True
displacement,history_finite_prediction,0,-0.9415746618158208,4.969966744444554,0.2776306257432082,0.02807760887195987,False
displacement,history_summary,0,-0.11367496765878131,0.502149295040587,0.30007905489229403,0.06932973199133279,False
displacement,history_recent_outcomes,0,-0.3691424273155648,5.236119963081694,0.1893643113672212,0.011685512345501673,False
displacement,history_recent_choices,0,0.03458668530523031,0.41779935668108514,0.620795431603833,0.12418487468898949,False
displacement,time_effort,0,-0.5952004328426127,0.6829671177053592,0.5287336852695492,-0.34448168796972006,False
displacement,cost_pressure,0,-0.6631797026922033,0.27947660139318004,-0.25704516787448045,-0.3167091089798349,False
displacement,progress_solvability,0,-0.37499356854338317,0.527280342694312,0.22301770085485997,0.041009013341014554,False
displacement,estimated_continue_value,0,-2.0467709116613193,0.8611862111350876,0.13289880709565097,-2.5115564173010427,True
displacement,estimated_outside_value,0,-0.21596114322676407,0.9489305971050431,0.03198389787462591,-0.12885299936573977,False
displacement,termination_advantage,0,-2.002223928800454,2.054308534829916,-0.07815763918480244,-0.9294968090253737,False
displacement,history_finite_prediction,1,0.03997724874975347,3.3662359553051266,0.6305329613319811,0.02807760887195987,True
displacement,history_summary,1,0.3069648161212026,0.33778355474461425,0.5518872878929669,0.06932973199133279,True
displacement,history_recent_outcomes,1,-0.34568816857803936,3.831722846522607,0.5913447459014962,0.011685512345501673,False
displacement,history_recent_choices,1,0.05930118137433937,0.3956799556055109,0.46957453832548507,0.12418487468898949,False
displacement,time_effort,1,-0.41689605608221597,0.67337700920559,0.31652477040665133,-0.34448168796972006,False
displacement,cost_pressure,1,-0.4759126399933719,0.22841706990807523,-0.1474232687721904,-0.3167091089798349,False
displacement,progress_solvability,1,-0.06458443561168976,0.4734928692901845,0.37899366901560744,0.041009013341014554,False
displacement,estimated_continue_value,1,-3.075186144349105,1.047040553720494,-0.03389003820144606,-2.5115564173010427,False
displacement,estimated_outside_value,1,-0.08679894476658634,0.7842862664949992,0.18775903141571007,-0.12885299936573977,True
displacement,termination_advantage,1,-1.2701783370829163,1.992621639908296,-0.13910464524962723,-0.9294968090253737,False
displacement,history_finite_prediction,2,-0.28916401331666786,3.856521869616424,0.3762919956134798,0.02807760887195987,False
displacement,history_summary,2,-0.004071456611350666,0.4614085101811889,0.3794078034489013,0.06932973199133279,False
displacement,history_recent_outcomes,2,-0.32875159190641196,5.810057380183614,0.16862953597209893,0.011685512345501673,False
displacement,history_recent_choices,2,0.16159349225501718,0.3658260178922696,0.4436644214317778,0.12418487468898949,True
displacement,time_effort,2,-0.17787380015604262,0.6298365232750603,0.3598783458021532,-0.34448168796972006,True
displacement,cost_pressure,2,-0.38738665727451904,0.2292140545635358,0.08148721196458676,-0.3167091089798349,False
displacement,progress_solvability,2,-0.18176974735066673,0.49842995274700486,0.4000905993946235,0.041009013341014554,False
displacement,estimated_continue_value,2,-2.9686695167491606,1.0624838021319991,-0.15137813913581208,-2.5115564173010427,False
displacement,estimated_outside_value,2,-0.1371283473158933,0.8349647356907033,0.16502761885047143,-0.12885299936573977,False
displacement,termination_advantage,2,-1.2403268553479014,2.076973397316653,-0.03568145552563393,-0.9294968090253737,False
displacement,history_finite_prediction,3,0.14464669200803212,3.5724050031398016,0.6337088491697024,0.02807760887195987,True
displacement,history_summary,3,0.09002055863147007,0.40117890760657127,0.5088151968932256,0.06932973199133279,True
displacement,history_recent_outcomes,3,-0.46419408607195045,5.718213845762304,-0.3920678766689809,0.011685512345501673,False
displacement,history_recent_choices,3,0.5442906467680428,0.18998511333000556,0.8633725566293574,0.12418487468898949,True
displacement,time_effort,3,-0.0333889331722396,0.42561960521572656,0.7882597075826414,-0.34448168796972006,True
displacement,cost_pressure,3,-0.6169265723659189,0.24376947835363985,-0.1251202725130325,-0.3167091089798349,False
displacement,progress_solvability,3,-0.29184176406156886,0.48680289387203796,0.16901942506722334,0.041009013341014554,False
displacement,estimated_continue_value,3,-2.8762949297175413,0.9318748633242238,-0.017219294189799273,-2.5115564173010427,False
displacement,estimated_outside_value,3,-0.10477092422943006,0.7990446153734053,0.1648240523824663,-0.12885299936573977,True
displacement,termination_advantage,3,-0.9553283191256581,2.0260910513218184,0.06167689689542174,-0.9294968090253737,False
displacement,history_finite_prediction,4,-0.1729404708770839,3.3521087792276774,0.36292184872765826,0.02807760887195987,False
displacement,history_summary,4,0.40463124338337214,0.2805086998511948,0.7260985412976769,0.06932973199133279,True
displacement,history_recent_outcomes,4,-0.18541964132984556,5.530886881010768,0.182596824030935,0.011685512345501673,False
displacement,history_recent_choices,4,0.7964199540304654,0.08695252580848183,0.910795588149227,0.12418487468898949,True
displacement,time_effort,4,0.7698378149533603,0.13213916761743394,0.9189530965633393,-0.34448168796972006,True
displacement,cost_pressure,4,-0.39087837643688195,0.21618648099354232,-0.08129798006732614,-0.3167091089798349,False
displacement,progress_solvability,4,-0.25117920693114065,0.5153331194030921,0.16241601989766452,0.041009013341014554,False
displacement,estimated_continue_value,4,-3.134173560575739,1.0983300458695628,0.011673187770012564,-2.5115564173010427,False
displacement,estimated_outside_value,4,-0.035327146235484795,0.7243807045918507,0.28649673343782484,-0.12885299936573977,True
displacement,termination_advantage,4,-0.6157636764637047,1.523961337023085,0.15897284925388303,-0.9294968090253737,True
displacement,history_finite_prediction,5,-0.6301471515615322,4.770057897701515,0.478654459755618,0.02807760887195987,False
displacement,history_summary,5,0.38689048124509656,0.30319382024617747,0.7224833970378371,0.06932973199133279,True
displacement,history_recent_outcomes,5,0.11929098501761944,3.719925626936604,0.6682034393401072,0.011685512345501673,True
displacement,history_recent_choices,5,-0.01463805839833717,0.43210541212808246,0.5447031060512996,0.12418487468898949,False
displacement,time_effort,5,-0.30767654171701536,0.7013206686203511,0.3351573896671029,-0.34448168796972006,True
displacement,cost_pressure,5,-0.38908221323218567,0.22969516569837375,0.07389347606656523,-0.3167091089798349,False
displacement,progress_solvability,5,0.07885795891519572,0.4234546177973,0.6160849714898228,0.041009013341014554,True
displacement,estimated_continue_value,5,-1.103955177164776,0.5283577727674172,0.2778571623329518,-2.5115564173010427,True
displacement,estimated_outside_value,5,-0.14090901604102535,0.863992744787331,0.14529942102308888,-0.12885299936573977,False
displacement,termination_advantage,5,-0.9482946638388176,1.486979914304199,0.2845645716593783,-0.9294968090253737,False
displacement,history_finite_prediction,6,-0.1502351722567342,3.1882219893091484,0.5030624417962203,0.02807760887195987,False
displacement,history_summary,6,0.3165107840888077,0.3197719535805544,0.739116868912088,0.06932973199133279,True
displacement,history_recent_outcomes,6,-0.41823730985516533,5.8045555134183076,-0.13311318349500795,0.011685512345501673,False
displacement,history_recent_choices,6,0.7960262160562506,0.08445616723547428,0.9584854727509707,0.12418487468898949,True
displacement,time_effort,6,0.3715796461672954,0.28224100219162346,0.917077337057013,-0.34448168796972006,True
displacement,cost_pressure,6,-0.35122906700956685,0.20818550143506287,-0.0675767751421363,-0.3167091089798349,False
displacement,progress_solvability,6,-0.37212060591008944,0.5265449907928178,0.1373796078810569,0.041009013341014554,False
displacement,estimated_continue_value,6,-2.624105111729849,1.005137479864689,0.06316057478777996,-2.5115564173010427,False
displacement,estimated_outside_value,6,0.01862083188869479,0.6585567752759635,0.26119305142462146,-0.12885299936573977,True
displacement,termination_advantage,6,-0.6232166549970475,1.577480354004221,0.280145082437623,-0.9294968090253737,True
displacement,history_finite_prediction,7,0.023451687553931233,2.6378774276187102,0.6344445007223162,0.02807760887195987,False
displacement,history_summary,7,0.4809663153679005,0.25561971171472553,0.8215526224550048,0.06932973199133279,True
displacement,history_recent_outcomes,7,-0.3027131355869708,5.677350892835907,0.41570181212750706,0.011685512345501673,False
displacement,history_recent_choices,7,0.8878090063598246,0.045662728365111045,0.9739007565456262,0.12418487468898949,True
displacement,time_effort,7,0.3660645688761151,0.16386668806919957,0.9389014158953648,-0.34448168796972006,True
displacement,cost_pressure,7,-0.4045411738805103,0.21713000889191467,-0.05803652059176859,-0.3167091089798349,False
displacement,progress_solvability,7,-0.2325432154035586,0.49538787191400524,0.697728555882521,0.041009013341014554,False
displacement,estimated_continue_value,7,-2.5946240328836923,1.0185898329773673,0.4045252204341326,-2.5115564173010427,False
