stage,target,feature_family,priority,target_role,task,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes
l21,history_finite_prediction,history,1,primary,macro,100.0,0.26640694883284266,1.828974878855459,0.5846450313882822,3.0,2477,314
l21,history_finite_prediction,history,1,primary,bandit,100.0,0.12637288293308224,1.5866638407055955,0.4804995969015818,,1800,78
l21,history_finite_prediction,history,1,primary,foraging,100.0,0.3497876133387211,0.7025039079805302,0.6980051479180828,,364,118
l21,history_finite_prediction,history,1,primary,solvability,100.0,0.32306035022672464,3.1977568878802507,0.575430349345182,,313,118
l21,history_summary,history,1,primary,macro,100.0,0.2120931504072684,0.3132333042062276,0.47572680099067216,3.0,2477,314
l21,history_summary,history,1,primary,bandit,100.0,0.1917988006829089,0.4143846544767763,0.45025218722758564,,1800,78
l21,history_summary,history,1,primary,foraging,100.0,0.08241909979383899,0.35612817983833533,0.3494878491874129,,364,118
l21,history_summary,history,1,primary,solvability,100.0,0.3620615507450573,0.16918707830357113,0.627440366557018,,313,118
l21,history_recent_outcomes,history,1,primary,macro,100.0,0.011912039646849023,4.065185708083419,0.13387307192718323,3.0,2477,314
l21,history_recent_outcomes,history,1,primary,bandit,100.0,0.015239217321589171,7.122640804820602,0.27667541178858407,,1800,78
l21,history_recent_outcomes,history,1,primary,foraging,100.0,-0.16241644893572516,4.70632911476859,-0.34233614837555626,,364,118
l21,history_recent_outcomes,history,1,primary,solvability,100.0,0.18291335055468305,0.3665872046610659,0.4672799523685219,,313,118
l21,history_recent_choices,history,1,primary,macro,10.0,0.4234693514441359,0.27312250691137224,0.6933738943398858,3.0,2477,314
l21,history_recent_choices,history,1,primary,bandit,10.0,0.5257721630892989,0.2234891178394954,0.8139007628393768,,1800,78
l21,history_recent_choices,history,1,primary,foraging,10.0,0.41331543323406605,0.27053622333376887,0.6464931046579725,,364,118
l21,history_recent_choices,history,1,primary,solvability,10.0,0.33132045800904264,0.3253421795608524,0.619727815522308,,313,118
l21,time_effort,time_effort,2,primary,macro,100.0,0.11366734714890044,0.3739549898091645,0.5259819492504033,3.0,2477,314
l21,time_effort,time_effort,2,primary,bandit,100.0,0.237658250375828,0.5786985011332075,0.5730122625787117,,1800,78
l21,time_effort,time_effort,2,primary,foraging,100.0,0.26626638642146305,0.2869977435106259,0.5284673939079065,,364,118
l21,time_effort,time_effort,2,primary,solvability,100.0,-0.16292259535058973,0.25616872478366,0.47646619126459183,,313,118
l21,cost_pressure,cost,3,primary,macro,100.0,0.026309759574074627,0.16586078632756368,0.14623579889515553,3.0,2477,314
l21,cost_pressure,cost,3,primary,bandit,100.0,0.0,0.019054327130864728,0.0,,1800,78
l21,cost_pressure,cost,3,primary,foraging,100.0,0.07075856075706488,0.23064194297785,0.28677064449266976,,364,118
l21,cost_pressure,cost,3,primary,solvability,100.0,0.008170717965159002,0.2478860888739763,0.15193675219279684,,313,118
l21,progress_solvability,progress_solvability,4,primary,macro,100.0,0.052022799370691396,0.24215221491670658,0.1667454714187224,3.0,2477,314
l21,progress_solvability,progress_solvability,4,primary,bandit,100.0,0.01609034827364919,0.4824685079853932,0.13250687785082768,,1800,78
l21,progress_solvability,progress_solvability,4,primary,foraging,100.0,-0.047439198077428024,0.17736953358137264,-0.14995663175034496,,364,118
l21,progress_solvability,progress_solvability,4,primary,solvability,100.0,0.187417247915853,0.06661860318335383,0.5176861681556845,,313,118
l21,estimated_continue_value,continuation_value,5,control,macro,100.0,-0.47305469386488525,0.5955991476142035,-0.051585970676644395,3.0,2477,314
