stage,kind,component,target_a,target_b,value
l21,mapping_rank,all,history_finite_prediction;time_effort;cost_pressure;progress_solvability,,4.0
l21,mapping_singular_value,1,all,,0.9802712973501789
l21,mapping_singular_value,2,all,,0.6407063799544785
l21,mapping_singular_value,3,all,,0.34942538581573124
l21,mapping_singular_value,4,all,,0.014142567047867807
l21,canonical_correlation,1,all,,0.7164228944542281
l21,canonical_correlation,2,all,,0.5386826888790021
l21,canonical_correlation,3,all,,0.3961966140925689
l21,canonical_correlation,4,all,,0.22694112274846714
l21,principal_angle_degrees,,history_finite_prediction,time_effort,72.93509960280974
l21,principal_angle_degrees,,history_finite_prediction,cost_pressure,64.13172525523528
l21,principal_angle_degrees,,history_finite_prediction,progress_solvability,58.253724628230664
l21,principal_angle_degrees,,time_effort,cost_pressure,50.565152099680496
l21,principal_angle_degrees,,time_effort,progress_solvability,49.35592938101549
l21,principal_angle_degrees,,cost_pressure,progress_solvability,88.84562397017169
l21,target_test_r_squared,,history_finite_prediction,,0.26640694883284266
l21,target_test_r_squared,,time_effort,,0.11366734714890044
l21,target_test_r_squared,,cost_pressure,,0.026309759574074627
l21,target_test_r_squared,,progress_solvability,,0.052022799370691396
displacement,mapping_rank,all,history_finite_prediction;time_effort;cost_pressure;progress_solvability,,4.0
displacement,mapping_singular_value,1,all,,0.9376411945661208
displacement,mapping_singular_value,2,all,,0.6425164665262555
displacement,mapping_singular_value,3,all,,0.38700312914747903
displacement,mapping_singular_value,4,all,,0.05731363702296121
displacement,canonical_correlation,1,all,,0.8413659107179344
displacement,canonical_correlation,2,all,,0.7046985242852344
displacement,canonical_correlation,3,all,,0.30464237675091915
displacement,canonical_correlation,4,all,,0.16408118193394378
displacement,principal_angle_degrees,,history_finite_prediction,time_effort,66.30361375693566
displacement,principal_angle_degrees,,history_finite_prediction,cost_pressure,48.77778311174157
displacement,principal_angle_degrees,,history_finite_prediction,progress_solvability,86.53332257701607
displacement,principal_angle_degrees,,time_effort,cost_pressure,54.341233807963036
displacement,principal_angle_degrees,,time_effort,progress_solvability,57.4924906818151
displacement,principal_angle_degrees,,cost_pressure,progress_solvability,47.49804068676132
displacement,target_test_r_squared,,history_finite_prediction,,0.3350616919161699
displacement,target_test_r_squared,,time_effort,,0.05574320733120316
displacement,target_test_r_squared,,cost_pressure,,-0.04319805995296585
displacement,target_test_r_squared,,progress_solvability,,0.21474527558238451
l22,mapping_rank,all,history_finite_prediction;time_effort;cost_pressure;progress_solvability,,4.0
l22,mapping_singular_value,1,all,,0.7663674455531746
l22,mapping_singular_value,2,all,,0.5699967476316933
l22,mapping_singular_value,3,all,,0.4519002093826274
l22,mapping_singular_value,4,all,,0.22859002992241806
l22,canonical_correlation,1,all,,0.8345807778055758
l22,canonical_correlation,2,all,,0.6523275422417767
l22,canonical_correlation,3,all,,0.07769704839156999
l22,canonical_correlation,4,all,,0.06037635263062566
l22,principal_angle_degrees,,history_finite_prediction,time_effort,78.80940101252378
l22,principal_angle_degrees,,history_finite_prediction,cost_pressure,46.233058432452175
l22,principal_angle_degrees,,history_finite_prediction,progress_solvability,88.5417905304151
l22,principal_angle_degrees,,time_effort,cost_pressure,68.46389425244575
l22,principal_angle_degrees,,time_effort,progress_solvability,78.3537910422662
l22,principal_angle_degrees,,cost_pressure,progress_solvability,75.66202125172352
l22,target_test_r_squared,,history_finite_prediction,,0.3713424130432666
l22,target_test_r_squared,,time_effort,,0.15037016171940673
l22,target_test_r_squared,,cost_pressure,,-0.05291925735909797
l22,target_test_r_squared,,progress_solvability,,0.17202199618634348
