stage,target,feature_family,rank4_r_squared,rank4_mse,rank4_pearson_r,full_hidden_r_squared,full_hidden_mse,full_hidden_pearson_r,full_hidden_selected_alpha,concentration_ratio,delta_r_squared_full_minus_rank4
l21,history_finite_prediction,history,0.26640694883284266,1.828974878855459,0.5846450313882822,0.997741254378488,0.00417229233937273,0.9988729201679667,1.0,0.26701005662915345,0.7313343055456454
l21,history_summary,history,0.2120931504072684,0.3132333042062276,0.47572680099067216,0.9944523348026705,0.0025365103804481535,0.9972334515776455,1.0,0.213276336114545,0.7823591843954021
l21,history_recent_outcomes,history,0.011912039646849023,4.065185708083419,0.13387307192718323,0.988652904920463,0.035475061982732765,0.9943223467823944,1.0,0.012048758050033085,0.9767408652736139
l21,history_recent_choices,history,0.4234693514441359,0.27312250691137224,0.6933738943398858,0.9999376282339121,2.925153053762835e-05,0.9999691376875434,1.0,0.42349576562296853,0.5764682767897762
l21,time_effort,time_effort,0.11366734714890044,0.3739549898091645,0.5259819492504033,0.9999547970484884,2.4058813609332297e-05,0.9999776134800243,0.1,0.11367248548074982,0.886287449899588
l21,cost_pressure,cost,0.026309759574074627,0.16586078632756368,0.14623579889515553,0.6659412584459948,0.0003750984515690228,0.666304065363669,0.1,0.039507628098414696,0.6396314988719202
l21,progress_solvability,progress_solvability,0.052022799370691396,0.24215221491670658,0.1667454714187224,0.983300190700309,0.006218912702766668,0.992271340014606,1.0,0.05290632490739234,0.9312773913296176
l21,estimated_continue_value,continuation_value,-0.47305469386488525,0.5955991476142035,-0.051585970676644395,0.9445901085596372,0.01886115783614115,0.9714107476977757,10.0,-0.5008042002326544,1.4176448024245225
l21,estimated_outside_value,outside_option,0.004548456915627923,0.6829520410065131,0.11487660931611343,0.6655375770304347,0.0028373793024479236,0.6661045653398187,1.0,0.006834260111837268,0.6609891201148068
l21,termination_advantage,derived_termination,-0.13057366916992627,1.2086727257372925,0.1054534643679222,0.941185433804221,0.02221327043158458,0.969787129977624,1.0,-0.13873320227891173,1.0717591029741473
displacement,history_finite_prediction,history,0.3350616919161699,1.6369669999981393,0.720510800535473,0.9974798538976913,0.0048703754448069245,0.9987476059815673,1.0,0.3359082297320626,0.6624181619815215
displacement,history_summary,history,0.2520168574349606,0.31859441004483885,0.520676542496799,0.9947626450702569,0.0024903280238955383,0.9974314086589406,10.0,0.25334370835483216,0.7427457876352963
displacement,history_recent_outcomes,history,0.10571653445761924,3.187861194536563,0.5520011777640867,0.9916056376407477,0.0348283713291382,0.9958513554152507,10.0,0.10661146976649163,0.8858891031831285
displacement,history_recent_choices,history,0.3533785714173785,0.3045702823751791,0.6996421235469382,0.9999122415297027,4.124951295936927e-05,0.9999566906819833,1.0,0.3534095861020432,0.6465336701123242
displacement,time_effort,time_effort,0.05574320733120316,0.44144232972554137,0.5296901809406038,0.9999356652101637,3.3278955487160694e-05,0.999967960267115,1.0,0.05574679378946565,0.9441924578789606
