stage,kind,component,heldout_task,value,metric
l21,low_rank_regression,all,,0.0765142684367946,mean_hidden_dimension_r_squared
l21,canonical_correlation,1,,0.9472371742016705,test_canonical_r
l21,canonical_correlation,2,,0.9159430701637132,test_canonical_r
l21,canonical_correlation,3,,0.7614633792410391,test_canonical_r
l21,canonical_correlation,4,,0.7294983855391969,test_canonical_r
l21,cross_task_low_rank_regression,all,bandit,-1.787161283770888,mean_hidden_dimension_r_squared
l21,cross_task_low_rank_regression,all,foraging,-2.42187515139027,mean_hidden_dimension_r_squared
l21,cross_task_low_rank_regression,all,solvability,-2.5168054936761965,mean_hidden_dimension_r_squared
displacement,low_rank_regression,all,,0.028228453594519518,mean_hidden_dimension_r_squared
displacement,canonical_correlation,1,,0.9458888404850828,test_canonical_r
displacement,canonical_correlation,2,,0.9011507095903383,test_canonical_r
displacement,canonical_correlation,3,,0.7882908359558132,test_canonical_r
displacement,canonical_correlation,4,,0.7181793894633511,test_canonical_r
displacement,cross_task_low_rank_regression,all,bandit,-1.246910365183073,mean_hidden_dimension_r_squared
displacement,cross_task_low_rank_regression,all,foraging,-1.3975755334080948,mean_hidden_dimension_r_squared
displacement,cross_task_low_rank_regression,all,solvability,-1.5892540090642453,mean_hidden_dimension_r_squared
l22,low_rank_regression,all,,-0.014071326108962728,mean_hidden_dimension_r_squared
l22,canonical_correlation,1,,0.9311752202637817,test_canonical_r
l22,canonical_correlation,2,,0.9108397321676605,test_canonical_r
l22,canonical_correlation,3,,0.8126772775533,test_canonical_r
l22,canonical_correlation,4,,0.6205507146623562,test_canonical_r
l22,cross_task_low_rank_regression,all,bandit,-1.014714697307053,mean_hidden_dimension_r_squared
l22,cross_task_low_rank_regression,all,foraging,-1.4022506062857145,mean_hidden_dimension_r_squared
l22,cross_task_low_rank_regression,all,solvability,-2.1507345984690973,mean_hidden_dimension_r_squared
