contrast_id,task,manipulation,contrast_kind,nuisance_type,split,cluster_id,positive_state_id,negative_state_id,orientation,behavior_effect,mapping_id,layers,hidden_width,matched_variables,unmatched_variables
bandit-continue_incentive-ad056ba51f791de7299b,bandit,continue_incentive,persistence,,test,seed-52032-pa-0.50-pb-0.35,seed-52032-pa-0.50-pb-0.35:0:stop=-10:continue=10,seed-52032-pa-0.50-pb-0.35:0:stop=-10:continue=-10,positive_is_more_persistence_promoting,1.4412617796228488,,32,2560,"{""base_state_id"":""seed-52032-pa-0.50-pb-0.35:0"",""stop_payoff"":-10}",
bandit-continue_incentive-f4acb1c54378a1c6fb24,bandit,continue_incentive,persistence,,test,seed-52032-pa-0.50-pb-0.35,seed-52032-pa-0.50-pb-0.35:0:stop=0:continue=10,seed-52032-pa-0.50-pb-0.35:0:stop=0:continue=-10,positive_is_more_persistence_promoting,1.9015153594413263,,32,2560,"{""base_state_id"":""seed-52032-pa-0.50-pb-0.35:0"",""stop_payoff"":0}",
bandit-continue_incentive-4a6d06409f2fdb76a858,bandit,continue_incentive,persistence,,test,seed-52032-pa-0.50-pb-0.35,seed-52032-pa-0.50-pb-0.35:0:stop=10:continue=10,seed-52032-pa-0.50-pb-0.35:0:stop=10:continue=-10,positive_is_more_persistence_promoting,1.2657459762602272,,32,2560,"{""base_state_id"":""seed-52032-pa-0.50-pb-0.35:0"",""stop_payoff"":10}",
bandit-continue_incentive-7fd4468b64287c8a3fe8,bandit,continue_incentive,persistence,,test,seed-52032-pa-0.50-pb-0.35,seed-52032-pa-0.50-pb-0.35:0:stop=20:continue=10,seed-52032-pa-0.50-pb-0.35:0:stop=20:continue=-10,positive_is_more_persistence_promoting,0.0,,32,2560,"{""base_state_id"":""seed-52032-pa-0.50-pb-0.35:0"",""stop_payoff"":20}",
bandit-continue_incentive-540abd145a58582f7abb,bandit,continue_incentive,persistence,,test,seed-52032-pa-0.50-pb-0.35,seed-52032-pa-0.50-pb-0.35:1:stop=-10:continue=10,seed-52032-pa-0.50-pb-0.35:1:stop=-10:continue=-10,positive_is_more_persistence_promoting,2.6559298036201646,,32,2560,"{""base_state_id"":""seed-52032-pa-0.50-pb-0.35:1"",""stop_payoff"":-10}",
bandit-continue_incentive-204bb87d5cb9fade1adf,bandit,continue_incentive,persistence,,test,seed-52032-pa-0.50-pb-0.35,seed-52032-pa-0.50-pb-0.35:1:stop=0:continue=10,seed-52032-pa-0.50-pb-0.35:1:stop=0:continue=-10,positive_is_more_persistence_promoting,5.54610164295935,,32,2560,"{""base_state_id"":""seed-52032-pa-0.50-pb-0.35:1"",""stop_payoff"":0}",
bandit-continue_incentive-e1c1027d828fa6d9795a,bandit,continue_incentive,persistence,,test,seed-52032-pa-0.50-pb-0.35,seed-52032-pa-0.50-pb-0.35:1:stop=10:continue=10,seed-52032-pa-0.50-pb-0.35:1:stop=10:continue=-10,positive_is_more_persistence_promoting,2.6933403845616724,,32,2560,"{""base_state_id"":""seed-52032-pa-0.50-pb-0.35:1"",""stop_payoff"":10}",
bandit-continue_incentive-0a55531fa3a8eab4a67b,bandit,continue_incentive,persistence,,test,seed-52032-pa-0.50-pb-0.35,seed-52032-pa-0.50-pb-0.35:1:stop=20:continue=10,seed-52032-pa-0.50-pb-0.35:1:stop=20:continue=-10,positive_is_more_persistence_promoting,0.6816596154383276,,32,2560,"{""base_state_id"":""seed-52032-pa-0.50-pb-0.35:1"",""stop_payoff"":20}",
bandit-continue_incentive-d0b319f4a5ac73749c06,bandit,continue_incentive,persistence,,test,seed-52036-pa-0.65-pb-0.20,seed-52036-pa-0.65-pb-0.20:0:stop=-10:continue=10,seed-52036-pa-0.65-pb-0.20:0:stop=-10:continue=-10,positive_is_more_persistence_promoting,1.4412617796228488,,32,2560,"{""base_state_id"":""seed-52036-pa-0.65-pb-0.20:0"",""stop_payoff"":-10}",
bandit-continue_incentive-9d611cfd38e765dda6c8,bandit,continue_incentive,persistence,,test,seed-52036-pa-0.65-pb-0.20,seed-52036-pa-0.65-pb-0.20:0:stop=0:continue=10,seed-52036-pa-0.65-pb-0.20:0:stop=0:continue=-10,positive_is_more_persistence_promoting,1.9015153594413263,,32,2560,"{""base_state_id"":""seed-52036-pa-0.65-pb-0.20:0"",""stop_payoff"":0}",
bandit-continue_incentive-c5c6e6e516f94f3c7637,bandit,continue_incentive,persistence,,test,seed-52036-pa-0.65-pb-0.20,seed-52036-pa-0.65-pb-0.20:0:stop=10:continue=10,seed-52036-pa-0.65-pb-0.20:0:stop=10:continue=-10,positive_is_more_persistence_promoting,1.2657459762602272,,32,2560,"{""base_state_id"":""seed-52036-pa-0.65-pb-0.20:0"",""stop_payoff"":10}",
bandit-continue_incentive-9962bdb9d30d1ef64b2b,bandit,continue_incentive,persistence,,test,seed-52036-pa-0.65-pb-0.20,seed-52036-pa-0.65-pb-0.20:0:stop=20:continue=10,seed-52036-pa-0.65-pb-0.20:0:stop=20:continue=-10,positive_is_more_persistence_promoting,0.0,,32,2560,"{""base_state_id"":""seed-52036-pa-0.65-pb-0.20:0"",""stop_payoff"":20}",
