task,episode_id,state_id,round,persistence_logit,latent_state,remaining_episode_length
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:0,0,4.203889734292549,-0.8658987043709643,11
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:1,1,3.0075990353171704,-1.0591099292662447,10
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:2,2,3.7234445810050545,-0.48974497987470145,9
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:3,3,3.2234445810050545,-0.46507729783088947,8
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:4,4,1.4287006782765204,-0.9851068831348084,7
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:5,5,3.0075990353171704,-0.4157419337432653,6
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:6,6,2.7254126516016477,-0.3910742516994532,5
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:7,7,2.031150136248314,-0.9111038370033722,4
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:8,8,1.6787006782765204,-0.8864361549595601,3
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:9,9,0.826413277982752,-0.8617684729157482,2
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:10,10,0.26767505760560084,-0.8371007908719361,1
bandit,seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:11,11,0.376928011042974,-0.812433108828124,0
bandit,seed-12027-pa-0.35-pb-0.50,seed-12027-pa-0.35-pb-0.50:0,0,4.203889734292549,-0.9191276501763871,6
bandit,seed-12027-pa-0.35-pb-0.50,seed-12027-pa-0.35-pb-0.50:1,1,3.8490769841801082,-1.1123388750716674,5
bandit,seed-12027-pa-0.35-pb-0.50,seed-12027-pa-0.35-pb-0.50:2,2,2.7139394654749402,-0.5429739256801243,4
bandit,seed-12027-pa-0.35-pb-0.50,seed-12027-pa-0.35-pb-0.50:3,3,1.826413277982752,-1.0630035109840432,3
bandit,seed-12027-pa-0.35-pb-0.50,seed-12027-pa-0.35-pb-0.50:4,4,2.325939419878843,-0.49363856159250014,2
bandit,seed-12027-pa-0.35-pb-0.50,seed-12027-pa-0.35-pb-0.50:5,5,1.5759394198788428,-1.013668146896419,1
bandit,seed-12027-pa-0.35-pb-0.50,seed-12027-pa-0.35-pb-0.50:6,6,1.3628222787715707,-0.9890004648526071,0
bandit,seed-12028-pa-0.35-pb-0.20,seed-12028-pa-0.35-pb-0.20:0,0,4.203889734292549,-0.9723565959818098,2
bandit,seed-12028-pa-0.35-pb-0.20,seed-12028-pa-0.35-pb-0.20:1,1,3.8490769841801082,-1.16556782087709,1
bandit,seed-12028-pa-0.35-pb-0.20,seed-12028-pa-0.35-pb-0.20:2,2,0.1004126516016477,-1.140900138833278,0
bandit,seed-12029-pa-0.20-pb-0.20,seed-12029-pa-0.20-pb-0.20:0,0,4.203889734292549,-1.0255855417872326,2
bandit,seed-12029-pa-0.20-pb-0.20,seed-12029-pa-0.20-pb-0.20:1,1,3.8490769841801082,-1.2187967666825128,1
bandit,seed-12029-pa-0.20-pb-0.20,seed-12029-pa-0.20-pb-0.20:2,2,0.1004126516016477,-1.1941290846387007,0
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:0,0,4.203889734292549,-0.8658987043709643,99
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:1,1,4.42870067827652,-0.5144126619185135,98
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:2,2,3.201413277982752,-0.48974497987470145,97
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:3,3,3.4878222787715707,-0.46507729783088947,96
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:4,4,2.1602241504380864,-0.4404096157870774,95
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:5,5,3.126928011042974,-0.9604392010909963,94
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:6,6,4.0380413716877825,-0.3910742516994532,93
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:7,7,3.9179990792290873,-0.3664065696556411,92
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:8,8,3.7880413716877825,-0.341738887611829,91
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:9,9,3.7929990792290873,-0.31707120556801704,90
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:10,10,3.6735873515737403,-0.29240352352420496,89
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:11,11,2.9538897342925488,-0.812433108828124,88
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:12,12,5.112822278771571,-0.24306815943658078,87
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:13,13,4.6949361996449746,-0.2184004773927688,86
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:14,14,4.30474463538566,-0.1937327953489567,85
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:15,15,4.201413277982752,-0.16906511330514462,84
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:16,16,3.1787006782765204,-0.6890946986090636,83
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:17,17,2.8981232641398407,-0.6644270165652515,82
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:18,18,2.0118710061149017,-0.6397593345214394,81
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:19,19,5.785224150438086,-0.07039438512989632,80
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:20,20,4.224076984180108,-0.5904239704338154,79
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:21,21,3.781150136248314,-0.5657562883900034,78
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:22,22,5.58893946547494,0.0036086610015398923,77
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:23,23,5.267675057605601,0.02827634304535198,76
bandit,seed-12030-pa-0.65-pb-0.50,seed-12030-pa-0.65-pb-0.50:24,24,5.5699361996449746,0.05294402508916407,75
