key,feature_type,layer,rank,persistence_sensitivity,persistence_positive_fraction,cross_manipulation_transfer,cross_task_transfer,random_95th,classification,nuisance_arbitrary_choice,nuisance_generic_value,nuisance_label,nuisance_terminality
static-L00-k1,static,0,1,0.03837912902235985,0.8392186164855957,0.02814423870295286,0.017575624554107588,0.0006088083609938622,no_persistence_specific_candidate,0.08528151363134384,0.10150277614593506,0.007242169696837664,0.04357694461941719
static-L00-k2,static,0,2,0.1424146592617035,0.7776108384132385,0.09039382613264024,0.07306982786394656,0.0014559514820575714,no_persistence_specific_candidate,0.14880910515785217,0.14174924790859222,0.08588291704654694,0.10450013726949692
static-L00-k4,static,0,4,0.31125640869140625,0.734034538269043,0.20913227126002312,0.1454806588590145,0.002094104653224349,no_persistence_specific_candidate,0.24684937298297882,0.21685314178466797,0.16208937764167786,0.17985136806964874
static-L01-k1,static,1,1,0.03728089481592178,0.8504883646965027,0.027394743310287593,0.021239838950956862,0.0006990023539401591,no_persistence_specific_candidate,0.045221153646707535,0.04429122060537338,0.008920830674469471,0.030623218044638634
static-L01-k2,static,1,2,0.1536439061164856,0.7197595834732056,0.14755197390913963,0.12104880437254906,0.0011314537841826677,no_persistence_specific_candidate,0.057264294475317,0.31103935837745667,0.15921659767627716,0.22198516130447388
static-L01-k4,static,1,4,0.22960059344768524,0.7152516841888428,0.183670387044549,0.14247027101616064,0.001923334551975131,no_persistence_specific_candidate,0.08968620747327805,0.3466690182685852,0.16944390535354614,0.2445860207080841
static-L02-k1,static,2,1,0.07423201203346252,0.7250187993049622,0.06016416512429714,0.04512681315342585,0.0007132850005291402,no_persistence_specific_candidate,0.034897707402706146,0.05613499879837036,0.04174220561981201,0.04496276006102562
static-L02-k2,static,2,2,0.23922516405582428,0.6183320879936218,0.22315822541713715,0.20336782932281494,0.0013859783066436648,no_persistence_specific_candidate,0.08257927745580673,0.16705307364463806,0.20247076451778412,0.13547129929065704
static-L02-k4,static,2,4,0.29127025604248047,0.640871524810791,0.26121310889720917,0.22017715374628702,0.002202977193519473,no_persistence_specific_candidate,0.10555584728717804,0.1952049732208252,0.21068164706230164,0.15486952662467957
static-L03-k1,static,3,1,0.041972748935222626,0.9504132270812988,0.03801981564611197,0.028409714810550213,0.000589141040109098,no_persistence_specific_candidate,0.02124873176217079,0.025730421766638756,0.018552672117948532,0.02655138447880745
static-L03-k2,static,3,2,0.14739631116390228,0.7047333121299744,0.11511011272668839,0.10437925159931183,0.0011387777049094439,no_persistence_specific_candidate,0.05715980753302574,0.08123983442783356,0.07276493310928345,0.09442895650863647
static-L03-k4,static,3,4,0.20352181792259216,0.8429751992225647,0.21263944506645202,0.13809765875339508,0.0020240515004843473,no_persistence_specific_candidate,0.08625864237546921,0.11306940019130707,0.092661552131176,0.12950995564460754
static-L04-k1,static,4,1,0.051656004041433334,0.9248685240745544,0.07679091766476631,0.06927806884050369,0.0006404491141438484,no_persistence_specific_candidate,0.027311094105243683,0.028420742601156235,0.033922210335731506,0.06111137568950653
static-L04-k2,static,4,2,0.0891321673989296,0.7888805270195007,0.10021676421165467,0.07106448089083035,0.0010449375258758664,no_persistence_specific_candidate,0.03523110970854759,0.07533557713031769,0.0581575408577919,0.07899577170610428
static-L04-k4,static,4,4,0.14175795018672943,0.8595041036605835,0.1597582072019577,0.10911636302868526,0.0019390926463529468,no_persistence_specific_candidate,0.06358228623867035,0.09692957252264023,0.07686302810907364,0.10786899924278259
static-L05-k1,static,5,1,0.048709459602832794,0.8910593390464783,0.07086989190429449,0.0590866015603145,0.0005895529175177217,no_persistence_specific_candidate,0.02039852924644947,0.020680103451013565,0.032568786293268204,0.05932336673140526
static-L05-k2,static,5,2,0.07589058578014374,0.8046581745147705,0.08790357783436775,0.07380724077423413,0.0010498939082026482,no_persistence_specific_candidate,0.0298130065202713,0.02997259795665741,0.04391179233789444,0.06613702327013016
static-L05-k4,static,5,4,0.12272195518016815,0.8121712803840637,0.13878768682479858,0.09601312503218651,0.001956198364496231,no_persistence_specific_candidate,0.04962947964668274,0.07598946988582611,0.06833246350288391,0.08621669560670853
static-L06-k1,static,6,1,0.058332882821559906,0.9135987758636475,0.06875806339085103,0.05016939962903658,0.0005554263480007648,no_persistence_specific_candidate,0.01698909141123295,0.016793696209788322,0.01592828705906868,0.03474859893321991
static-L06-k2,static,6,2,0.06407186388969421,0.8166791796684265,0.08184589892625808,0.05679970048367977,0.001074534491635859,no_persistence_specific_candidate,0.020711012184619904,0.03773749992251396,0.025864312425255775,0.043704453855752945
static-L06-k4,static,6,4,0.111744225025177,0.8399699330329895,0.12397910431027412,0.07723489279548328,0.002044931286945939,no_persistence_specific_candidate,0.03549132123589516,0.08036233484745026,0.054914362728595734,0.06097324937582016
static-L07-k1,static,7,1,0.05107050761580467,0.942148745059967,0.0481835825368762,0.019692926357189815,0.0005819734651595354,no_persistence_specific_candidate,0.01295428816229105,0.0109624108299613,0.006209701765328646,0.019761741161346436
