task,pair_id,condition_id,split,seed,timing_environment,reward_magnitude,opportunity_cost,quit_payoff,ratio_schedule,effort_cost,outside_option,prior_investment,remaining_steps,step_cost,success_probability,exposure_type,exposure_trials,transfer_success_probability,transfer_cost,max_transfer_attempts,base_success_probability,clue_increment,attempt_cost,solution_reward,restart_value,max_attempts
voluntary_waiting,voluntary_waiting-pair-0221026,voluntary_waiting-bf53667ffa21,train,221026,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221027,voluntary_waiting-dd4edbaeffd1,train,221027,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221028,voluntary_waiting-ff51ac062ea3,train,221028,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221029,voluntary_waiting-d48bf2061e8e,train,221029,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221030,voluntary_waiting-dc419663e46b,test,221030,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221031,voluntary_waiting-0d946c98e050,train,221031,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221032,voluntary_waiting-83856c078dc9,train,221032,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221033,voluntary_waiting-7f3908aad618,test,221033,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221034,voluntary_waiting-b9494a01d9ed,train,221034,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221035,voluntary_waiting-db7fc59407b7,test,221035,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221036,voluntary_waiting-25a1fb76e6bf,test,221036,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221037,voluntary_waiting-be5dfafeab90,validation,221037,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221038,voluntary_waiting-4cdea3ec4cfe,validation,221038,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
