pair_id,split,seed,action_seed,reward_magnitude,effort_cost,success_probability,outside_option,horizon
matched-goal-pair-0221026,train,311026,411026,12,3,0.35,0,8
matched-goal-pair-0221027,train,311027,411027,12,1,0.35,0,8
matched-goal-pair-0221028,test,311028,411028,6,1,0.35,3,8
matched-goal-pair-0221029,train,311029,411029,6,1,0.7,3,8
matched-goal-pair-0221030,train,311030,411030,6,3,0.7,3,8
matched-goal-pair-0221031,train,311031,411031,12,3,0.7,0,8
matched-goal-pair-0221032,train,311032,411032,12,3,0.7,3,8
matched-goal-pair-0221033,train,311033,411033,12,3,0.35,3,8
matched-goal-pair-0221034,train,311034,411034,6,3,0.35,0,8
matched-goal-pair-0221035,train,311035,411035,6,1,0.35,0,8
matched-goal-pair-0221036,train,311036,411036,6,3,0.7,0,8
matched-goal-pair-0221037,test,311037,411037,12,1,0.7,0,8
matched-goal-pair-0221038,validation,311038,411038,12,1,0.7,3,8
matched-goal-pair-0221039,train,311039,411039,12,1,0.35,3,8
matched-goal-pair-0221040,train,311040,411040,6,3,0.35,3,8
matched-goal-pair-0221041,train,311041,411041,6,1,0.7,0,8
matched-goal-pair-0221042,train,311042,411042,12,3,0.35,0,8
matched-goal-pair-0221043,validation,311043,411043,12,1,0.35,0,8
matched-goal-pair-0221044,test,311044,411044,6,1,0.35,3,8
matched-goal-pair-0221045,train,311045,411045,6,1,0.7,3,8
matched-goal-pair-0221046,train,311046,411046,6,3,0.7,3,8
matched-goal-pair-0221047,train,311047,411047,12,3,0.7,0,8
matched-goal-pair-0221048,train,311048,411048,12,3,0.7,3,8
matched-goal-pair-0221049,validation,311049,411049,12,3,0.35,3,8
matched-goal-pair-0221050,train,311050,411050,6,3,0.35,0,8
matched-goal-pair-0221051,train,311051,411051,6,1,0.35,0,8
matched-goal-pair-0221052,test,311052,411052,6,3,0.7,0,8
matched-goal-pair-0221053,train,311053,411053,12,1,0.7,0,8
matched-goal-pair-0221054,test,311054,411054,12,1,0.7,3,8
matched-goal-pair-0221055,train,311055,411055,12,1,0.35,3,8
matched-goal-pair-0221056,train,311056,411056,6,3,0.35,3,8
matched-goal-pair-0221057,train,311057,411057,6,1,0.7,0,8
matched-goal-pair-0221058,train,311058,411058,12,3,0.35,0,8
matched-goal-pair-0221059,train,311059,411059,12,1,0.35,0,8
matched-goal-pair-0221060,train,311060,411060,6,1,0.35,3,8
matched-goal-pair-0221061,train,311061,411061,6,1,0.7,3,8
matched-goal-pair-0221062,train,311062,411062,6,3,0.7,3,8
matched-goal-pair-0221063,train,311063,411063,12,3,0.7,0,8
matched-goal-pair-0221064,train,311064,411064,12,3,0.7,3,8
matched-goal-pair-0221065,test,311065,411065,12,3,0.35,3,8
matched-goal-pair-0221066,train,311066,411066,6,3,0.35,0,8
matched-goal-pair-0221067,train,311067,411067,6,1,0.35,0,8
matched-goal-pair-0221068,test,311068,411068,6,3,0.7,0,8
matched-goal-pair-0221069,train,311069,411069,12,1,0.7,0,8
matched-goal-pair-0221070,validation,311070,411070,12,1,0.7,3,8
matched-goal-pair-0221071,validation,311071,411071,12,1,0.35,3,8
matched-goal-pair-0221072,train,311072,411072,6,3,0.35,3,8
matched-goal-pair-0221073,validation,311073,411073,6,1,0.7,0,8
matched-goal-pair-0221074,train,311074,411074,12,3,0.35,0,8
