model,task,bin,states,mean_predicted_hazard,observed_hazard
baseline,bandit,1,1800,0.15436781691035772,0.03722222222222222
baseline,foraging,4,364,0.4511384844003651,0.3241758241758242
baseline,solvability,6,313,0.6390744067773345,0.3738019169329074
task_specific,bandit,0,1173,0.059982247989347585,0.010230179028132993
task_specific,bandit,1,455,0.13632158948799572,0.046153846153846156
task_specific,bandit,2,112,0.23152146523027226,0.10714285714285714
task_specific,bandit,3,25,0.3308893743627802,0.2
task_specific,bandit,4,35,0.4313574755636862,0.4857142857142857
task_specific,foraging,2,82,0.2542015696128028,0.10975609756097561
task_specific,foraging,3,53,0.33974246429202964,0.07547169811320754
task_specific,foraging,4,66,0.43151444897716545,0.24242424242424243
task_specific,foraging,5,37,0.5318336712227838,0.4594594594594595
task_specific,foraging,6,50,0.6514212622379499,0.58
task_specific,foraging,7,64,0.7484670394887294,0.5625
task_specific,foraging,8,12,0.829105616876118,0.5833333333333334
task_specific,solvability,0,45,0.07392789509189819,0.044444444444444446
task_specific,solvability,1,42,0.1459612244853814,0.09523809523809523
task_specific,solvability,2,44,0.24608336994383226,0.20454545454545456
task_specific,solvability,3,1,0.3145494598884919,0.0
task_specific,solvability,5,20,0.5588302327198573,0.3
task_specific,solvability,6,34,0.6453518929293093,0.3235294117647059
task_specific,solvability,7,81,0.7410438616599341,0.5925925925925926
task_specific,solvability,8,34,0.8463712094398794,0.8235294117647058
task_specific,solvability,9,12,0.9276431157687567,0.75
shared_history,bandit,0,1062,0.06021483623797116,0.00847457627118644
shared_history,bandit,1,534,0.13849182348876757,0.04119850187265917
shared_history,bandit,2,153,0.23763546624763626,0.0915032679738562
shared_history,bandit,3,37,0.3632450286449827,0.3783783783783784
shared_history,bandit,4,14,0.4326287519503644,0.5714285714285714
shared_history,foraging,2,50,0.2414272087058206,0.08
shared_history,foraging,3,131,0.3449978789162833,0.15267175572519084
shared_history,foraging,4,46,0.4616607324574008,0.32608695652173914
shared_history,foraging,5,19,0.5697920169716453,0.47368421052631576
shared_history,foraging,6,33,0.6534629470339274,0.5757575757575758
shared_history,foraging,7,56,0.7534860450831627,0.625
shared_history,foraging,8,15,0.83135946052641,0.6
shared_history,foraging,9,14,0.9233391088894013,0.5
shared_history,solvability,0,3,0.08346537977515216,1.0
shared_history,solvability,1,69,0.16491408423962337,0.15942028985507245
shared_history,solvability,2,42,0.2545624225723117,0.023809523809523808
shared_history,solvability,3,17,0.33895978433450724,0.058823529411764705
shared_history,solvability,4,10,0.45313335778664277,0.8
shared_history,solvability,5,21,0.5454233046201019,0.14285714285714285
shared_history,solvability,6,30,0.6547025501211607,0.26666666666666666
shared_history,solvability,7,76,0.7364806467861157,0.6710526315789473
shared_history,solvability,8,38,0.8426038788707634,0.6842105263157895
shared_history,solvability,9,7,0.9204709515821976,0.7142857142857143
shared_stay_switch,bandit,0,809,0.07099600024683062,0.006180469715698393
shared_stay_switch,bandit,1,799,0.13216121695275002,0.03504380475594493
shared_stay_switch,bandit,2,191,0.22648760109834776,0.17277486910994763
shared_stay_switch,bandit,3,1,0.32792653987047415,1.0
shared_stay_switch,foraging,3,206,0.3341382307983037,0.15048543689320387
shared_stay_switch,foraging,4,29,0.44534436339700734,0.5517241379310345
shared_stay_switch,foraging,5,2,0.5607415070430342,1.0
shared_stay_switch,foraging,6,59,0.654721306520379,0.5084745762711864
shared_stay_switch,foraging,7,56,0.738808057825958,0.5714285714285714
shared_stay_switch,foraging,8,12,0.8413307641463154,0.5833333333333334
shared_stay_switch,solvability,0,102,0.05047096334972109,0.0392156862745098
shared_stay_switch,solvability,1,11,0.14688706765343926,0.0
shared_stay_switch,solvability,2,2,0.22316928790178542,0.5
shared_stay_switch,solvability,3,21,0.35493993624328574,0.38095238095238093
shared_stay_switch,solvability,4,13,0.4276312301994156,0.38461538461538464
shared_stay_switch,solvability,5,38,0.5543655452998667,0.10526315789473684
shared_stay_switch,solvability,6,23,0.6625209150764685,0.391304347826087
shared_stay_switch,solvability,7,26,0.7587750929592315,0.8076923076923077
shared_stay_switch,solvability,8,36,0.8330037972074494,0.9444444444444444
shared_stay_switch,solvability,9,41,0.9394547504513221,0.7560975609756098
fully_shared,bandit,0,773,0.06176549735161485,0.015523932729624839
fully_shared,bandit,1,563,0.13987708405131413,0.015985790408525755
fully_shared,bandit,2,217,0.25322844314459125,0.07834101382488479
fully_shared,bandit,3,139,0.3668119942183336,0.05755395683453238
fully_shared,bandit,4,86,0.41600241350246187,0.16279069767441862
fully_shared,bandit,5,22,0.5430773437628325,0.3181818181818182
fully_shared,foraging,0,2,0.07685994279844766,1.0
fully_shared,foraging,1,72,0.17782866692931382,0.2222222222222222
fully_shared,foraging,2,41,0.2612132370438959,0.4146341463414634
fully_shared,foraging,3,113,0.34166632526089036,0.23893805309734514
fully_shared,foraging,4,29,0.44578087027248964,0.41379310344827586
fully_shared,foraging,5,71,0.5555554396198086,0.323943661971831
fully_shared,foraging,6,2,0.6940372801293142,1.0
fully_shared,foraging,7,32,0.7380542137496235,0.53125
fully_shared,foraging,8,2,0.8018374501670016,1.0
fully_shared,solvability,1,20,0.16058360940687025,0.35
fully_shared,solvability,2,25,0.2573277277141189,0.16
fully_shared,solvability,3,32,0.34661808821881857,0.1875
fully_shared,solvability,4,73,0.44214081209177053,0.3150684931506849
fully_shared,solvability,5,40,0.5698106448214103,0.25
fully_shared,solvability,6,79,0.6383003389998969,0.569620253164557
fully_shared,solvability,7,27,0.7702538180034159,0.48148148148148145
fully_shared,solvability,8,17,0.8198306541340906,0.5294117647058824
