model,task,log_loss,brier,auc,states,episodes
baseline,bandit,0.4685542011579488,0.1461227839941496,0.5,1800,78
baseline,foraging,0.6804425666141207,0.243664148876476,0.5,364,118
baseline,solvability,0.6393599775330954,0.22355601626657345,0.5,313,118
task_specific,bandit,0.3754914946668979,0.11640176003698835,0.835971613369965,1800,78
task_specific,foraging,0.6092774183137077,0.20932162103550847,0.7624534931789996,364,118
task_specific,solvability,0.45532111452261337,0.14312718731409643,0.8321341357055643,313,118
shared_history,bandit,0.37841054156845894,0.11734287893818625,0.835480703809286,1800,78
shared_history,foraging,0.6137939018813219,0.20965874065974707,0.7650716549538377,364,118
shared_history,solvability,0.4849300015896656,0.15261733670735095,0.7599642421070992,313,118
shared_stay_switch,bandit,0.41923760192309595,0.13222278684317543,0.8240347598418755,1800,78
shared_stay_switch,foraging,0.6149693878580597,0.21194451456036875,0.7636420008267879,364,118
shared_stay_switch,solvability,0.4004880279907238,0.11950614760316688,0.8742368742368742,313,118
fully_shared,bandit,0.46635919450215774,0.1484267183514207,0.7448346840523292,1800,78
fully_shared,foraging,0.6806896398612617,0.2417865901841899,0.56703872123467,364,118
fully_shared,solvability,0.6263698580348075,0.21781752666486792,0.6279434850863422,313,118
