layer,control,control_test_r_squared,test_mse,test_pearson_r,selected_alpha,random_target_r_squared,history_supported,recurrence_supported,sequence_reason,projection_dimensions,train_states,validation_states,test_states,persistence_test_r_squared,delta_r_squared_persistence_minus_control
0,arbitrary_choice,0.4326286616525019,8.894454135639526,0.6660962094396929,100.0,-0.10389768451182535,False,False,one_shot_control,128,528,100,108,0.9500596793364328,0.5174310176839308
1,arbitrary_choice,0.4998414778146485,7.840785629185581,0.71910973880788,100.0,-0.07919698911550954,False,False,one_shot_control,128,528,100,108,0.9613820776875102,0.46154059987286167
2,arbitrary_choice,0.5653654364102495,6.813592669083729,0.7538605431036038,100.0,-0.023119806243810714,False,False,one_shot_control,128,528,100,108,0.9629581137722227,0.39759267736197323
3,arbitrary_choice,0.5231189067080051,7.475874662250617,0.723575444812412,100.0,-0.049013597785251495,False,False,one_shot_control,128,528,100,108,0.9643128372326714,0.44119393052466627
4,arbitrary_choice,0.5994398187509442,6.2794221700728485,0.7812258143494374,100.0,-0.12906108640719482,False,False,one_shot_control,128,528,100,108,0.9635236944005067,0.36408387564956246
5,arbitrary_choice,0.6134233619838351,6.060207741122432,0.7853816528464977,100.0,-0.08317653357233379,False,False,one_shot_control,128,528,100,108,0.9623400356860419,0.3489166737022068
6,arbitrary_choice,0.49930817904824076,7.849145941203144,0.7096254690011116,100.0,-0.036379252415064345,False,False,one_shot_control,128,528,100,108,0.970937239362169,0.47162906031392826
7,arbitrary_choice,0.4749843160256072,8.230461438539539,0.700408562446449,10.0,-0.07591375133226186,False,False,one_shot_control,128,528,100,108,0.9724540324724736,0.49746971644686644
8,arbitrary_choice,0.5782365007480891,6.611818127981225,0.766098012773595,10.0,-0.05426946330926796,False,False,one_shot_control,128,528,100,108,0.9759534004368877,0.39771689968879864
9,arbitrary_choice,0.642313234774117,5.607312730130103,0.806758846959722,10.0,-0.26813766508298253,False,False,one_shot_control,128,528,100,108,0.9791689311470693,0.3368556963729523
10,arbitrary_choice,0.7794442170127288,3.45756502583296,0.8851799420928338,10.0,-0.15933259505876052,False,False,one_shot_control,128,528,100,108,0.9790103289578074,0.19956611194507856
11,arbitrary_choice,0.7512225729993649,3.8999844808592035,0.8673827205618323,10.0,0.02950158321180929,False,False,one_shot_control,128,528,100,108,0.9790614528505673,0.22783887985120244
12,arbitrary_choice,0.7800310791952421,3.4483650215086157,0.8852493120772421,10.0,-0.011163920174565467,False,False,one_shot_control,128,528,100,108,0.9793272300615503,0.19929615086630825
13,arbitrary_choice,0.8609616136157002,2.179649318187902,0.9280657023564894,10.0,-0.11430301273958388,False,False,one_shot_control,128,528,100,108,0.9771274778215142,0.11616586420581398
14,arbitrary_choice,0.9189457916749536,1.270654489786981,0.9599059632488262,10.0,-0.06576653266890897,False,False,one_shot_control,128,528,100,108,0.9769107347354257,0.05796494306047206
15,arbitrary_choice,0.967887163583793,0.5034201260521031,0.9839098315554041,10.0,0.03328903342839662,False,False,one_shot_control,128,528,100,108,0.9807563744078106,0.012869210824017596
16,arbitrary_choice,0.9700231274293027,0.469935472924216,0.9849771175151195,10.0,-0.19536941564918364,False,False,one_shot_control,128,528,100,108,0.984781164481141,0.014758037051838202
17,arbitrary_choice,0.9837883531376171,0.2541435207154125,0.9919614188964764,1.0,-0.03587370869947448,False,False,one_shot_control,128,528,100,108,0.9902073236244081,0.006418970486790965
18,arbitrary_choice,0.9832193996671841,0.26306277730461297,0.9916782968157054,1.0,-0.23262890536146874,False,False,one_shot_control,128,528,100,108,0.9904204855376616,0.007201085870477519
19,arbitrary_choice,0.9944765191001329,0.08658940664158049,0.9972782147630348,0.1,-0.1635974763544743,False,False,one_shot_control,128,528,100,108,0.9947319445716826,0.000255425471549664
20,arbitrary_choice,0.9949723571383842,0.07881635151550166,0.9975459041372755,1.0,-0.1332851417648957,False,False,one_shot_control,128,528,100,108,0.9940673329991836,-0.000905024139200572
21,arbitrary_choice,0.9944999733852922,0.08622172316951561,0.9973454611506934,0.1,-0.0006498103134562339,False,False,one_shot_control,128,528,100,108,0.99500601964368,0.0005060462583877934
22,arbitrary_choice,0.9961056123057386,0.0610507623347584,0.9980533254619919,1.0,-0.17982392882582698,False,False,one_shot_control,128,528,100,108,0.9947882826045117,-0.001317329701226888
23,arbitrary_choice,0.9961643593490613,0.060129808371944427,0.9980897387864097,10.0,-0.01866621468335894,False,False,one_shot_control,128,528,100,108,0.9958293066034555,-0.0003350527456058572
24,arbitrary_choice,0.9958747913786224,0.06466924993013089,0.9979551943642521,10.0,0.17872750707967067,False,False,one_shot_control,128,528,100,108,0.9961353454350531,0.0002605540564306619
25,arbitrary_choice,0.9956692690906357,0.0678911408519984,0.9978580729822307,10.0,-0.027836364619876708,False,False,one_shot_control,128,528,100,108,0.9958469349851148,0.00017766589447909542
26,arbitrary_choice,0.9951816345122914,0.07553559360963732,0.9977095701947629,10.0,0.03753555920341789,False,False,one_shot_control,128,528,100,108,0.9962281916932634,0.0010465571809720187
27,arbitrary_choice,0.9956263255824772,0.0685643490983861,0.9978649059171129,1.0,-0.08578457063672218,False,False,one_shot_control,128,528,100,108,0.9966188574011632,0.000992531818685971
28,arbitrary_choice,0.9948924577249431,0.08006890274656418,0.9975227090230823,0.01,0.040372407803190735,False,False,one_shot_control,128,528,100,108,0.9971292775644476,0.0022368198395045225
