ablation,r_squared,mse,pearson_r,log_loss,brier,auc,validation_mse,parameter_count,selected_epochs,trained_epochs,features,max_history,delta_r_squared_vs_full,delta_log_loss_vs_full
full_recurrence,0.9362080574003625,0.332550998433363,0.9676522162383743,0.502516058779773,0.16343103631734252,0.914237649387227,0.32480546832084656,26650,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;log_round;normalized_time;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,,0.0,0.0
limited_history_1,0.9226518961712205,0.4032200322950224,0.9607572881414914,0.5050986152753715,0.16435694105901538,0.911187485727335,0.3871888220310211,26650,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;log_round;normalized_time;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,1.0,-0.01355616122914205,0.002582556495598465
reset_every_decision,0.9226518961712205,0.4032200322950224,0.9607572881414914,0.5050986152753715,0.16435694105901538,0.911187485727335,0.3871888220310211,26650,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;log_round;normalized_time;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,1.0,-0.01355616122914205,0.002582556495598465
limited_history_2,0.9324358626711393,0.35221566253304765,0.9657037601569499,0.5053874367890614,0.1643255144856441,0.9117538250742179,0.3407915234565735,26650,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;log_round;normalized_time;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,2.0,-0.0037721947292231883,0.0028713780092883834
limited_history_3,0.934617033130102,0.3408450977826723,0.9668428588254172,0.5040468921492798,0.16410524206846477,0.9128568166248002,0.33338966965675354,26650,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;log_round;normalized_time;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,3.0,-0.001591024270260477,0.0015308333695067677
limited_history_5,0.9349123345517614,0.3393056747989903,0.9671400719203224,0.5080203369375442,0.16552202063760973,0.9138996726802162,0.3277287781238556,26650,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;log_round;normalized_time;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,5.0,-0.001295722848601133,0.005504278157771214
choice_history_removed,0.916391095136727,0.4358579415695592,0.9577471021816936,0.5177585180034427,0.16863906750896362,0.9087310649311106,0.4132777452468872,26260,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;log_round;normalized_time;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,,-0.019816962263635496,0.015242459223669735
outcome_history_removed,0.8415287047215273,0.8261198094974431,0.9180215465816675,0.5307294315268841,0.17393011007646644,0.9072330060135495,0.6873699426651001,26195,100,100,task_bandit;task_foraging;task_solvability;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;log_round;normalized_time;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,,-0.0946793526788352,0.02821337274711111
time_removed,0.8817941315650152,0.6162138659963039,0.940185183138859,0.5276974201330576,0.17108053239500925,0.8989297404277994,0.6375157237052917,26520,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;estimated_continue_value;estimated_outside_value;cost_pressure;cumulative_progress;progress_evidence;termination_advantage,,-0.05441392583534732,0.025181361353284637
task_specific_evidence_removed,0.8798841903935086,0.6261704971576991,0.9383812366616637,0.526666596087466,0.17437098519553937,0.9111311562761666,0.6722297072410583,26260,100,100,task_bandit;task_foraging;task_solvability;previous_outcome;failure_streak;success_streak;previous_choice;second_previous_choice;action_lag_1;action_lag_2;action_lag_3;action_lag_5;outcome_lag_1;outcome_lag_2;outcome_lag_3;outcome_lag_5;log_round;normalized_time,,-0.05632386700685388,0.02415053730769301
