task,manipulation,split,layer,mean_functional_effect,mean_absolute_effect,effect_sd,positive_fraction,pairs,readout_task
foraging,outside_option,test,0,0.6805090121750976,0.7371112464389161,0.6012831871516857,0.8311688311688312,77,foraging
foraging,outside_option,train,0,0.6245423289681449,0.6798114465443094,0.5722664160439817,0.849906191369606,533,foraging
foraging,outside_option,validation,0,0.844877294595535,0.8536739227893344,0.5553885636232982,0.9130434782608695,46,foraging
foraging,search_cost,test,0,0.6731488351248096,0.6731488351248096,0.2854849359262486,1.0,38,foraging
foraging,search_cost,train,0,0.7129239444660954,0.7129239444660954,0.28680518817516887,1.0,234,foraging
foraging,search_cost,validation,0,0.787834459813676,0.787834459813676,0.2860674942434564,1.0,22,foraging
foraging,outside_option,test,1,0.6537840535950715,0.7355008397151303,0.6400890494276369,0.8701298701298701,77,foraging
foraging,outside_option,train,1,0.6309823677574116,0.6789356463334001,0.5741520291090123,0.8911819887429644,533,foraging
foraging,outside_option,validation,1,0.8532869501746915,0.8538831112341008,0.5594905981432727,0.9782608695652174,46,foraging
foraging,search_cost,test,1,0.6727910478408319,0.6727910478408319,0.29537660324123965,1.0,38,foraging
foraging,search_cost,train,1,0.7145944979888774,0.7145944979888774,0.29687789832290973,1.0,234,foraging
foraging,search_cost,validation,1,0.7933250922162208,0.7933250922162208,0.2958690506179198,1.0,22,foraging
foraging,outside_option,test,2,0.6587157858376891,0.7154615979559668,0.6224550312656636,0.8701298701298701,77,foraging
foraging,outside_option,train,2,0.629966278056951,0.681478545784338,0.5735188883663868,0.8930581613508443,533,foraging
foraging,outside_option,validation,2,0.8540618519746574,0.8590518469855806,0.5595983076511454,0.9782608695652174,46,foraging
foraging,search_cost,test,2,0.6757222523220734,0.6757222523220734,0.2959787918871236,1.0,38,foraging
foraging,search_cost,train,2,0.7178477351721815,0.7178477351721815,0.2973659631180664,1.0,234,foraging
foraging,search_cost,validation,2,0.7971848302003971,0.7971848302003971,0.29592726637252437,1.0,22,foraging
foraging,outside_option,test,3,0.6479194349499136,0.7239751457531419,0.6385570238831629,0.7922077922077922,77,foraging
foraging,outside_option,train,3,0.6288782472390532,0.6853574748315053,0.5779763169973882,0.8386491557223265,533,foraging
foraging,outside_option,validation,3,0.8518331528945368,0.859107307586431,0.566785592927328,0.9130434782608695,46,foraging
foraging,search_cost,test,3,0.6721341455069862,0.6721341455069862,0.29998895697422895,1.0,38,foraging
foraging,search_cost,train,3,0.7146767054907921,0.7146767054907921,0.3012014002945262,1.0,234,foraging
foraging,search_cost,validation,3,0.7947993034011464,0.7947993034011464,0.29947589621606135,1.0,22,foraging
foraging,outside_option,test,4,0.6483597327505607,0.7260992120396909,0.6321892231454078,0.8831168831168831,77,foraging
foraging,outside_option,train,4,0.6288230828379207,0.6811380488265506,0.5691256048887663,0.8893058161350844,533,foraging
foraging,outside_option,validation,4,0.8505382905713695,0.8535063224417833,0.5530645488275555,0.9782608695652174,46,foraging
foraging,search_cost,test,4,0.6695331403733406,0.6695331403733406,0.28582264041493416,1.0,38,foraging
foraging,search_cost,train,4,0.7098320926543549,0.7098320926543549,0.2871757481813982,1.0,234,foraging
foraging,search_cost,validation,4,0.7857291884344253,0.7857291884344253,0.2861207179755073,1.0,22,foraging
foraging,outside_option,test,5,0.6701235345494215,0.7251636587238975,0.6137632515172743,0.7922077922077922,77,foraging
foraging,outside_option,train,5,0.6253272421093641,0.6819663475711253,0.5786074473362965,0.8030018761726079,533,foraging
foraging,outside_option,validation,5,0.8522311182052765,0.8643583609529126,0.5636684051812729,0.8695652173913043,46,foraging
foraging,search_cost,test,5,0.6736254607343986,0.6736254607343986,0.29352477806234173,1.0,38,foraging
foraging,search_cost,train,5,0.7148125730539853,0.7148125730539853,0.2950983855151984,1.0,234,foraging
foraging,search_cost,validation,5,0.7923823864532505,0.7923823864532505,0.29454387508277624,1.0,22,foraging
foraging,outside_option,test,6,0.6648808661232,0.7192372454727726,0.6176253234567114,0.8701298701298701,77,foraging
