layer,task,analysis,source_task,target_task,variable,r_squared,pearson_r
0,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9934536530465891,0.9967290849948957
0,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.9342817642213428,0.9666433883112622
0,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9964185313898519,0.998208795364262
0,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9426437028167163,0.9709027063497144
0,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.832300718227178,0.9123861334318172
0,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9376482597097444,0.9683939511157797
0,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5842497872576868,0.7782564260879857
0,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6031687669586043,0.7790384078912016
0,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9989163826746532,0.9994740663746098
0,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9747719740498969,0.9876614166094653
0,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9978640920388073,0.998931695531179
0,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9713734686656654,0.9857667043509551
0,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9645400418547669,0.9826532654208057
0,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9398466454331077,0.970543474675216
0,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9834089781137899,0.992052062040673
0,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.3796362768438314,0.687306759601954
0,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.9982149668751052,0.9991249563290637
0,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.9190027000555965,0.9586748805543845
0,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.9994957850633641,0.9997537640707356
0,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9631337280675952,0.9816691918377601
0,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.9131269759516244,0.9560203345912497
0,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.969478746989352,0.9846347432633782
0,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.9305513043499063,0.9648404657307503
0,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.48083231902859125,0.7355280693912007
0,foraging,cross_task_readout,bandit,foraging,persistence_logit,-49.2023253078462,-0.3182772953790969
0,solvability,cross_task_readout,bandit,solvability,persistence_logit,-5.169482427592061,-0.020904406774913436
0,bandit,cross_task_readout,foraging,bandit,persistence_logit,-2.0310868397699586,-0.5021242651961451
0,solvability,cross_task_readout,foraging,solvability,persistence_logit,-5.274196962104081,-0.1822628313030121
0,bandit,cross_task_readout,solvability,bandit,persistence_logit,-319.4964490702611,-0.8046554681680621
0,foraging,cross_task_readout,solvability,foraging,persistence_logit,-279.2328988152989,0.7900274507688696
1,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9958152201417799,0.997907194752403
1,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.921569120079197,0.9600398115975258
1,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9975143426948109,0.9987575711430549
1,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9407254883220503,0.9699598774832053
1,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.846275154821723,0.9199480537693145
1,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9444188738266528,0.9718143966576248
1,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5810406978818528,0.7785865191512022
1,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6986321265332327,0.8385161371121367
1,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9995404087978796,0.9997748043214569
1,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9654228728709425,0.9830771339101348
1,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9986782821592903,0.9993403020233664
1,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9737663542027596,0.9872076034035567
1,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.976991483408138,0.9884544783545753
1,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9239776953605522,0.9640717080528127
1,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9910558855153856,0.9956643141472677
1,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.5316706132804615,0.7781837608670953
1,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.9996899966767525,0.999847217545891
1,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.9194348521894106,0.9598785637059212
1,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.9993683869025944,0.9996888780833302
1,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9650089455860493,0.9824330491658287
1,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.939383802738569,0.969790194952055
1,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9611072836277659,0.9807263670513643
1,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.9452470859279078,0.9724067699821048
1,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.6659035507223371,0.8218761772543589
1,foraging,cross_task_readout,bandit,foraging,persistence_logit,-6.545552490669777,0.78121489234407
1,solvability,cross_task_readout,bandit,solvability,persistence_logit,-2.1496362217800966,-0.02893829039341598
1,bandit,cross_task_readout,foraging,bandit,persistence_logit,-27.964397307794457,-0.3394737259809436
1,solvability,cross_task_readout,foraging,solvability,persistence_logit,-19.759629028222466,0.18545870849916435
1,bandit,cross_task_readout,solvability,bandit,persistence_logit,-56.52334503810045,0.46777967425979705
1,foraging,cross_task_readout,solvability,foraging,persistence_logit,-153.49082610994031,0.5810066864615929
2,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9981846673539619,0.9990919507517579
2,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.9460376018522982,0.9727027885242551
2,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9981711881965675,0.99908525954603
2,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9451772360319969,0.9722220615929844
2,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.8808589388623175,0.9385609207282183
2,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9504838560123302,0.974945101215983
2,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.6091123234819777,0.7909698763932439
2,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.7056518219445596,0.8442676068949223
2,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9997787166853416,0.9998920402452317
2,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9785186828277274,0.9893960196783732
2,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.998850374106325,0.9994333406928846
2,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9839274808878798,0.9919674639249123
2,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9665231181349807,0.9837698752718345
2,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9315996511621897,0.9666966207851178
2,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9802378974371628,0.9904841948956319
2,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.33158898426064354,0.6899152671586566
2,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.9998962320440178,0.9999487466832067
2,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.9515420371796709,0.9760834206581424
2,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.999543778767586,0.9997724483576266
2,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9592262463567582,0.9794543110941533
2,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.9284314886384462,0.9643827214286927
2,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9727280020803097,0.9863834324755795
2,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.954901285019649,0.9776997218095086
2,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.5293626832221257,0.752845069105445
2,foraging,cross_task_readout,bandit,foraging,persistence_logit,-397.94462453904964,0.8257063264097424
2,solvability,cross_task_readout,bandit,solvability,persistence_logit,-9.68118152121359,-0.09065641648446734
2,bandit,cross_task_readout,foraging,bandit,persistence_logit,-20.850535872382075,-0.598083147185231
2,solvability,cross_task_readout,foraging,solvability,persistence_logit,-11.248688505379874,-0.34003617226638266
2,bandit,cross_task_readout,solvability,bandit,persistence_logit,-101.34774725179476,-0.73185681275444
2,foraging,cross_task_readout,solvability,foraging,persistence_logit,-49.24375998902151,-0.21520059849113216
3,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9983970836657676,0.9991989149698604
3,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.9061325254379469,0.9519990056233592
3,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9986830798284688,0.9993427729257974
3,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9379416722860926,0.9684936374486836
3,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.8979990427211884,0.9476961251924549
3,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9466748553755489,0.9729766651310088
3,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5969817471674723,0.791394325768143
3,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6895308250384126,0.8328660265963204
3,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9999390183366434,0.9999695234965462
3,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.980840754773938,0.99038229294429
3,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9999133994551553,0.9999568532616836
3,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9758128245569236,0.9880330048863781
3,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9804560875921859,0.9902106886480202
3,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9691714186073717,0.9848499339559066
3,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9857757109900608,0.9930828631267326
3,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.5079709786122604,0.7520066793811127
