layer,metric,task_a,task_b,value
0,pairwise_cosine,bandit,foraging,0.14755047773872
0,pairwise_cosine,bandit,solvability,-0.06944005000351534
0,pairwise_cosine,foraging,solvability,-0.03252501800726633
0,mean_pairwise_cosine,all,all,0.015195136575979437
1,pairwise_cosine,bandit,foraging,0.0746685079734935
1,pairwise_cosine,bandit,solvability,0.21883264125462232
1,pairwise_cosine,foraging,solvability,0.05051514473816521
1,mean_pairwise_cosine,all,all,0.11467209798876034
2,pairwise_cosine,bandit,foraging,0.01462292019505548
2,pairwise_cosine,bandit,solvability,0.3234617827269835
2,pairwise_cosine,foraging,solvability,0.10681387599342412
2,mean_pairwise_cosine,all,all,0.14829952630515436
3,pairwise_cosine,bandit,foraging,-0.05364300699872793
3,pairwise_cosine,bandit,solvability,0.0033670041355789325
3,pairwise_cosine,foraging,solvability,0.01099770039222801
3,mean_pairwise_cosine,all,all,-0.013092767490306995
4,pairwise_cosine,bandit,foraging,0.07431805335293176
4,pairwise_cosine,bandit,solvability,0.05500030827068874
4,pairwise_cosine,foraging,solvability,-0.07937610432496511
4,mean_pairwise_cosine,all,all,0.016647419099551797
5,pairwise_cosine,bandit,foraging,-0.05646890805538128
5,pairwise_cosine,bandit,solvability,0.1556769465278081
5,pairwise_cosine,foraging,solvability,0.013432594445044382
5,mean_pairwise_cosine,all,all,0.037546877639157074
6,pairwise_cosine,bandit,foraging,-0.030443428267161836
6,pairwise_cosine,bandit,solvability,0.016680616724091633
6,pairwise_cosine,foraging,solvability,0.1413295593057145
6,mean_pairwise_cosine,all,all,0.042522249254214765
7,pairwise_cosine,bandit,foraging,0.13715474031577393
7,pairwise_cosine,bandit,solvability,0.006015457122546726
7,pairwise_cosine,foraging,solvability,0.09763006985334927
7,mean_pairwise_cosine,all,all,0.08026675576388997
8,pairwise_cosine,bandit,foraging,0.08872577392362077
8,pairwise_cosine,bandit,solvability,0.06316891940259137
8,pairwise_cosine,foraging,solvability,0.13813018390824425
8,mean_pairwise_cosine,all,all,0.09667495907815211
9,pairwise_cosine,bandit,foraging,0.01775725446821344
9,pairwise_cosine,bandit,solvability,0.1561849616886073
9,pairwise_cosine,foraging,solvability,0.07974024014130499
9,mean_pairwise_cosine,all,all,0.08456081876604189
10,pairwise_cosine,bandit,foraging,0.06869349801402494
10,pairwise_cosine,bandit,solvability,0.027334929430774153
10,pairwise_cosine,foraging,solvability,-0.05028624514075171
10,mean_pairwise_cosine,all,all,0.015247394101349126
11,pairwise_cosine,bandit,foraging,-0.0670250132758819
11,pairwise_cosine,bandit,solvability,-0.023646110559296624
11,pairwise_cosine,foraging,solvability,0.04606344697067807
11,mean_pairwise_cosine,all,all,-0.01486922562150015
12,pairwise_cosine,bandit,foraging,0.0188935800268043
12,pairwise_cosine,bandit,solvability,0.18742526457996217
12,pairwise_cosine,foraging,solvability,-0.05536044058291823
12,mean_pairwise_cosine,all,all,0.05031946800794942
13,pairwise_cosine,bandit,foraging,0.025103728114711014
13,pairwise_cosine,bandit,solvability,0.04168147841770091
13,pairwise_cosine,foraging,solvability,0.13993554141484232
13,mean_pairwise_cosine,all,all,0.06890691598241809
14,pairwise_cosine,bandit,foraging,0.06571767738289522
14,pairwise_cosine,bandit,solvability,-0.0674908456015422
14,pairwise_cosine,foraging,solvability,0.06082887646594056
14,mean_pairwise_cosine,all,all,0.019685236082431192
15,pairwise_cosine,bandit,foraging,0.018421784946166034
15,pairwise_cosine,bandit,solvability,0.0070592450451908775
15,pairwise_cosine,foraging,solvability,0.22576429648954363
15,mean_pairwise_cosine,all,all,0.08374844216030018
16,pairwise_cosine,bandit,foraging,0.07646630785518127
