layer,metric,task_a,task_b,value
0,principal_angle_degrees,bandit,foraging,81.51500026537362
0,principal_angle_degrees,bandit,solvability,86.01817381461845
0,principal_angle_degrees,foraging,solvability,88.13612501602753
0,task_span_effective_rank,all,all,2.9726832236085095
1,principal_angle_degrees,bandit,foraging,85.71782419613514
1,principal_angle_degrees,bandit,solvability,77.35952234235161
1,principal_angle_degrees,foraging,solvability,87.10446305134946
1,task_span_effective_rank,all,all,2.944813129851853
2,principal_angle_degrees,bandit,foraging,89.16213852689958
2,principal_angle_degrees,bandit,solvability,71.12759142007803
2,principal_angle_degrees,foraging,solvability,83.86831819704868
2,task_span_effective_rank,all,all,2.884215805451322
3,principal_angle_degrees,bandit,foraging,86.92500614160969
3,principal_angle_degrees,bandit,solvability,89.80708450892234
3,principal_angle_degrees,foraging,solvability,89.3698654803405
3,task_span_effective_rank,all,all,2.9969881534875813
4,principal_angle_degrees,bandit,foraging,85.73795971312951
4,principal_angle_degrees,bandit,solvability,86.84712350656855
4,principal_angle_degrees,foraging,solvability,85.44729489601522
4,task_span_effective_rank,all,all,2.9848258380832537
5,principal_angle_degrees,bandit,foraging,86.76284793307812
5,principal_angle_degrees,bandit,solvability,81.04394096831504
5,principal_angle_degrees,foraging,solvability,89.23034588383344
5,task_span_effective_rank,all,all,2.972276236403574
6,principal_angle_degrees,bandit,foraging,88.255450500164
6,principal_angle_degrees,bandit,solvability,89.04422673567353
6,principal_angle_degrees,foraging,solvability,81.8752105855016
6,task_span_effective_rank,all,all,2.97874859617457
7,principal_angle_degrees,bandit,foraging,82.11676340157544
7,principal_angle_degrees,bandit,solvability,89.65533761637185
7,principal_angle_degrees,foraging,solvability,84.39728438586206
7,task_span_effective_rank,all,all,2.9717010127663945
8,principal_angle_degrees,bandit,foraging,84.90969395826818
8,principal_angle_degrees,bandit,solvability,86.37827615814207
8,principal_angle_degrees,foraging,solvability,82.06033753566184
8,task_span_effective_rank,all,all,2.969834736492837
9,principal_angle_degrees,bandit,foraging,88.98253078704028
9,principal_angle_degrees,bandit,solvability,81.01447339471044
9,principal_angle_degrees,foraging,solvability,85.42636510772897
9,task_span_effective_rank,all,all,2.969153850009816
10,principal_angle_degrees,bandit,foraging,86.06105048161642
10,principal_angle_degrees,bandit,solvability,88.43362880401641
10,principal_angle_degrees,foraging,solvability,87.11759472157952
10,task_span_effective_rank,all,all,2.9919107302766688
11,principal_angle_degrees,bandit,foraging,86.15686849631308
11,principal_angle_degrees,bandit,solvability,88.6450513757096
11,principal_angle_degrees,foraging,solvability,87.35982466471948
11,task_span_effective_rank,all,all,2.9928997486452946
12,principal_angle_degrees,bandit,foraging,88.91741319002892
12,principal_angle_degrees,bandit,solvability,79.19743643224035
12,principal_angle_degrees,foraging,solvability,86.82645795892117
12,task_span_effective_rank,all,all,2.9612509315860835
13,principal_angle_degrees,bandit,foraging,88.56151121340406
13,principal_angle_degrees,bandit,solvability,87.61113514801052
13,principal_angle_degrees,foraging,solvability,81.95588367470056
13,task_span_effective_rank,all,all,2.978197149674671
14,principal_angle_degrees,bandit,foraging,86.23193886163021
14,principal_angle_degrees,bandit,solvability,86.13011769591591
14,principal_angle_degrees,foraging,solvability,86.51260920086393
14,task_span_effective_rank,all,all,2.987155574373976
15,principal_angle_degrees,bandit,foraging,88.94444976344404
15,principal_angle_degrees,bandit,solvability,89.59553169300698
15,principal_angle_degrees,foraging,solvability,76.95217439464902
15,task_span_effective_rank,all,all,2.9486667778043687
16,principal_angle_degrees,bandit,foraging,85.6145224652217
16,principal_angle_degrees,bandit,solvability,88.75874588653917
16,principal_angle_degrees,foraging,solvability,85.563846302069
16,task_span_effective_rank,all,all,2.9878292411996443
17,principal_angle_degrees,bandit,foraging,85.78736675792882
17,principal_angle_degrees,bandit,solvability,79.01740751076966
17,principal_angle_degrees,foraging,solvability,86.49467031612782
17,task_span_effective_rank,all,all,2.955430690520212
18,principal_angle_degrees,bandit,foraging,81.69590413956023
18,principal_angle_degrees,bandit,solvability,89.20818846171933
18,principal_angle_degrees,foraging,solvability,84.64011596930767
18,task_span_effective_rank,all,all,2.9704108137030913
19,principal_angle_degrees,bandit,foraging,84.508910031693
19,principal_angle_degrees,bandit,solvability,84.84668993239386
19,principal_angle_degrees,foraging,solvability,86.41755009641487
19,task_span_effective_rank,all,all,2.9794097149462435
20,principal_angle_degrees,bandit,foraging,85.62547559090133
20,principal_angle_degrees,bandit,solvability,82.04145126228887
20,principal_angle_degrees,foraging,solvability,85.55535984921227
20,task_span_effective_rank,all,all,2.9698278973204295
21,principal_angle_degrees,bandit,foraging,83.13204527690911
21,principal_angle_degrees,bandit,solvability,73.6999368239506
21,principal_angle_degrees,foraging,solvability,81.92520931992628
21,task_span_effective_rank,all,all,2.8919577296795036
22,principal_angle_degrees,bandit,foraging,88.32013699107
22,principal_angle_degrees,bandit,solvability,88.89106348314465
22,principal_angle_degrees,foraging,solvability,89.80149908175966
22,task_span_effective_rank,all,all,2.9987560439908822
23,principal_angle_degrees,bandit,foraging,84.99783226155779
23,principal_angle_degrees,bandit,solvability,87.65039303608864
23,principal_angle_degrees,foraging,solvability,82.36817561932796
