layer,task,status,test_r_squared,test_mse,test_pearson_r,selected_alpha,random_target_r_squared,mapping_control_r_squared,mapping_control_status,projection_dimensions,hidden_width,train_states,validation_states,test_states
0,bandit,fit,0.9008516901422238,0.23012504180746213,0.9493226919308297,1.0,-0.027095387243369462,,constant,128,2560,8849,1812,1800
0,foraging,fit,0.984831882750325,0.023258460395261284,0.9923870095592778,1.0,-0.014020027442772198,0.988082938963737,fit,128,2560,1505,326,364
0,solvability,fit,0.9644954651167494,0.2407496985663218,0.9820946192894132,0.01,0.017963363853180314,0.9515155344466899,fit,128,2560,1441,315,313
1,bandit,fit,0.9115248478253367,0.2053524474831892,0.9552495454076356,1.0,-0.0010328734910360904,,constant,128,2560,8849,1812,1800
1,foraging,fit,0.9912104055906794,0.013477772494405857,0.9955957256114214,0.1,-0.027255891615094674,0.9926818239988356,fit,128,2560,1505,326,364
1,solvability,fit,0.9814109796465145,0.12604871635302276,0.9907271579866547,0.1,-0.034573208669018696,0.9869149652758955,fit,128,2560,1441,315,313
2,bandit,fit,0.9208645967567728,0.18367471927580956,0.960110774829016,1.0,0.011157647500350754,,constant,128,2560,8849,1812,1800
2,foraging,fit,0.9908280513169472,0.014064066204177274,0.9954044148951862,0.1,0.04152536885357627,0.9944724285197267,fit,128,2560,1505,326,364
2,solvability,fit,0.9771816932429481,0.15472672692709116,0.9886564100453451,0.01,0.0029870772072239093,0.9937413759552718,fit,128,2560,1441,315,313
3,bandit,fit,0.9177372762027012,0.19093328751850983,0.958350339649245,1.0,0.015802184668419428,,constant,128,2560,8849,1812,1800
3,foraging,fit,0.9896226747725307,0.015912364325705062,0.9948632058164651,0.01,-0.043049017558079106,0.998267157912972,fit,128,2560,1505,326,364
3,solvability,fit,0.9855785607227824,0.09778911821544727,0.9928193849772261,0.1,0.03167675545849036,0.9953542500626851,fit,128,2560,1441,315,313
4,bandit,fit,0.9225916259478774,0.1796662529149028,0.9607738709378577,0.01,-0.010745566386688443,,constant,128,2560,8849,1812,1800
4,foraging,fit,0.9857533947270507,0.021845434014884854,0.9928940875697443,0.1,0.09537381701783931,0.9977389319667808,fit,128,2560,1505,326,364
4,solvability,fit,0.982226062526592,0.12052178976940532,0.9910834418447131,0.01,0.022679665042134367,0.995420776027308,fit,128,2560,1441,315,313
5,bandit,fit,0.9182106499399604,0.1898345784105726,0.9588029852803063,10.0,-0.0042021332726773775,,constant,128,2560,8849,1812,1800
5,foraging,fit,0.9892694136922269,0.0164540471667715,0.9947652664619412,0.1,0.039964518039555585,0.9988280946343048,fit,128,2560,1505,326,364
5,solvability,fit,0.9795400434259386,0.13873518957740383,0.9898072448444779,0.1,-0.07342615781068429,0.9958537208064796,fit,128,2560,1441,315,313
6,bandit,fit,0.9345512930760748,0.15190764662269587,0.9669022661678577,10.0,0.023323923599674945,,constant,128,2560,8849,1812,1800
6,foraging,fit,0.9908244708567429,0.014069556403817043,0.9954112228150546,0.01,-0.03696186870387175,0.9982620749816278,fit,128,2560,1505,326,364
6,solvability,fit,0.9874359541536898,0.08519447614844258,0.9937527483228986,0.01,-0.11419756272861648,0.996305846492239,fit,128,2560,1441,315,313
7,bandit,fit,0.9411327195956967,0.13663203521637657,0.9705894620821345,10.0,-0.02807146743142197,,constant,128,2560,8849,1812,1800
7,foraging,fit,0.9930409535201898,0.010670850196843957,0.9965459917080649,0.1,-0.12747095129543395,0.9994900301989676,fit,128,2560,1505,326,364
7,solvability,fit,0.9831884243015344,0.11399619218050505,0.9916443174559404,0.01,0.0293551284977982,0.999317094684784,fit,128,2560,1441,315,313
8,bandit,fit,0.9466879874995736,0.12373815673811357,0.9731627182402318,10.0,-0.022495985345471814,,constant,128,2560,8849,1812,1800
8,foraging,fit,0.992339914373721,0.011745808344601042,0.9963692485097433,0.1,-0.01418561353751846,0.9992624665668876,fit,128,2560,1505,326,364
8,solvability,fit,0.9888322994373684,0.07572611647986577,0.9944439373524036,0.01,-0.07860882587715912,0.9988072430199443,fit,128,2560,1441,315,313
9,bandit,fit,0.9557630232650541,0.10267483263373775,0.9777086478473139,1.0,-0.05623852940341645,,constant,128,2560,8849,1812,1800
9,foraging,fit,0.9934539408510876,0.010037584424874966,0.9967230888852845,1.0,0.009504562787456372,0.9985438982415766,fit,128,2560,1505,326,364
9,solvability,fit,0.9882898293250661,0.07940450619676995,0.9941400723944207,0.1,0.03732774324114829,0.9984921149479733,fit,128,2560,1441,315,313
10,bandit,fit,0.9524051628088739,0.11046848820860894,0.9760058558573758,1.0,-0.011766211415039418,,constant,128,2560,8849,1812,1800
10,foraging,fit,0.9926053597902652,0.01133878012836484,0.9963006009923274,1.0,-0.019339087424033563,0.9981867684259945,fit,128,2560,1505,326,364
10,solvability,fit,0.992020464274283,0.05410775910690293,0.9960124491469529,0.1,-0.025856993204608214,0.9981746594803558,fit,128,2560,1441,315,313
11,bandit,fit,0.9543154946817638,0.10603457296844465,0.977015877692965,10.0,0.006019288599139916,,constant,128,2560,8849,1812,1800
11,foraging,fit,0.9945055776655017,0.00842502745451192,0.9972499947130237,0.1,0.0295242750938165,0.9971792339611933,fit,128,2560,1505,326,364
