layer,beta_stop,se_stop,lower_95_stop,upper_95_stop,p_stop,nominal_detectable_stop,holm_detectable_stop,beta_continue,se_continue,lower_95_continue,upper_95_continue,p_continue,nominal_detectable_continue,holm_detectable_continue,relative_r_squared,normalized_stop,normalized_continue,normalized_relative_r_squared
0,0.4710631187862192,0.018522423369089446,0.43475916898280387,0.5073670685896345,1.1154587835161266e-142,False,False,0.37778049854671714,0.01820381500983712,0.3421010211274364,0.4134599759659979,1.1560743809191315e-95,True,True,0.024842489489313002,-0.15616997960594828,0.16629565752829945,0.03170123084515303
1,0.2295028007666322,0.022400308713295767,0.1855981956885725,0.2734074058446919,1.2395710827219862e-24,False,False,0.5654956087024013,0.026099530614702663,0.5143405286975842,0.6166506887072185,4.21283042084738e-104,True,True,0.021954610678563746,-0.07630487109276143,0.24964129840270746,0.028016040080685894
2,0.21219039862356928,0.01656676703407437,0.17971953523678352,0.24466126201035504,1.475245513302819e-37,False,False,0.40228544571595254,0.007425785883827453,0.38773090538365074,0.41683998604825434,0.0,True,True,0.004342257325074317,-0.07480229417223011,0.18829831443503584,0.005541107380178441
3,-0.04919417648687786,0.019197624399955655,-0.08682152031079093,-0.011566832662964772,0.010391747283627979,True,False,0.189729761298348,0.009176212137758023,0.17174438550834228,0.20771513708835374,5.6665858909517806e-95,True,True,0.02298995565721762,0.017273944763997674,0.08845781645595026,0.029337232555650856
4,-0.16741274355094876,0.014398959653191974,-0.19563470447120504,-0.13919078263069248,3.0144221548554137e-31,True,True,-0.2899081150099452,0.018228700759686682,-0.3256363684989311,-0.2541798615209593,5.950440429622967e-57,False,False,0.0012802435631349418,0.05185816450755951,-0.11923724207256714,0.0016337048970241665
5,0.027271348209322945,0.011994934557580056,0.0037612764764660377,0.050781419942179856,0.02299172825318434,False,False,-0.18602706272798697,0.016212553402080356,-0.21780366739606447,-0.15425045805990947,1.7769006819892976e-30,False,False,0.017354472916112695,-0.004788715171621066,-0.04337219976216362,0.02214585427705695
6,0.1721317905828952,0.005149595797607091,0.1620385828195853,0.18222499834620512,5.694417933580294e-245,False,False,0.35237561045408156,0.007287507575501662,0.3380920956060983,0.3666591253020648,0.0,True,True,0.004734931150806698,-0.0407254078173261,0.11069630371621207,0.006042194181553429
7,0.3958803309823079,0.0076524708267351,0.3808814881619071,0.4108791738027087,0.0,False,False,0.4293955626140873,0.01356855705726249,0.40280119078185284,0.45598993444632174,8.507738193884739e-220,True,True,0.004416735081067991,-0.05928196006193834,0.08537664894774985,0.0056361476351657735
8,0.3894513754868168,0.007257251396817693,0.3752271627490541,0.4036755882245795,0.0,False,False,0.43909151606511004,0.016064213083870175,0.4076056584207245,0.4705773737094956,1.6955602615316735e-164,True,True,0.003085614766298206,-0.05801006648200313,0.0868416546706263,0.003937519468317078
9,0.3473587999771537,0.005526239235990609,0.3365273710746121,0.35819022887969526,0.0,False,False,0.12307415470350395,0.006161842014681508,0.1109969443547282,0.1351513650522797,9.347164765973659e-89,True,True,0.043235866608032025,-0.10024238116861897,0.047158811675108665,0.05517281948417845
10,0.336202352812022,0.0050613106478676825,0.3262821839422013,0.34612252168184265,0.0,False,False,0.43035877650996057,0.007310762833989554,0.416029681355341,0.4446878716645801,0.0,True,True,0.00031315315312474556,-0.09687433668894528,0.16464994137024988,0.0003996113353038052
11,0.4144338391172182,0.010935963822134168,0.39299935002583525,0.43586832820860116,2.9481766584e-314,False,False,0.5694581670412265,0.009086418308233766,0.5516487871570883,0.5872675469253648,0.0,True,True,1.3516074072184026e-06,-0.09365779593584406,0.17087301124927493,1.72477152286537e-06
12,0.04536875551838361,0.02872895257799431,-0.010939991534485237,0.10167750257125246,0.11429024099622667,False,False,0.41514964081472105,0.013276356178580574,0.3891279827047031,0.441171298924739,1.1996676192287024e-214,True,True,0.04334862463262468,-0.0058332735274716834,0.07087336678581158,0.05531670877388884
